xhomeapi-lb-prod.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-lb-prod-os-ndcas-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-lb-prod-os-ndcch2-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-lb-prod-os-ndcch2-vip.stage.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-lb-prod-os-ndcho-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-prod.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-prod-os-ndcas-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-prod-os-ndcch2-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-prod-os-ndcch2-vip.stage.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-prod.stage.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-qa03-os-ndcas-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-qa.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-qa-os-ndcch2-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-qa-os-ndcho-fo.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-qa-os-ndcho-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-stg.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-stg-os-ndcch2-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
xhomeapi-stg-os-ndcho-vip.codebig2.net AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
