id-pull-akamai.lazada-seller.cn AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 23.48.212.0/24
pre-id-pull-akamai.lazada-seller.cn AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 23.48.212.0/24
pre-sg-proxy-pull-akamai.lazada-seller.cn AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.213.48.0/22
sellercenter-id.lazada-seller.cn AS37963 AS37963 - ALIBABA (US) TECHNOLOGY CO., LTD. US 106.11.224.0/19
sellercenter-id-staging.lazada-seller.cn AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.72.0/22
sellercenter-my.lazada-seller.cn AS37963 AS37963 - ALIBABA (US) TECHNOLOGY CO., LTD. US 106.11.224.0/19
sellercenter-my-staging.lazada-seller.cn AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.72.0/22
sellercenter-ph.lazada-seller.cn AS37963 AS37963 - ALIBABA (US) TECHNOLOGY CO., LTD. US 106.11.224.0/19
sellercenter-ph-staging.lazada-seller.cn AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.72.0/22
sellercenter-sg.lazada-seller.cn AS37963 AS37963 - ALIBABA (US) TECHNOLOGY CO., LTD. US 106.11.224.0/19
sellercenter-sg-staging.lazada-seller.cn AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.72.0/22
sellercenter-th.lazada-seller.cn AS37963 AS37963 - ALIBABA (US) TECHNOLOGY CO., LTD. US 106.11.224.0/19
sellercenter-th-staging.lazada-seller.cn AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.72.0/22
sellercenter-vn.lazada-seller.cn AS37963 AS37963 - ALIBABA (US) TECHNOLOGY CO., LTD. US 106.11.224.0/19
sellercenter-vn-staging.lazada-seller.cn AS45102 AS45102 - ALIBABA (US) TECHNOLOGY CO., LTD. US 47.246.72.0/22
sg-pull-akamai.lazada-seller.cn AS20940 AS20940 - AKAMAI INTERNATIONAL B.V. NL 23.48.212.0/24
