airdrop-api.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
api.bridge.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 54.196.0.0/15
api.faucet.matic.network AS13335 AS13335 - CLOUDFLARE, INC. US 172.67.176.0/20
apis.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
api-test.faucet.matic.network AS13335 AS13335 - CLOUDFLARE, INC. US 172.67.176.0/20
backup-explorer.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
binance-bridge.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
blog.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
bridge-api.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 54.174.0.0/15
bridge-api-node.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.86.0.0/15
docs.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
ette.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
explorer.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
faucet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
forum.matic.network AS13335 AS13335 - CLOUDFLARE, INC. US 172.67.176.0/20
gasstation-mainnet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
goerli.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 35.168.0.0/13
heimdall.api.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
jenkins.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
kovan.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
mainnet.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
matic-mainnet.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.4.0.0/14
matic.network AS16509 AS16509 - AMAZON.COM, INC. US 108.139.28.0/22
matic-syncer.api.matic.network AS14061 AS14061 - DIGITALOCEAN, LLC US 159.89.128.0/20
metrics.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.200.0.0/13
mnt.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
polygon-withdraw.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
rpc-mainnet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
sentinel.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
static.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
torus-node.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 54.255.0.0/17
wallet-asset.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
wallet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
wallet-support.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
wallet-test.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
wallet-v1.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
webhooks.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
ws-mainnet.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
www.binance-bridge.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
www.blog.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 52.70.0.0/15
www.explorer.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
www.kovan.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
www.mainnet.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 3.208.0.0/12
www.matic.network AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
www.webhooks.dagger.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 34.192.0.0/12
zippy.matic.network AS14618 AS14618 - AMAZON.COM, INC. US 18.204.0.0/14
