api.dev.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 3.13.0.0/16
auctions.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
blog.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
blog.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
cache.new.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 3.80.0.0/12
chat.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 35.168.0.0/13
kb.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 100.24.0.0/13
legacy.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 54.216.0.0/15
mpp.oasis.app AS14618 AS14618 - AMAZON.COM, INC. US 44.192.0.0/11
mpp.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 18.192.0.0/15
oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
oazo-bcache-goerli-adp.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
oazo-bcache-goerli-staging.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
oazo-bcache-mainnet-staging.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
oazo-bcache.new.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
storybook.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
translate.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
translate.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
www.mpp.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 35.156.0.0/14
www.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
www.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 13.33.60.0/23
www.storybook.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
www.translate.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
www.translate.staging.oasis.app AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
