api.ff.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.160.0/21
api.messaging.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.78.144.0/20
api.s6e.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.160.0/21
api.s6.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.226.0/23
api.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.160.0/21
api.test.messaging.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.93.128.0/19
api.test.s6.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.122.0/23
assetstore.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.78.144.0/20
cdn.ff.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.226.0/23
ci.api.ff.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.160.0/21
demo-portal.test.ges.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 13.35.122.0/23
feedback.s6.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 65.8.160.0/21
gate.guea.sbgservices.com AS48210 AS48210 - BONNE TERRE LTD GB 194.145.126.0/24
gate.nps.sbgservices.com AS48210 AS48210 - BONNE TERRE LTD GB 193.104.140.0/24
gate.sbgservices.com AS48210 AS48210 - BONNE TERRE LTD GB 194.145.126.0/24
gateway.test.gamingservices.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 54.155.0.0/16
match-challenge.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.70.0.0/20
match-challenge.stage.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.70.0.0/20
minigames.ges.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 184.50.0.0/20
minigames.nps.ges.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 184.50.0.0/20
oauth.autotest.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 54.76.0.0/15
oauth.loadtest.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 54.72.0.0/16
oauth.test.sweeps.sbgservices.com AS16509 AS16509 - AMAZON.COM, INC. US 54.171.0.0/16
promotions-customer-experience.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.69.240.0/20
promotions-spin-service.promotions.nps.sbgservices.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 104.93.128.0/19
