artefacts.artefacts.prod.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 54.253.0.0/17
artefacts.eng.dev.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 3.104.0.0/14
artefacts.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 54.253.0.0/17
dpa.datainfra-apac.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 18.138.0.0/15
egf.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 3.104.0.0/14
files.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.225.60.0/22
ftp.sap.prod.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 52.62.0.0/15
go.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.236.0.0/14
html-conversion.ga.prod.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.225.60.0/22
iplist.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.226.32.0/21
mailgate.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 3.104.0.0/14
prtg.datainfra-apac.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 52.77.0.0/16
prtg.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.236.0.0/14
reports.datainfra-apac.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 52.77.0.0/16
rfc.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 3.104.0.0/14
servers.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.225.60.0/22
ssod.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.236.0.0/14
streamproject.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 13.225.60.0/22
web.poolparty.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 3.104.0.0/14
web.poolparty.skinfra.xyz AS16509 AS16509 - AMAZON.COM, INC. US 52.65.0.0/16
