21735.xapi-int.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
42rumjxqnwpw.xapi-dev.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
92q.sp2.xapi-int.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
a11y.xfn-ops.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
acadeals.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 50.128.0.0/9
access-auth.gslb4.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
access-auth-merlin.gslb4.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
accesspass.wifi.xfinity.com AS701 AS701 - VERIZON BUSINESS US 63.64.0.0/12
ac.cmp.xfinity.com AS8075 AS8075 - MICROSOFT CORPORATION US 137.117.0.0/16
ac-dev.cmp.xfinity.com AS8075 AS8075 - MICROSOFT CORPORATION US 13.64.0.0/11
acs-perf.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 18.208.0.0/13
acs-preview.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 3.224.0.0/12
activatecablecard.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
activate.courtesyflex-st.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
activate.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
addresssearch.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.73.224.0/19
addresssearch-np.aws-origin.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
addresssearch-us-east-1.aws-origin.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.120.0/21
addresssearch-us-west-2.aws-origin.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
admin-int.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin.int.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin-prd.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
admin.selectwifi.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
admin-stg.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin.stg.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
admin-west.xoe.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 35.80.0.0/12
admin.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 69.240.0.0/12
admin.xoe.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
ads2-xbo.gslb4.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
agent-asha.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
agent-ashb.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
agent-dev.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 100.20.0.0/14
agent-preprod.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
agentprofile-admin.aws-origin.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 99.84.36.0/22
agentprofile-admin-np.aws-origin.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 143.204.144.0/21
agentprofile.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.73.224.0/19
agentprofile-np.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.73.224.0/19
agentprofile-qa.cws.xfinity.com AS16625 AS16625 - AKAMAI TECHNOLOGIES, INC. US 23.73.224.0/19
agent-test.cxco-chat.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.213.0.0/16
agent.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
aibredir.g.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
ak4netlab.xapi-dev.sc.xfinity.com AS16509 AS16509 - AMAZON.COM, INC. US 54.218.128.0/17
alb-asha.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
alb-ashb.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
alb.xchat.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.96.0.0/12
alertmanager.cms.xfinity.com AS14618 AS14618 - AMAZON.COM, INC. US 34.224.0.0/12
alertmanager-openshift-metrics.xfn-ops.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
alertmanager.xcpre.xfinity.com AS56402 AS56402 - DADEH GOSTAR ASR NOVIN P.J.S. CO. IR 100.88.0.0/17
alerts-openshift-metrics.xfn-ops.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 96.112.0.0/13
amdocs-crmclient.gslb2.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 76.96.0.0/11
amdocs-crm.gslb2.xfinity.com AS7922 AS7922 - COMCAST CABLE COMMUNICATIONS, LLC US 76.96.0.0/11
