-1249852061	microsoft outlook	http://autodiscover.fanduel.com/
0	zero byte favicon	http://canada.casino.fanduel.com/
0	zero byte favicon	http://casino.fanduel.com/
0	zero byte favicon	http://rgsinternal.nj.casino.fanduel.com/
0	zero byte favicon	http://tm.fanduel.com/
0	zero byte favicon	https://casino.fanduel.com/
0	zero byte favicon	https://rgsinternal.nj.casino.fanduel.com/
0	zero byte favicon	https://tm.fanduel.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://canada.casino.fanduel.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://casino.fanduel.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://rgsinternal.nj.casino.fanduel.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	http://tm.fanduel.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://casino.fanduel.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://rgsinternal.nj.casino.fanduel.com/
d41d8cd98f00b204e9800998ecf8427e	zero byte favicon	https://tm.fanduel.com/
