-1249852061	microsoft outlook	http://autodiscover.skyscanner.net/
-1279294674	zendesk-support	http://carhirehelp.skyscanner.net/
-1279294674	zendesk-support	http://help.skyscanner.net/
-1279294674	zendesk-support	http://hotelshelp.skyscanner.net/
-1279294674	zendesk-support	http://support.business.skyscanner.net/
-1279294674	zendesk-support	http://traveller-support.skyscanner.net/
-1279294674	zendesk-support	https://carhirehelp.skyscanner.net/
-1279294674	zendesk-support	https://help.skyscanner.net/
-1279294674	zendesk-support	https://hotelshelp.skyscanner.net/
-1279294674	zendesk-support	https://support.business.skyscanner.net/
-1279294674	zendesk-support	https://traveller-support.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://carhirehelp.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://help.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://hotelshelp.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://support.business.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	http://traveller-support.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://carhirehelp.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://help.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://hotelshelp.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://support.business.skyscanner.net/
1f2804bd63515db219aeea50f61df277	zendesk-support	https://traveller-support.skyscanner.net/
855273746	jira	https://gojira.skyscanner.net/
