1262005940	jamf pro login	https://jamfpro.spotify.net/
1274734426	blankwhite	http://live.spotify.net/
1274734426	blankwhite	https://live.spotify.net/
-1441956789	tableau	https://tableau-dashboards.spotify.net/
-1441956789	tableau	https://tableau-dashboards.spotify.net:443/
-1441956789	tableau	https://tableau-dev.spotify.net/
-1441956789	tableau	https://tableau-dev.spotify.net:443/
-1441956789	tableau	http://tableau-dashboards.spotify.net/
-1441956789	tableau	http://tableau-dev.spotify.net/
-2009722838	react	http://chordplayer.spotify.net/
-2009722838	react	https://chordplayer.spotify.net/
855273746	jira	https://jira.spotify.net/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	http://live.spotify.net/
8b5a97b687b1fb900d94bc7b1187438f	blankwhite	https://live.spotify.net/
