[domain] krant.ad.nl:53
[http] abonnementen.ad.nl:80
[http] acc.ad.nl:80
[http] acc.voordeel.ad.nl:80
[http] advertorial.ad.nl:80
[http] brandedcontent.ad.nl:80
[http] caps-acc.ad.nl:80
[http] e.email.ad.nl:80
[http] kortingscodes.ad.nl:80
[http] krant.ad.nl:80
[http] live.ad.nl:80
[http] mobileapi-acc.ad.nl:80
[http] mobileapi.ad.nl:80
[http] prikwijzer.ad.nl:80
[http] puzzels.ad.nl:80
[https] abonnementen.ad.nl:443
[https] acc.ad.nl:443
[https] acc.voordeel.ad.nl:443
[https] advertorial.ad.nl:443
[https] brandedcontent.ad.nl:443
[https] caps-acc.ad.nl:443
[http] secure-acc.ad.nl:80
[https] e.email.ad.nl:443
[https] kortingscodes.ad.nl:443
[https] krant.ad.nl:443
[https] live.ad.nl:443
[https] mobileapi-acc.ad.nl:443
[https] mobileapi.ad.nl:443
[https] prikwijzer.ad.nl:443
[https] puzzels.ad.nl:443
[https] secure-acc.ad.nl:443
[https] stories.ad.nl:443
[https] story.ad.nl:443
[https] t.ad.nl:443
[http] stories.ad.nl:80
[http] story.ad.nl:80
[https] video.ad.nl:443
[https] voordeel.ad.nl:443
[https] web.ad.nl:443
[https] webwinkel.ad.nl:443
[https] wedstrijd.ad.nl:443
[http] t.ad.nl:80
[http] video.ad.nl:80
[http] voordeel.ad.nl:80
[http] web.ad.nl:80
[http] webwinkel.ad.nl:80
[http] wedstrijd.ad.nl:80
[ntp] krant.ad.nl:123
