[domain] ww01.aips-services.com:53
[http] api.aips-services.com:80
[http] dev.aips-services.com:80
[http] dev-grafana.aips-services.com:80
[http] dev-kibana.aips-services.com:80
[http] dev-polaris.aips-services.com:80
[http] dev-prometheus.aips-services.com:80
[http] dev-services.aips-services.com:80
[http] dev-supercluster.aips-services.com:80
[http] dev-v19-grafana.aips-services.com:80
[http] dev-v19-kibana.aips-services.com:80
[http] dev-v19-polaris.aips-services.com:80
[http] dev-v19-prometheus.aips-services.com:80
[http] dev-v19-services.aips-services.com:80
[http] prod.aips-services.com:80
[http] prod-au-grafana.aips-services.com:80
[http] prod-au-kibana.aips-services.com:80
[http] prod-au-polaris.aips-services.com:80
[http] prod-au-prometheus.aips-services.com:80
[http] prod-au-services.aips-services.com:80
[http] prod-au-v15-grafana.aips-services.com:80
[http] prod-au-v15-kibana.aips-services.com:80
[http] prod-au-v15-polaris.aips-services.com:80
[http] prod-au-v15-prometheus.aips-services.com:80
[http] prod-au-v15-services.aips-services.com:80
[http] prod-sg-grafana.aips-services.com:80
[http] prod-sg-kibana.aips-services.com:80
[http] prod-sg-polaris.aips-services.com:80
[http] prod-sg-prometheus.aips-services.com:80
[http] prod-sg-services.aips-services.com:80
[http] prod-sg-v15-grafana.aips-services.com:80
[http] prod-sg-v15-kibana.aips-services.com:80
[http] prod-sg-v15-polaris.aips-services.com:80
[http] prod-sg-v15-prometheus.aips-services.com:80
[http] prod-sg-v15-services.aips-services.com:80
[http] prod-supercluster.aips-services.com:80
[https] api.aips-services.com:443
[https] dev.aips-services.com:443
[https] dev-grafana.aips-services.com:443
[https] dev-kibana.aips-services.com:443
[https] dev-polaris.aips-services.com:443
[https] dev-prometheus.aips-services.com:443
[https] dev-services.aips-services.com:443
[https] dev-supercluster.aips-services.com:443
[https] dev-v19-grafana.aips-services.com:443
[https] dev-v19-kibana.aips-services.com:443
[https] dev-v19-polaris.aips-services.com:443
[https] dev-v19-prometheus.aips-services.com:443
[https] dev-v19-services.aips-services.com:443
[https] prod.aips-services.com:443
[https] prod-au-grafana.aips-services.com:443
[https] prod-au-kibana.aips-services.com:443
[https] prod-au-polaris.aips-services.com:443
[https] prod-au-prometheus.aips-services.com:443
[https] prod-au-services.aips-services.com:443
[https] prod-au-v15-grafana.aips-services.com:443
[https] prod-au-v15-kibana.aips-services.com:443
[https] prod-au-v15-polaris.aips-services.com:443
[https] prod-au-v15-prometheus.aips-services.com:443
[https] prod-au-v15-services.aips-services.com:443
[https] prod-sg-grafana.aips-services.com:443
[https] prod-sg-kibana.aips-services.com:443
[https] prod-sg-polaris.aips-services.com:443
[https] prod-sg-prometheus.aips-services.com:443
[https] prod-sg-services.aips-services.com:443
[https] prod-sg-v15-grafana.aips-services.com:443
[https] prod-sg-v15-kibana.aips-services.com:443
[https] prod-sg-v15-polaris.aips-services.com:443
[https] prod-sg-v15-prometheus.aips-services.com:443
[https] prod-sg-v15-services.aips-services.com:443
[https] prod-supercluster.aips-services.com:443
[https] stag.aips-services.com:443
[https] stag-grafana.aips-services.com:443
[https] staging.aips-services.com:443
[https] staging-grafana.aips-services.com:443
[https] staging-kibana.aips-services.com:443
[https] staging-polaris.aips-services.com:443
[https] staging-prometheus.aips-services.com:443
[https] staging-services.aips-services.com:443
[https] stag-kibana.aips-services.com:443
[https] stag-polaris.aips-services.com:443
[https] stag-prometheus.aips-services.com:443
[https] stag-services.aips-services.com:443
[https] stag-supercluster.aips-services.com:443
[https] stag-v17-grafana.aips-services.com:443
[https] stag-v17-kibana.aips-services.com:443
[https] stag-v17-polaris.aips-services.com:443
[https] stag-v17-prometheus.aips-services.com:443
[https] stag-v17-services.aips-services.com:443
[http] stag.aips-services.com:80
[http] stag-grafana.aips-services.com:80
[http] staging.aips-services.com:80
[http] staging-grafana.aips-services.com:80
[http] staging-kibana.aips-services.com:80
[http] staging-polaris.aips-services.com:80
[http] staging-prometheus.aips-services.com:80
[http] staging-services.aips-services.com:80
[http] stag-kibana.aips-services.com:80
[http] stag-polaris.aips-services.com:80
[http] stag-prometheus.aips-services.com:80
[http] stag-services.aips-services.com:80
[http] stag-supercluster.aips-services.com:80
[http] stag-v17-grafana.aips-services.com:80
[http] stag-v17-kibana.aips-services.com:80
[http] stag-v17-polaris.aips-services.com:80
[http] stag-v17-prometheus.aips-services.com:80
[http] stag-v17-services.aips-services.com:80
[https] ww01.aips-services.com:443
[http] ww01.aips-services.com:80
