[cddbp-alt] airbnbcitizen.com:8880
[eli] airbnbcitizen.com:2087
[gnunet] airbnbcitizen.com:2086
[http] actnow.airbnbcitizen.com:80
[http] airbnbcitizen.com:80
[http-proxy] actnow.airbnbcitizen.com:8080
[http-proxy] airbnbcitizen.com:8080
[http-proxy] www.airbnbcitizen.com:8080
[https] actnow.airbnbcitizen.com:443
[https] airbnbcitizen.com:443
[https-alt] actnow.airbnbcitizen.com:8443
[https-alt] airbnbcitizen.com:8443
[https-alt] www.airbnbcitizen.com:8443
[https] www.airbnbcitizen.com:443
[http] www.airbnbcitizen.com:80
[infowave] airbnbcitizen.com:2082
[knetd] airbnbcitizen.com:2053
[nbx-dir] airbnbcitizen.com:2096
[radsec] airbnbcitizen.com:2083
