[eli] docs.apex.exchange:2087
[http] apex.exchange:80
[http] api.apex.exchange:80
[http] app.apex.exchange:80
[http] app-dev-feature.apex.exchange:80
[http] autodiscover.apex.exchange:80
[http] beta.apex.exchange:80
[http] dev.pro.apex.exchange:80
[http] docs.apex.exchange:80
[http] h5.dev.pro.apex.exchange:80
[http] h5.qa.pro.apex.exchange:80
[http] qa.pro.apex.exchange:80
[http] quote-dev.pro.apex.exchange:80
[http] quote-qa.pro.apex.exchange:80
[https-alt] docs.apex.exchange:8443
[https] autodiscover.apex.exchange:443
[https] dev.pro.apex.exchange:443
[https] h5.dev.pro.apex.exchange:443
[https] h5.qa.pro.apex.exchange:443
[https] qa.pro.apex.exchange:443
[https] quote-dev.pro.apex.exchange:443
[https] quote-qa.pro.apex.exchange:443
[http] staging.apex.exchange:80
[http] test.apex.exchange:80
[http] translations.apex.exchange:80
[http] www.apex.exchange:80
[infowave] docs.apex.exchange:2082
