[clearvisn] press.base.be:2052
[domain] ns10.base.be:53
[domain] ns20.base.be:53
[domain] ns30.base.be:53
[eli] press.base.be:2087
[gnunet] press.base.be:2086
[h323q931] api.dvp.base.be:1720
[h323q931] api.edp.base.be:1720
[h323q931] api.int.base.be:1720
[h323q931] api.lat.base.be:1720
[h323q931] api.mre.base.be:1720
[h323q931] api.sup.base.be:1720
[h323q931] api.trg.base.be:1720
[h323q931] api.uat.base.be:1720
[h323q931] chat.int.base.be:1720
[h323q931] chat.lat.base.be:1720
[h323q931] chat.trg.base.be:1720
[h323q931] chat.uat.base.be:1720
[h323q931] customerzone.dvp.base.be:1720
[h323q931] customerzone.edp.base.be:1720
[h323q931] customerzone.int.base.be:1720
[h323q931] customerzone.lat.base.be:1720
[h323q931] customerzone.mre.base.be:1720
[h323q931] customerzone.sup.base.be:1720
[h323q931] customerzone.trg.base.be:1720
[h323q931] customerzone.uat.base.be:1720
[h323q931] login2.dvp.base.be:1720
[h323q931] login2.edp.base.be:1720
[h323q931] login2.int.base.be:1720
[h323q931] login2.lat.base.be:1720
[h323q931] login2.mre.base.be:1720
[h323q931] login2.sup.base.be:1720
[h323q931] login2.trg.base.be:1720
[h323q931] login2.uat.base.be:1720
[h323q931] login.dvp.base.be:1720
[h323q931] login.edp.base.be:1720
[h323q931] login.int.base.be:1720
[h323q931] login.lat.base.be:1720
[h323q931] login.mre.base.be:1720
[h323q931] login.sup.base.be:1720
[h323q931] login.trg.base.be:1720
[h323q931] login.uat.base.be:1720
[h323q931] shop.dvp.base.be:1720
[h323q931] shop.edp.base.be:1720
[h323q931] shop.int.base.be:1720
[h323q931] shop.lat.base.be:1720
[h323q931] shop.mre.base.be:1720
[h323q931] shop.sup.base.be:1720
[h323q931] shop.trg.base.be:1720
[h323q931] shop.uat.base.be:1720
[h323q931] turk.int.base.be:1720
[h323q931] turk.stg.base.be:1720
[h323q931] turk.trg.base.be:1720
[h323q931] turk.uat.base.be:1720
[h323q931] www-dev1.base.be:1720
[h323q931] www-dev2.base.be:1720
[h323q931] www.dvp.base.be:1720
[h323q931] www.edp.base.be:1720
[h323q931] www-int1.base.be:1720
[h323q931] www-int2.base.be:1720
[h323q931] www.int.base.be:1720
[h323q931] www.lat.base.be:1720
[h323q931] www.mre.base.be:1720
[h323q931] www-stg.base.be:1720
[h323q931] www.sup.base.be:1720
[h323q931] www.trg.base.be:1720
[h323q931] www-uat.base.be:1720
[h323q931] www.uat.base.be:1720
[http] api.base.be:80
[http] api.dvp.base.be:80
[http] api.edp.base.be:80
[http] api.int.base.be:80
[http] api.lat.base.be:80
[http] api.mre.base.be:80
[http] api.prd.base.be:80
[http] api.sup.base.be:80
[http] api.trg.base.be:80
[http] api.uat.base.be:80
[http] base.be:80
[http] basetest.base.be:80
[http] chat.int.base.be:80
[http] chat.lat.base.be:80
[http] chat.prd.base.be:80
[http] chat.trg.base.be:80
[http] chat.uat.base.be:80
[http] comm.int.base.be:80
[http] comm.uat.base.be:80
[http] community.base.be:80
[http] customerzone.base.be:80
[http] customerzone.dvp.base.be:80
[http] customerzone.edp.base.be:80
[http] customerzone.int.base.be:80
[http] customerzone.lat.base.be:80
[http] customerzone.mre.base.be:80
[http] customerzone.prd.base.be:80
[http] customerzone.sup.base.be:80
[http] customerzone.trg.base.be:80
[http] customerzone.uat.base.be:80
[http] en-uk-help.base.be:80
[http] e.videocall.base.be:80
[http] fr-be-help.base.be:80
[http] fun.base.be:80
[http] getoperator.base.be:80
[http] login2.dvp.base.be:80
[http] login2.edp.base.be:80
[http] login2.int.base.be:80
[http] login2.lat.base.be:80
[http] login2.mre.base.be:80
[http] login2.prd.base.be:80
[http] login2.sup.base.be:80
[http] login2.trg.base.be:80
[http] login2.uat.base.be:80
[http] login.base.be:80
[http] login.dvp.base.be:80
[http] login.edp.base.be:80
[http] login.int.base.be:80
[http] login.lat.base.be:80
[http] login.mre.base.be:80
[http] login.prd.base.be:80
[http] login.sup.base.be:80
[http] login.trg.base.be:80
[http] login.uat.base.be:80
[http] metrics.base.be:80
[http] metrics.prd.base.be:80
[http] m.int.base.be:80
[http] mkt.base.be:80
[http] mms.base.be:80
[http] m.prd.base.be:80
[http] m.uat.base.be:80
[http] nl-be-help.base.be:80
[http] old-site.base.be:80
[http] press.base.be:80
[http] promotion.base.be:80
[http] pro-repair.base.be:80
[http-proxy] comm.int.base.be:8080
[http-proxy] comm.uat.base.be:8080
[http-proxy] m.int.base.be:8080
[http-proxy] m.uat.base.be:8080
[http-proxy] press.base.be:8080
[http-proxy] s.int.base.be:8080
[http-proxy] s.uat.base.be:8080
[http] qrbcmc.base.be:80
[http] qrbcmc-stag.base.be:80
[http] repair.base.be:80
[https-alt] api.base.be:8443
[https-alt] api.dvp.base.be:8443
[https-alt] api.edp.base.be:8443
[https-alt] api.int.base.be:8443
[https-alt] api.lat.base.be:8443
[https-alt] api.mre.base.be:8443
[https-alt] api.prd.base.be:8443
[https-alt] api.sup.base.be:8443
[https-alt] api.trg.base.be:8443
[https-alt] api.uat.base.be:8443
[https-alt] chat.int.base.be:8443
[https-alt] chat.lat.base.be:8443
[https-alt] chat.prd.base.be:8443
[https-alt] chat.trg.base.be:8443
[https-alt] chat.uat.base.be:8443
[https-alt] community.base.be:8443
[https-alt] login2.dvp.base.be:8443
[https-alt] login2.edp.base.be:8443
[https-alt] login2.int.base.be:8443
[https-alt] login2.lat.base.be:8443
[https-alt] login2.mre.base.be:8443
[https-alt] login2.prd.base.be:8443
[https-alt] login2.sup.base.be:8443
[https-alt] login2.trg.base.be:8443
[https-alt] login2.uat.base.be:8443
[https-alt] login.base.be:8443
[https-alt] login.dvp.base.be:8443
[https-alt] login.edp.base.be:8443
[https-alt] login.int.base.be:8443
[https-alt] login.lat.base.be:8443
[https-alt] login.mre.base.be:8443
[https-alt] login.prd.base.be:8443
[https-alt] login.sup.base.be:8443
[https-alt] login.trg.base.be:8443
[https-alt] login.uat.base.be:8443
[https-alt] press.base.be:8443
[https-alt] shop.base.be:8443
[https-alt] shop.dvp.base.be:8443
[https-alt] shop.edp.base.be:8443
[https-alt] shop.int.base.be:8443
[https-alt] shop.lat.base.be:8443
[https-alt] shop.mre.base.be:8443
[https-alt] shop.prd.base.be:8443
[https-alt] shop.sup.base.be:8443
[https-alt] shop.trg.base.be:8443
[https-alt] shop.uat.base.be:8443
[https] api.base.be:443
[https] api.dvp.base.be:443
[https] api.edp.base.be:443
[https] api.int.base.be:443
[https] api.lat.base.be:443
[https] api.mre.base.be:443
[https] api.prd.base.be:443
[https] api.sup.base.be:443
[https] api.trg.base.be:443
[https] api.uat.base.be:443
[https] base.be:443
[http] s.base.be:80
[https] basetest.base.be:443
[https] chat.int.base.be:443
[https] chat.lat.base.be:443
[https] chat.prd.base.be:443
[https] chat.trg.base.be:443
[https] chat.uat.base.be:443
[https] comm.int.base.be:443
[https] comm.uat.base.be:443
[https] community.base.be:443
[https] customerzone.base.be:443
[https] customerzone.dvp.base.be:443
[https] customerzone.edp.base.be:443
[https] customerzone.int.base.be:443
[https] customerzone.lat.base.be:443
[https] customerzone.mre.base.be:443
[https] customerzone.prd.base.be:443
[https] customerzone.sup.base.be:443
[https] customerzone.trg.base.be:443
[https] customerzone.uat.base.be:443
[https] en-uk-help.base.be:443
[https] e.videocall.base.be:443
[https] extranet.base.be:443
[https] fr-be-help.base.be:443
[https] fun.base.be:443
[https] getoperator.base.be:443
[http] shop.base.be:80
[http] shop.dvp.base.be:80
[http] shop.edp.base.be:80
[http] shop.int.base.be:80
[http] shop.lat.base.be:80
[http] shop.mre.base.be:80
[http] shop.prd.base.be:80
[http] shop.sup.base.be:80
[http] shop.trg.base.be:80
[http] shop.uat.base.be:80
[http] s.int.base.be:80
[http] skyfire.base.be:80
[https] login2.dvp.base.be:443
[https] login2.edp.base.be:443
[https] login2.int.base.be:443
[https] login2.lat.base.be:443
[https] login2.mre.base.be:443
[https] login2.prd.base.be:443
[https] login2.sup.base.be:443
[https] login2.trg.base.be:443
[https] login2.uat.base.be:443
[https] login.base.be:443
[https] login.dvp.base.be:443
[https] login.edp.base.be:443
[https] login.int.base.be:443
[https] login.lat.base.be:443
[https] login.mre.base.be:443
[https] login.prd.base.be:443
[https] login.sup.base.be:443
[https] login.trg.base.be:443
[https] login.uat.base.be:443
[http] smartphones.base.be:80
[https] metrics.base.be:443
[http] smetrics.base.be:80
[https] metrics.prd.base.be:443
[http] smetrics.prd.base.be:80
[https] m.int.base.be:443
[https] mkt.base.be:443
[https] mms.base.be:443
[https] m.prd.base.be:443
[https] m.uat.base.be:443
[https] nl-be-help.base.be:443
[https] old-site.base.be:443
[http] s.prd.base.be:80
[https] press.base.be:443
[https] promotion.base.be:443
[https] pro-repair.base.be:443
[https] qrbcmc.base.be:443
[https] qrbcmc-stag.base.be:443
[https] repair.base.be:443
[https] s.base.be:443
[https] shop.base.be:443
[https] shop.dvp.base.be:443
[https] shop.edp.base.be:443
[https] shop.int.base.be:443
[https] shop.lat.base.be:443
[https] shop.mre.base.be:443
[https] shop.prd.base.be:443
[https] shop.sup.base.be:443
[https] shop.trg.base.be:443
[https] shop.uat.base.be:443
[https] s.int.base.be:443
[https] skyfire.base.be:443
[https] smartphones.base.be:443
[https] smetrics.base.be:443
[https] smetrics.prd.base.be:443
[https] s.prd.base.be:443
[https] s.uat.base.be:443
[https] tadaam.base.be:443
[https] target.base.be:443
[https] target.prd.base.be:443
[https] turk.int.base.be:443
[https] turk.prd.base.be:443
[https] turk.stg.base.be:443
[https] turk.trg.base.be:443
[https] turk.uat.base.be:443
[http] s.uat.base.be:80
[https] www.base.be:443
[https] www-dev1.base.be:443
[https] www-dev2.base.be:443
[https] www.dvp.base.be:443
[https] www.edp.base.be:443
[https] www-int1.base.be:443
[https] www-int2.base.be:443
[https] www.int.base.be:443
[https] www.lat.base.be:443
[https] www.mre.base.be:443
[https] www.prd.base.be:443
[https] www-stg.base.be:443
[https] www.sup.base.be:443
[https] www.trg.base.be:443
[https] www-uat.base.be:443
[https] www.uat.base.be:443
[http] tadaam.base.be:80
[http] target.base.be:80
[http] target.prd.base.be:80
[http] turk.int.base.be:80
[http] turk.prd.base.be:80
[http] turk.stg.base.be:80
[http] turk.trg.base.be:80
[http] turk.uat.base.be:80
[http] www.base.be:80
[http] www-dev1.base.be:80
[http] www-dev2.base.be:80
[http] www.dvp.base.be:80
[http] www.edp.base.be:80
[http] www-int1.base.be:80
[http] www-int2.base.be:80
[http] www.int.base.be:80
[http] www.lat.base.be:80
[http] www.mre.base.be:80
[http] www.prd.base.be:80
[http] www-stg.base.be:80
[http] www.sup.base.be:80
[http] www.trg.base.be:80
[http] www-uat.base.be:80
[http] www.uat.base.be:80
[infowave] press.base.be:2082
[knetd] press.base.be:2053
[ms-wbt-server] mobilemail.base.be:3389
[ms-wbt-server] testmail.base.be:3389
[nbx-ser] press.base.be:2095
[radsec] press.base.be:2083
[wsmans] mobilemail.base.be:5986
