[ansoft-lm-2] cf.berush.com:1084
[blackice-icecap] cf.berush.com:8081
[ctf] cf.berush.com:84
[dnp] cf.berush.com:20000
[d-s-n] cf.berush.com:8086
[epp] cf.berush.com:700
[ff-annunc] cf.berush.com:1089
[http] api.berush.com:80
[http] cf.berush.com:80
[http] mail.berush.com:80
[http] pm.berush.com:80
[http-proxy] api.berush.com:8080
[http-proxy] cf.berush.com:8080
[http-proxy] pm.berush.com:8080
[http-proxy] www.berush.com:8080
[https-alt] api.berush.com:8443
[https-alt] cf.berush.com:8443
[https-alt] pm.berush.com:8443
[https-alt] www.berush.com:8443
[https] api.berush.com:443
[https] cf.berush.com:443
[https] mail.berush.com:443
[https] pm.berush.com:443
[https] www.berush.com:443
[http] www.berush.com:80
[ies-lm] cf.berush.com:1443
[imap] cf.berush.com:143
[imaps] cf.berush.com:993
[jetdirect] cf.berush.com:9100
[mit-ml-dev] cf.berush.com:83
[mit-ml-dev] cf.berush.com:85
[ms-wbt-server] cf.berush.com:3389
[ncd-conf] cf.berush.com:5999
[ndmps] cf.berush.com:30000
[opsmessaging] cf.berush.com:8090
[pop3] cf.berush.com:110
[pop3s] cf.berush.com:995
[postgresql] cf.berush.com:5432
[radan-http] cf.berush.com:8088
[rtmp] cf.berush.com:1935
[smtp] cf.berush.com:25
[smtps] cf.berush.com:465
[submission] cf.berush.com:587
[su-mit-tg] cf.berush.com:89
[unknown] cf.berush.com:8085
[unknown] cf.berush.com:8089
[unknown] cf.berush.com:8099
[vnc-1] cf.berush.com:5901
[vnc] cf.berush.com:5900
[wap-wsp] cf.berush.com:9200
[webobjects] cf.berush.com:1085
[whois] cf.berush.com:43
[xmpp-client] cf.berush.com:5222
