[cddbp-alt] betfair.it:8880
[clearvisn] affiliates.betfair.it:2052
[clearvisn] betfair.it:2052
[eli] affiliates.betfair.it:2087
[eli] betfair.it:2087
[gnunet] affiliates.betfair.it:2086
[gnunet] betfair.it:2086
[http] account-messaging.betfair.it:80
[http] accountservices.betfair.it:80
[http] acwbf.betfair.it:80
[http] affiliates.betfair.it:80
[http] api.betfair.it:80
[http] apieds.betfair.it:80
[http] apiems.betfair.it:80
[http] apiemsios.betfair.it:80
[http] apismx.betfair.it:80
[http] assets.betfair.it:80
[http] betfair.it:80
[http] cashout-exchange.betfair.it:80
[http] cashout-service.betfair.it:80
[http] cashrace.betfair.it:80
[http] casino.betfair.it:80
[http] cbs.betfair.it:80
[http] cro.betfair.it:80
[http] ebs-api.betfair.it:80
[http] ero.betfair.it:80
[http] etx.betfair.it:80
[http] fcq-service.betfair.it:80
[http] foebf.betfair.it:80
[http] gfe.betfair.it:80
[http] giocoresponsabile.betfair.it:80
[http] gmd.betfair.it:80
[http] graphs.betfair.it:80
[http] grouting.betfair.it:80
[http] guidachat.betfair.it:80
[http] identitysso.betfair.it:80
[http] ie1-account-messaging.betfair.it:80
[http] ie1-apiems.betfair.it:80
[http] ie1-cashrace.betfair.it:80
[http] ie1-etx.betfair.it:80
[http] ie1-gmd.betfair.it:80
[http] ie1-graphs.betfair.it:80
[http] ie1-itsbmga.betfair.it:80
[http] ie1-launcher.betfair.it:80
[http] ie1-myactivity-cdn.betfair.it:80
[http] ie1-poker.betfair.it:80
[http] ie1-pphbf.betfair.it:80
[http] ie1-promotions.betfair.it:80
[http] ie1-promozioni.betfair.it:80
[http] ie1-rewardchest.betfair.it:80
[http] ie1-sco.betfair.it:80
[http] ie1-smd.betfair.it:80
[http] ie1-smt.betfair.it:80
[http] ie1-uspbf.betfair.it:80
[http] ie1-vqa.betfair.it:80
[http] ie2-account-messaging.betfair.it:80
[http] ie2-apieds.betfair.it:80
[http] ie2-apiems.betfair.it:80
[http] ie2-cashrace.betfair.it:80
[http] ie2-gmd.betfair.it:80
[http] ie2-graphs.betfair.it:80
[http] ie2-itsbmga.betfair.it:80
[http] ie2-myactivity-cdn.betfair.it:80
[http] ie2-poker.betfair.it:80
[http] ie2-pphbf.betfair.it:80
[http] ie2-promotions.betfair.it:80
[http] ie2-promozioni.betfair.it:80
[http] ie2-rewardchest.betfair.it:80
[http] ie2-sco.betfair.it:80
[http] ie2-sib.betfair.it:80
[http] ie2-smd.betfair.it:80
[http] ie2-smt.betfair.it:80
[http] ie2-usp.betfair.it:80
[http] ie2-uspbf.betfair.it:80
[http] ie2-vqa.betfair.it:80
[http] ips.betfair.it:80
[http] launcher.betfair.it:80
[http] lbr.betfair.it:80
[http] maintenance.betfair.it:80
[http] mcasino.betfair.it:80
[http] messaging.betfair.it:80
[http] m.mails.betfair.it:80
[http] msoid.betfair.it:80
[http] mvegas.betfair.it:80
[http] myacc.betfair.it:80
[http] myaccount.betfair.it:80
[http] myactivity.betfair.it:80
[http] myactivity-cdn.betfair.it:80
[http] mycards.betfair.it:80
[http] myfunds.betfair.it:80
[http] nssbf.betfair.it:80
[http] partnerships.betfair.it:80
[http] play.betfair.it:80
[http] playerprotection.betfair.it:80
[http] poker.betfair.it:80
[http] pokersg.betfair.it:80
[http] pphbf.betfair.it:80
[http] promotions.betfair.it:80
[http] promozioni.betfair.it:80
[http-proxy] account-messaging.betfair.it:8080
[http-proxy] accountservices.betfair.it:8080
[http-proxy] acwbf.betfair.it:8080
[http-proxy] affiliates.betfair.it:8080
[http-proxy] api.betfair.it:8080
[http-proxy] apieds.betfair.it:8080
[http-proxy] apiems.betfair.it:8080
[http-proxy] apiemsios.betfair.it:8080
[http-proxy] apismx.betfair.it:8080
[http-proxy] assets.betfair.it:8080
[http-proxy] betfair.it:8080
[http-proxy] cashout-exchange.betfair.it:8080
[http-proxy] cashout-service.betfair.it:8080
[http-proxy] cashrace.betfair.it:8080
[http-proxy] casino.betfair.it:8080
[http-proxy] cbs.betfair.it:8080
[http-proxy] cro.betfair.it:8080
[http-proxy] ebs-api.betfair.it:8080
[http-proxy] ero.betfair.it:8080
[http-proxy] etx.betfair.it:8080
[http-proxy] fcq-service.betfair.it:8080
[http-proxy] foebf.betfair.it:8080
[http-proxy] gfe.betfair.it:8080
[http-proxy] giocoresponsabile.betfair.it:8080
[http-proxy] gmd.betfair.it:8080
[http-proxy] graphs.betfair.it:8080
[http-proxy] grouting.betfair.it:8080
[http-proxy] identitysso.betfair.it:8080
[http-proxy] ips.betfair.it:8080
[http-proxy] launcher.betfair.it:8080
[http-proxy] lbr.betfair.it:8080
[http-proxy] maintenance.betfair.it:8080
[http-proxy] messaging.betfair.it:8080
[http-proxy] myacc.betfair.it:8080
[http-proxy] myaccount.betfair.it:8080
[http-proxy] myactivity.betfair.it:8080
[http-proxy] myactivity-cdn.betfair.it:8080
[http-proxy] myfunds.betfair.it:8080
[http-proxy] nssbf.betfair.it:8080
[http-proxy] partnerships.betfair.it:8080
[http-proxy] play.betfair.it:8080
[http-proxy] playerprotection.betfair.it:8080
[http-proxy] poker.betfair.it:8080
[http-proxy] pokersg.betfair.it:8080
[http-proxy] pphbf.betfair.it:8080
[http-proxy] promotions.betfair.it:8080
[http-proxy] promozioni.betfair.it:8080
[http-proxy] register.betfair.it:8080
[http-proxy] rewardchest.betfair.it:8080
[http-proxy] sco.betfair.it:8080
[http-proxy] scommesse.betfair.it:8080
[http-proxy] scommesseonline.betfair.it:8080
[http-proxy] segnalaeguadagna.betfair.it:8080
[http-proxy] sib.betfair.it:8080
[http-proxy] smd.betfair.it:8080
[http-proxy] smp.betfair.it:8080
[http-proxy] smt.betfair.it:8080
[http-proxy] spb.betfair.it:8080
[http-proxy] ssc.betfair.it:8080
[http-proxy] strands.betfair.it:8080
[http-proxy] support.betfair.it:8080
[http-proxy] usp.betfair.it:8080
[http-proxy] vegas.betfair.it:8080
[http-proxy] videoplayer.betfair.it:8080
[http-proxy] vqa.betfair.it:8080
[http-proxy] was.betfair.it:8080
[http-proxy] wss.betfair.it:8080
[http-proxy] www.betfair.it:8080
[http] register.betfair.it:80
[http] rewardchest.betfair.it:80
[https] account-messaging.betfair.it:443
[https] accountservices.betfair.it:443
[https] acwbf.betfair.it:443
[https] affiliates.betfair.it:443
[https-alt] account-messaging.betfair.it:8443
[https-alt] accountservices.betfair.it:8443
[https-alt] acwbf.betfair.it:8443
[https-alt] affiliates.betfair.it:8443
[https-alt] api.betfair.it:8443
[https-alt] apieds.betfair.it:8443
[https-alt] apiems.betfair.it:8443
[https-alt] apiemsios.betfair.it:8443
[https-alt] apismx.betfair.it:8443
[https-alt] assets.betfair.it:8443
[https-alt] betfair.it:8443
[https-alt] cashout-exchange.betfair.it:8443
[https-alt] cashout-service.betfair.it:8443
[https-alt] cashrace.betfair.it:8443
[https-alt] casino.betfair.it:8443
[https-alt] cbs.betfair.it:8443
[https-alt] cro.betfair.it:8443
[https-alt] ebs-api.betfair.it:8443
[https-alt] ero.betfair.it:8443
[https-alt] etx.betfair.it:8443
[https-alt] fcq-service.betfair.it:8443
[https-alt] foebf.betfair.it:8443
[https-alt] gfe.betfair.it:8443
[https-alt] giocoresponsabile.betfair.it:8443
[https-alt] gmd.betfair.it:8443
[https-alt] graphs.betfair.it:8443
[https-alt] grouting.betfair.it:8443
[https-alt] identitysso.betfair.it:8443
[https-alt] ips.betfair.it:8443
[https-alt] launcher.betfair.it:8443
[https-alt] lbr.betfair.it:8443
[https-alt] maintenance.betfair.it:8443
[https-alt] messaging.betfair.it:8443
[https-alt] myacc.betfair.it:8443
[https-alt] myaccount.betfair.it:8443
[https-alt] myactivity.betfair.it:8443
[https-alt] myactivity-cdn.betfair.it:8443
[https-alt] myfunds.betfair.it:8443
[https-alt] nssbf.betfair.it:8443
[https-alt] partnerships.betfair.it:8443
[https-alt] play.betfair.it:8443
[https-alt] playerprotection.betfair.it:8443
[https-alt] poker.betfair.it:8443
[https-alt] pokersg.betfair.it:8443
[https-alt] pphbf.betfair.it:8443
[https-alt] promotions.betfair.it:8443
[https-alt] promozioni.betfair.it:8443
[https-alt] register.betfair.it:8443
[https-alt] rewardchest.betfair.it:8443
[https-alt] sco.betfair.it:8443
[https-alt] scommesse.betfair.it:8443
