[cddbp-alt] betfair.ro:8880
[eli] betfair.ro:2087
[http] apieds.betfair.ro:80
[http] apismx.betfair.ro:80
[http] assets.betfair.ro:80
[http] beatthedrop.betfair.ro:80
[http] betfair.ro:80
[http] cashout-service.betfair.ro:80
[http] cashrace.betfair.ro:80
[http] cbs.betfair.ro:80
[http] cloud.betfair.ro:80
[http] cro.betfair.ro:80
[http] ero.betfair.ro:80
[http] etx.betfair.ro:80
[http] fcq-service.betfair.ro:80
[http] games.betfair.ro:80
[http] gfe.betfair.ro:80
[http] gmd.betfair.ro:80
[http] graphs.betfair.ro:80
[http] identitysso.betfair.ro:80
[http] ips.betfair.ro:80
[http] jocresponsabil.betfair.ro:80
[http] launcher.betfair.ro:80
[http] lbr.betfair.ro:80
[http] livevideo.betfair.ro:80
[http] maintenance.betfair.ro:80
[http] m.betfair.ro:80
[http] messaging.betfair.ro:80
[http] m.mail.betfair.ro:80
[http] myacc.betfair.ro:80
[http] myaccount.betfair.ro:80
[http] myactivity.betfair.ro:80
[http] mycards.betfair.ro:80
[http] myfunds.betfair.ro:80
[http] mypromos.betfair.ro:80
[http] pariuri.betfair.ro:80
[http] partnerships.betfair.ro:80
[http] play.betfair.ro:80
[http] playerprotection.betfair.ro:80
[http] promotions.betfair.ro:80
[http-proxy] apieds.betfair.ro:8080
[http-proxy] apismx.betfair.ro:8080
[http-proxy] assets.betfair.ro:8080
[http-proxy] betfair.ro:8080
[http-proxy] cashout-service.betfair.ro:8080
[http-proxy] cashrace.betfair.ro:8080
[http-proxy] cbs.betfair.ro:8080
[http-proxy] cloud.betfair.ro:8080
[http-proxy] cro.betfair.ro:8080
[http-proxy] ero.betfair.ro:8080
[http-proxy] etx.betfair.ro:8080
[http-proxy] fcq-service.betfair.ro:8080
[http-proxy] games.betfair.ro:8080
[http-proxy] gfe.betfair.ro:8080
[http-proxy] gmd.betfair.ro:8080
[http-proxy] graphs.betfair.ro:8080
[http-proxy] identitysso.betfair.ro:8080
[http-proxy] ips.betfair.ro:8080
[http-proxy] jocresponsabil.betfair.ro:8080
[http-proxy] launcher.betfair.ro:8080
[http-proxy] lbr.betfair.ro:8080
[http-proxy] livevideo.betfair.ro:8080
[http-proxy] maintenance.betfair.ro:8080
[http-proxy] messaging.betfair.ro:8080
[http-proxy] myacc.betfair.ro:8080
[http-proxy] myaccount.betfair.ro:8080
[http-proxy] myactivity.betfair.ro:8080
[http-proxy] myfunds.betfair.ro:8080
[http-proxy] mypromos.betfair.ro:8080
[http-proxy] pariuri.betfair.ro:8080
[http-proxy] partnerships.betfair.ro:8080
[http-proxy] play.betfair.ro:8080
[http-proxy] playerprotection.betfair.ro:8080
[http-proxy] promotions.betfair.ro:8080
[http-proxy] register.betfair.ro:8080
[http-proxy] rus.betfair.ro:8080
[http-proxy] sco.betfair.ro:8080
[http-proxy] sib.betfair.ro:8080
[http-proxy] smd.betfair.ro:8080
[http-proxy] smp.betfair.ro:8080
[http-proxy] smt.betfair.ro:8080
[http-proxy] spb.betfair.ro:8080
[http-proxy] sportsgaming.betfair.ro:8080
[http-proxy] ssc.betfair.ro:8080
[http-proxy] strandsaus.betfair.ro:8080
[http-proxy] strands.betfair.ro:8080
[http-proxy] strandstwine.betfair.ro:8080
[http-proxy] strandsweave.betfair.ro:8080
[http-proxy] support.betfair.ro:8080
[http-proxy] uk-api.betfair.ro:8080
[http-proxy] upload.betfair.ro:8080
[http-proxy] usp.betfair.ro:8080
[http-proxy] vegas.betfair.ro:8080
[http-proxy] videoplayer.betfair.ro:8080
[http-proxy] vqa.betfair.ro:8080
[http-proxy] was.betfair.ro:8080
[http-proxy] wss.betfair.ro:8080
[http-proxy] www.betfair.ro:8080
[http] register.betfair.ro:80
[http] rus.betfair.ro:80
[https-alt] apieds.betfair.ro:8443
[https-alt] apismx.betfair.ro:8443
[https-alt] assets.betfair.ro:8443
[https-alt] betfair.ro:8443
[https-alt] cashout-service.betfair.ro:8443
[https-alt] cashrace.betfair.ro:8443
[https-alt] cbs.betfair.ro:8443
[https-alt] cloud.betfair.ro:8443
[https-alt] cro.betfair.ro:8443
[https-alt] ero.betfair.ro:8443
[https-alt] etx.betfair.ro:8443
[https-alt] fcq-service.betfair.ro:8443
[https-alt] games.betfair.ro:8443
[https-alt] gfe.betfair.ro:8443
