[amqp] info.binary.com:5672
[ansoft-lm-2] info.binary.com:1084
[blackice-icecap] info.binary.com:8081
[ctf] info.binary.com:84
[dn6-nlm-aud] info.binary.com:195
[dnp] info.binary.com:20000
[d-s-n] info.binary.com:8086
[epp] info.binary.com:700
[ff-annunc] info.binary.com:1089
[http] academy.binary.com:80
[http] admin.binary.com:80
[http] affiliates.binary.com:80
[http] api.binary.com:80
[http] backoffice.binary.com:80
[http] banners.binary.com:80
[http] binary.com:80
[http] bitcoin-wallet.binary.com:80
[http] blog.binary.com:80
[http] bot.binary.com:80
[http] careers.binary.com:80
[http] charts.binary.com:80
[http] collector01.binary.com:80
[http] crypto-cashier.binary.com:80
[http] developers.binary.com:80
[http] email.mailgun.binary.com:80
[http] feed01.binary.com:80
[http] info.binary.com:80
[http] lb2.binary.com:80
[http] lb3.binary.com:80
[http] lb.binary.com:80
[http] liveapi.binary.com:80
[http] marketing.binary.com:80
[http] me.binary.com:80
[http] mlt-deal01.binary.com:80
[http] myapps.binary.com:80
[http] oauth.binary.com:80
[http] offers.binary.com:80
[http] onfido.binary.com:80
[http] paymentapi.binary.com:80
[http-proxy] academy.binary.com:8080
[http-proxy] admin.binary.com:8080
[http-proxy] affiliates.binary.com:8080
[http-proxy] api.binary.com:8080
[http-proxy] backoffice.binary.com:8080
[http-proxy] banners.binary.com:8080
[http-proxy] bitcoin-wallet.binary.com:8080
[http-proxy] blog.binary.com:8080
[http-proxy] bot.binary.com:8080
[http-proxy] careers.binary.com:8080
[http-proxy] charts.binary.com:8080
[http-proxy] collector01.binary.com:8080
[http-proxy] crypto-cashier.binary.com:8080
[http-proxy] developers.binary.com:8080
[http-proxy] feed01.binary.com:8080
[http-proxy] info.binary.com:8080
[http-proxy] lb2.binary.com:8080
[http-proxy] lb3.binary.com:8080
[http-proxy] lb.binary.com:8080
[http-proxy] liveapi.binary.com:8080
[http-proxy] marketing.binary.com:8080
[http-proxy] me.binary.com:8080
[http-proxy] mlt-deal01.binary.com:8080
[http-proxy] mt5-dev.binary.com:8080
[http-proxy] myapps.binary.com:8080
[http-proxy] oauth.binary.com:8080
[http-proxy] offers.binary.com:8080
[http-proxy] onfido.binary.com:8080
[http-proxy] paymentapi.binary.com:8080
[http-proxy] secure-dfadmin.binary.com:8080
[http-proxy] sendbird.binary.com:8080
[http-proxy] spamcheck.binary.com:8080
[http-proxy] staging.binary.com:8080
[http-proxy] staging-bot.binary.com:8080
[http-proxy] staging-charts.binary.com:8080
[http-proxy] staging-myapps.binary.com:8080
[http-proxy] staging-webtrader.binary.com:8080
[http-proxy] style.binary.com:8080
[http-proxy] tech.binary.com:8080
[http-proxy] ticktrade.binary.com:8080
[http-proxy] tradingview.binary.com:8080
[http-proxy] webtrader.binary.com:8080
[http-proxy] www.binary.com:8080
[https] academy.binary.com:443
[https] admin.binary.com:443
[https] affiliates.binary.com:443
[https-alt] academy.binary.com:8443
[https-alt] admin.binary.com:8443
[https-alt] affiliates.binary.com:8443
[https-alt] api.binary.com:8443
[https-alt] backoffice.binary.com:8443
[https-alt] banners.binary.com:8443
[https-alt] bitcoin-wallet.binary.com:8443
[https-alt] blog.binary.com:8443
[https-alt] bot.binary.com:8443
[https-alt] careers.binary.com:8443
[https-alt] charts.binary.com:8443
[https-alt] collector01.binary.com:8443
[https-alt] crypto-cashier.binary.com:8443
[https-alt] developers.binary.com:8443
[https-alt] feed01.binary.com:8443
[https-alt] lb2.binary.com:8443
[https-alt] lb3.binary.com:8443
[https-alt] lb.binary.com:8443
[https-alt] liveapi.binary.com:8443
[https-alt] marketing.binary.com:8443
[https-alt] me.binary.com:8443
[https-alt] mlt-deal01.binary.com:8443
[https-alt] myapps.binary.com:8443
[https-alt] oauth.binary.com:8443
[https-alt] offers.binary.com:8443
[https-alt] onfido.binary.com:8443
[https-alt] paymentapi.binary.com:8443
[https-alt] secure-dfadmin.binary.com:8443
[https-alt] sendbird.binary.com:8443
[https-alt] spamcheck.binary.com:8443
[https-alt] staging.binary.com:8443
[https-alt] staging-bot.binary.com:8443
[https-alt] staging-charts.binary.com:8443
[https-alt] staging-myapps.binary.com:8443
[https-alt] staging-webtrader.binary.com:8443
[https-alt] style.binary.com:8443
[https-alt] tech.binary.com:8443
[https-alt] ticktrade.binary.com:8443
[https-alt] tradingview.binary.com:8443
[https-alt] webtrader.binary.com:8443
[https-alt] www.binary.com:8443
[https] api.binary.com:443
[https] backoffice.binary.com:443
[https] banners.binary.com:443
[https] batch-dfadmin.binary.com:443
[https] binary.com:443
[https] bitcoin-wallet.binary.com:443
[https] blog.binary.com:443
[https] bot.binary.com:443
[https] careers.binary.com:443
[https] cashier.binary.com:443
[https] charts.binary.com:443
[https] collector01.binary.com:443
[https] crypto-cashier.binary.com:443
[https] developers.binary.com:443
[https] dfadmin-staging.binary.com:443
[https] email.mailgun.binary.com:443
[http] sendbird.binary.com:80
[https] feed01.binary.com:443
[https] info.binary.com:443
[https] lb2.binary.com:443
[https] lb3.binary.com:443
[https] lb.binary.com:443
[https] liveapi.binary.com:443
[https] marketing.binary.com:443
[https] me.binary.com:443
[https] mlt-deal01.binary.com:443
[https] mt5-af02.binary.com:443
[https] mt5-af.binary.com:443
[https] mt5-api02.binary.com:443
[https] mt5-api.binary.com:443
[https] mt5.binary.com:443
[https] mt5-de.binary.com:443
[https] mt5-demo.binary.com:443
[https] mt5-demo-de.binary.com:443
[https] mt5-demo-sg.binary.com:443
[https] mt5-dev02.binary.com:443
[https] mt5-dev.binary.com:443
[https] mt5-dev-demo.binary.com:443
[https] mt5-dev-real.binary.com:443
[https] mt5-real.binary.com:443
[https] mt5-real-de.binary.com:443
[https] mt5-sg02.binary.com:443
[https] myapps.binary.com:443
[https] oauth.binary.com:443
[https] offers.binary.com:443
[https] onfido.binary.com:443
[http] spamcheck.binary.com:80
