[abyss] buy.bitdefender.com:9999
[aero] buy.bitdefender.com:8060
[afs3-callback] buy.bitdefender.com:7001
[airport-admin] buy.bitdefender.com:5009
[ajp13] buy.bitdefender.com:8009
[amqp] beta-account.bitdefender.com:5672
[amqp] beta-login.bitdefender.com:5672
[amqp] buy.bitdefender.com:5672
[amqp] oem-login.bitdefender.com:5672
[amqp] resellerportal.bitdefender.com:5672
[ansoft-lm-2] resellerportal.bitdefender.com:1084
[appserv-http] buy.bitdefender.com:4848
[avt-profile-2] buy.bitdefender.com:5005
[blackice-icecap] beta-account.bitdefender.com:8081
[blackice-icecap] beta-login.bitdefender.com:8081
[blackice-icecap] buy.bitdefender.com:8081
[blackice-icecap] resellerportal.bitdefender.com:8081
[] buy.bitdefender.com:4911
[] buy.bitdefender.com:60001
[] buy.bitdefender.com:8069
[] buy.bitdefender.com:8112
[] buy.bitdefender.com:8126
[] buy.bitdefender.com:8139
[] buy.bitdefender.com:9530
[cbt] buy.bitdefender.com:7777
[cddbp-alt] account.bitdefender.com:8880
[cddbp-alt] auth.mdr.bitdefender.com:8880
[cddbp-alt] auth.mdrt.bitdefender.com:8880
[cddbp-alt] beta-central.bitdefender.com:8880
[cddbp-alt] businessinsights.bitdefender.com:8880
[cddbp-alt] businessresources.bitdefender.com:8880
[cddbp-alt] buy.bitdefender.com:8880
[cddbp-alt] myaccount.bitdefender.com:8880
[cddbp-alt] new.bitdefender.com:8880
[cddbp-alt] nmr.bitdefender.com:8880
[cddbp-alt] notification.bitdefender.com:8880
[cddbp-alt] share.bitdefender.com:8880
[cddbp-alt] support.bitdefender.com:8880
[cisco-sccp] buy.bitdefender.com:2000
[clearvisn] beta-central.bitdefender.com:2052
[clearvisn] myaccount.bitdefender.com:2052
[clearvisn] new.bitdefender.com:2052
[clearvisn] nmr.bitdefender.com:2052
[clearvisn] notification.bitdefender.com:2052
[commplex-link] buy.bitdefender.com:5001
[cslistener] buy.bitdefender.com:9000
[ctf] beta-account.bitdefender.com:84
[ctf] buy.bitdefender.com:84
[ctf] resellerportal.bitdefender.com:84
[dbm] buy.bitdefender.com:2345
[ddi-tcp-2] buy.bitdefender.com:8889
[distinct32] buy.bitdefender.com:9998
[dkmessenger] buy.bitdefender.com:1177
[dn6-nlm-aud] beta-account.bitdefender.com:195
[dn6-nlm-aud] resellerportal.bitdefender.com:195
