[blackice-icecap] email.chimecard.com:8081
[cddbp-alt] chimecard.com:8880
[cddbp-alt] email.mg.chimecard.com:8880
[eli] chimecard.com:2087
[eli] email.mg.chimecard.com:2087
[gnunet] chimecard.com:2086
[gnunet] email.mg.chimecard.com:2086
[http] api2.chimecard.com:80
[http] api.chimecard.com:80
[http] blog.chimecard.com:80
[http] cachet.chimecard.com:80
[http] chimecard.com:80
[http] email.chimecard.com:80
[http] email.mg.chimecard.com:80
[http] email.sg.chimecard.com:80
[http] links.chimecard.com:80
[http-proxy] api2.chimecard.com:8080
[http-proxy] api.chimecard.com:8080
[http-proxy] blog.chimecard.com:8080
[http-proxy] cachet.chimecard.com:8080
[http-proxy] chimecard.com:8080
[http-proxy] email.chimecard.com:8080
[http-proxy] email.mg.chimecard.com:8080
[http-proxy] wh.chimecard.com:8080
[http-proxy] www.chimecard.com:8080
[https-alt] api2.chimecard.com:8443
[https-alt] api.chimecard.com:8443
[https-alt] blog.chimecard.com:8443
[https-alt] cachet.chimecard.com:8443
[https-alt] chimecard.com:8443
[https-alt] email.mg.chimecard.com:8443
[https-alt] wh.chimecard.com:8443
[https-alt] www.chimecard.com:8443
[https] api2.chimecard.com:443
[https] api.chimecard.com:443
[https] blog.chimecard.com:443
[https] cachet.chimecard.com:443
[https] chimecard.com:443
[https] email.chimecard.com:443
[https] email.mg.chimecard.com:443
[https] email.sg.chimecard.com:443
[https] links.chimecard.com:443
[https] support.chimecard.com:443
[http] support.chimecard.com:80
[https] wh.chimecard.com:443
[https] www.chimecard.com:443
[http] wh.chimecard.com:80
[http] www.chimecard.com:80
[imap] email.chimecard.com:143
[imaps] email.chimecard.com:993
[infowave] chimecard.com:2082
[infowave] email.mg.chimecard.com:2082
[jetdirect] email.chimecard.com:9100
[ms-wbt-server] email.chimecard.com:3389
[nbx-dir] chimecard.com:2096
[pop3] email.chimecard.com:110
[pop3s] email.chimecard.com:995
[postgresql] email.chimecard.com:5432
[radsec] chimecard.com:2083
[radsec] email.mg.chimecard.com:2083
[smtp] email.chimecard.com:25
[smtps] email.chimecard.com:465
[submission] email.chimecard.com:587
[vnc] email.chimecard.com:5900
