[cddbp-alt] falcon.cynicaltechnology.com:8880
[eli] falcon.cynicaltechnology.com:2087
[gnunet] falcon.cynicaltechnology.com:2086
[http] autodiscover.cynicaltechnology.com:80
[http] cynicaltechnology.com:80
[http] enterpriseenrollment.cynicaltechnology.com:80
[http] enterpriseregistration.cynicaltechnology.com:80
[http] falcon.cynicaltechnology.com:80
[http] lyncdiscover.cynicaltechnology.com:80
[http-proxy] falcon.cynicaltechnology.com:8080
[https-alt] falcon.cynicaltechnology.com:8443
[https] cynicaltechnology.com:443
[https] enterpriseenrollment.cynicaltechnology.com:443
[https] enterpriseregistration.cynicaltechnology.com:443
[https] falcon.cynicaltechnology.com:443
[https] lyncdiscover.cynicaltechnology.com:443
[https] sip.cynicaltechnology.com:443
[https] www.cynicaltechnology.com:443
[http] www.cynicaltechnology.com:80
[infowave] falcon.cynicaltechnology.com:2082
[nbx-ser] falcon.cynicaltechnology.com:2095
[radsec] falcon.cynicaltechnology.com:2083
[sip-tls] sip.cynicaltechnology.com:5061
