[cddbp-alt] defisaver.com:8880
[ddi-tcp-2] exchange.defisaver.com:8889
[eli] defisaver.com:2087
[http] api.defisaver.com:80
[http] defisaver.com:80
[http] exchange.defisaver.com:80
[https-alt] defisaver.com:8443
[https] api.defisaver.com:443
[https] app.defisaver.com:443
[https] beta.defisaver.com:443
[https] blog.defisaver.com:443
[https] dash.defisaver.com:443
[https] defisaver.com:443
[https] docs.defisaver.com:443
[https] exchange.defisaver.com:443
[https] forum.defisaver.com:443
[https] help.defisaver.com:443
[https] metabase.defisaver.com:443
[https] stats.defisaver.com:443
[https] txapi.defisaver.com:443
[https] www.defisaver.com:443
[http] txapi.defisaver.com:80
[infowave] app.defisaver.com:2082
[infowave] beta.defisaver.com:2082
[infowave] blog.defisaver.com:2082
[infowave] dash.defisaver.com:2082
[infowave] docs.defisaver.com:2082
[infowave] forum.defisaver.com:2082
[infowave] help.defisaver.com:2082
[infowave] stats.defisaver.com:2082
[infowave] www.defisaver.com:2082
[nbx-dir] defisaver.com:2096
[radsec] defisaver.com:2083
[ssh] exchange.defisaver.com:22
[ssh] txapi.defisaver.com:22
[sun-answerbook] exchange.defisaver.com:8888
[xprint-server] exchange.defisaver.com:8100
