[cisco-sccp] licserv.devicelock.com:2000
[ftp] ftp.devicelock.com:21
[ftp-proxy] design.devicelock.com:8021
[ftp-proxy] dlpt.devicelock.com:8021
[ftp-proxy] ftp.devicelock.com:8021
[ftp-proxy] m.design.devicelock.com:8021
[ftp-proxy] vpn.devicelock.com:8021
[ftp] ru.ftp.devicelock.com:21
[ftp] vpn.devicelock.com:21
[http] design.devicelock.com:80
[http] dlpt.devicelock.com:80
[http] download.devicelock.com:80
[http] ext.office.devicelock.com:80
[http] ftp.devicelock.com:80
[http] lander.devicelock.com:80
[http] licserv.devicelock.com:80
[http] mail.devicelock.com:80
[http] m.design.devicelock.com:80
[http] m.devicelock.com:80
[http] mx1.devicelock.com:80
[http] noleaks.devicelock.com:80
[http] office.devicelock.com:80
[http] ru.ftp.devicelock.com:80
[https] design.devicelock.com:443
[https] dlpt.devicelock.com:443
[https] download.devicelock.com:443
[https] ftp.devicelock.com:443
[https] lander.devicelock.com:443
[https] mail.devicelock.com:443
[https] mail.office.devicelock.com:443
[https] m.design.devicelock.com:443
[https] m.devicelock.com:443
[https] mx.office.devicelock.com:443
[https] noleaks.devicelock.com:443
[https] vpn.devicelock.com:443
[https] www.devicelock.com:443
[http] vpn.devicelock.com:80
[http] www.devicelock.com:80
[pptp] ftp.devicelock.com:1723
[pptp] vpn.devicelock.com:1723
[pptp] xenapp.showroom.devicelock.com:1723
[smtp] ftp.devicelock.com:25
[smtp] mail.office.devicelock.com:25
[smtp] mx1.devicelock.com:25
[smtp] mx2.devicelock.com:25
[smtp] mx3.devicelock.com:25
[smtp] mx.office.devicelock.com:25
[smtp] vpn.devicelock.com:25
[ssh] m.devicelock.com:22
[ssh] noleaks.devicelock.com:22
[ssh] www.devicelock.com:22
