[cddbp-alt] dex-trade.com:8880
[eli] dex-trade.com:2087
[gnunet] dex-trade.com:2086
[http] api1.dex-trade.com:80
[http] api2.dex-trade.com:80
[http] api.dex-trade.com:80
[http] beta2.dex-trade.com:80
[http] beta.dex-trade.com:80
[http] dex-trade.com:80
[http] docs.dex-trade.com:80
[http] merchant.dex-trade.com:80
[http] new.dex-trade.com:80
[http] old.dex-trade.com:80
[http] pay.dex-trade.com:80
[http-proxy] dex-trade.com:8080
[https-alt] dex-trade.com:8443
[https] dex-trade.com:443
[http] socket.dex-trade.com:80
[http] widget.dex-trade.com:80
[http] www.dex-trade.com:80
[infowave] dex-trade.com:2082
[radsec] dex-trade.com:2083
