[blackice-icecap] store.doctolib.com:8081
[cddbp-alt] agenda-dev.doctolib.com:8880
[cddbp-alt] agenda.doctolib.com:8880
[cddbp-alt] clicks.doctolib.com:8880
[cddbp-alt] email.doctolib.com:8880
[cddbp-alt] events.doctolib.com:8880
[cddbp-alt] events-logs.doctolib.com:8880
[cddbp-alt] events-logs-staging.doctolib.com:8880
[cddbp-alt] infos.doctolib.com:8880
[cddbp-alt] mj-dev.doctolib.com:8880
[cddbp-alt] mta-sts.doctolib.com:8880
[cddbp-alt] news.doctolib.com:8880
[cddbp-alt] pro-dev.doctolib.com:8880
[cddbp-alt] rs-media-origin.doctolib.com:8880
[cddbp-alt] sync-gateway-dev.doctolib.com:8880
[cddbp-alt] test-failures.doctolib.com:8880
[cddbp-alt] test-failures-staging.doctolib.com:8880
[cddbp-alt] www-dev.doctolib.com:8880
[ctf] store.doctolib.com:84
[dn6-nlm-aud] store.doctolib.com:195
[dnp] store.doctolib.com:20000
[d-s-n] store.doctolib.com:8086
[eli] agenda-dev.doctolib.com:2087
[eli] agenda.doctolib.com:2087
[eli] clicks.doctolib.com:2087
[eli] email.doctolib.com:2087
[eli] events.doctolib.com:2087
[eli] events-logs.doctolib.com:2087
[eli] events-logs-staging.doctolib.com:2087
[eli] infos.doctolib.com:2087
[eli] mj-dev.doctolib.com:2087
[eli] mta-sts.doctolib.com:2087
[eli] news.doctolib.com:2087
[eli] pro-dev.doctolib.com:2087
[eli] rs-media-origin.doctolib.com:2087
[eli] sync-gateway-dev.doctolib.com:2087
[eli] test-failures.doctolib.com:2087
[eli] test-failures-staging.doctolib.com:2087
[eli] www-dev.doctolib.com:2087
[gnunet] agenda-dev.doctolib.com:2086
[gnunet] agenda.doctolib.com:2086
[gnunet] clicks.doctolib.com:2086
[gnunet] email.doctolib.com:2086
[gnunet] events.doctolib.com:2086
[gnunet] events-logs.doctolib.com:2086
[gnunet] events-logs-staging.doctolib.com:2086
[gnunet] infos.doctolib.com:2086
[gnunet] mj-dev.doctolib.com:2086
[gnunet] mta-sts.doctolib.com:2086
[gnunet] news.doctolib.com:2086
[gnunet] pro-dev.doctolib.com:2086
[gnunet] rs-media-origin.doctolib.com:2086
[gnunet] sync-gateway-dev.doctolib.com:2086
[gnunet] test-failures.doctolib.com:2086
[gnunet] test-failures-staging.doctolib.com:2086
[gnunet] www-dev.doctolib.com:2086
[http] about.doctolib.com:80
[http] about-staging.doctolib.com:80
[http] adp.doctolib.com:80
[http] agenda-dev.doctolib.com:80
[http] agenda.doctolib.com:80
[http] agenda-interf.doctolib.com:80
[http] api.doctolib.com:80
[http] api-interf.doctolib.com:80
[http] careers.doctolib.com:80
[http] careers-staging.doctolib.com:80
[http] clicks.doctolib.com:80
[http] community-staging.doctolib.com:80
[http] cortex.doctolib.com:80
[http] developers.doctolib.com:80
[http] doctolib.com:80
[http] email.doctolib.com:80
[http] email.gh-mail.doctolib.com:80
[http] event.doctolib.com:80
[http] events.doctolib.com:80
[http] events-logs.doctolib.com:80
[http] events-logs-staging.doctolib.com:80
[http] fb.doctolib.com:80
[http] flowmailer.doctolib.com:80
[http] helpdesk.doctolib.com:80
[http] infos.doctolib.com:80
[http] mailhog-staging.doctolib.com:80
[http] m.doctolib.com:80
[http] media.doctolib.com:80
[http] mj-dev.doctolib.com:80
[http] mj.doctolib.com:80
[http] m-staging.doctolib.com:80
[http] mta-sts.doctolib.com:80
[http] news.doctolib.com:80
[http] pro-dev.doctolib.com:80
[http] pro-staging.doctolib.com:80
[http-proxy] agenda-dev.doctolib.com:8080
[http-proxy] agenda.doctolib.com:8080
[http-proxy] clicks.doctolib.com:8080
[http-proxy] email.doctolib.com:8080
[http-proxy] events.doctolib.com:8080
[http-proxy] events-logs.doctolib.com:8080
[http-proxy] events-logs-staging.doctolib.com:8080
[http-proxy] infos.doctolib.com:8080
[http-proxy] mj-dev.doctolib.com:8080
[http-proxy] mta-sts.doctolib.com:8080
[http-proxy] news.doctolib.com:8080
[http-proxy] pro-dev.doctolib.com:8080
[http-proxy] rs-media-origin.doctolib.com:8080
[http-proxy] signature.doctolib.com:8080
[http-proxy] store.doctolib.com:8080
[http-proxy] sync-gateway-dev.doctolib.com:8080
[http-proxy] test-failures.doctolib.com:8080
[http-proxy] test-failures-staging.doctolib.com:8080
[http-proxy] www-dev.doctolib.com:8080
[http] rs.doctolib.com:80
[http] rs-interf.doctolib.com:80
[http] rs-media.doctolib.com:80
[http] rs-media-origin.doctolib.com:80
[http] rs-staging.doctolib.com:80
[https] about.doctolib.com:443
[https] about-staging.doctolib.com:443
[https] adp.doctolib.com:443
[https] agenda-dev.doctolib.com:443
[https] agenda.doctolib.com:443
[https] agenda-interf.doctolib.com:443
[https-alt] agenda-dev.doctolib.com:8443
[https-alt] events.doctolib.com:8443
[https-alt] events-logs-staging.doctolib.com:8443
[https-alt] mta-sts.doctolib.com:8443
[https-alt] news.doctolib.com:8443
[https-alt] pro-dev.doctolib.com:8443
[https-alt] rs-media-origin.doctolib.com:8443
[https-alt] test-failures.doctolib.com:8443
[https-alt] test-failures-staging.doctolib.com:8443
[https] api.doctolib.com:443
[https] api-interf.doctolib.com:443
[https] careers.doctolib.com:443
[https] careers-staging.doctolib.com:443
[https] clicks.doctolib.com:443
[https] community-staging.doctolib.com:443
[https] cortex.doctolib.com:443
[https] developers.doctolib.com:443
[https] doctolib.com:443
[https] email.doctolib.com:443
[https] email.gh-mail.doctolib.com:443
[https] event.doctolib.com:443
[https] events.doctolib.com:443
[https] events-logs.doctolib.com:443
[https] events-logs-staging.doctolib.com:443
[https] fb.doctolib.com:443
[https] flowmailer.doctolib.com:443
[https] helpdesk.doctolib.com:443
[http] signature.doctolib.com:80
[https] infos.doctolib.com:443
[https] mailhog-staging.doctolib.com:443
[https] m.doctolib.com:443
[https] media.doctolib.com:443
[https] mj-dev.doctolib.com:443
[https] mj.doctolib.com:443
[https] m-staging.doctolib.com:443
[https] mta-sts.doctolib.com:443
[https] news.doctolib.com:443
[https] pro-dev.doctolib.com:443
[https] pro-staging.doctolib.com:443
[https] rs.doctolib.com:443
[https] rs-interf.doctolib.com:443
[https] rs-media.doctolib.com:443
[https] rs-media-origin.doctolib.com:443
[https] rs-staging.doctolib.com:443
[https] signature.doctolib.com:443
[https] status.doctolib.com:443
[https] store.doctolib.com:443
[https] sync-gateway-dev.doctolib.com:443
[https] sync-gateway.doctolib.com:443
[https] sync-gateway-staging.doctolib.com:443
[http] status.doctolib.com:80
[https] test-failures.doctolib.com:443
[https] test-failures-staging.doctolib.com:443
[https] tfsec.doctolib.com:443
[http] store.doctolib.com:80
[https] www-dev.doctolib.com:443
[https] www.doctolib.com:443
[https] www-staging.doctolib.com:443
[http] sync-gateway-dev.doctolib.com:80
[http] sync-gateway.doctolib.com:80
[http] sync-gateway-staging.doctolib.com:80
[http] test-failures.doctolib.com:80
[http] test-failures-staging.doctolib.com:80
[http] tfsec.doctolib.com:80
[http] www-dev.doctolib.com:80
[http] www.doctolib.com:80
[http] www-staging.doctolib.com:80
[imaps] store.doctolib.com:993
[imap] store.doctolib.com:143
[infowave] agenda-dev.doctolib.com:2082
[infowave] events.doctolib.com:2082
[infowave] events-logs-staging.doctolib.com:2082
[infowave] mta-sts.doctolib.com:2082
[infowave] news.doctolib.com:2082
[infowave] pro-dev.doctolib.com:2082
[infowave] rs-media-origin.doctolib.com:2082
[infowave] test-failures.doctolib.com:2082
[infowave] test-failures-staging.doctolib.com:2082
[jetdirect] store.doctolib.com:9100
[memcache] store.doctolib.com:11211
[mit-ml-dev] store.doctolib.com:83
[mqtt] store.doctolib.com:1883
[nbx-dir] agenda.doctolib.com:2096
[nbx-dir] clicks.doctolib.com:2096
[nbx-dir] email.doctolib.com:2096
[nbx-dir] events-logs.doctolib.com:2096
[nbx-dir] infos.doctolib.com:2096
[nbx-dir] mj-dev.doctolib.com:2096
[nbx-dir] sync-gateway-dev.doctolib.com:2096
[nbx-dir] www-dev.doctolib.com:2096
[opsmessaging] store.doctolib.com:8090
[pop3s] store.doctolib.com:995
[pop3] store.doctolib.com:110
[postgresql] store.doctolib.com:5432
[radsec] agenda-dev.doctolib.com:2083
[radsec] agenda.doctolib.com:2083
[radsec] clicks.doctolib.com:2083
[radsec] email.doctolib.com:2083
[radsec] events.doctolib.com:2083
[radsec] events-logs.doctolib.com:2083
[radsec] events-logs-staging.doctolib.com:2083
[radsec] infos.doctolib.com:2083
[radsec] mj-dev.doctolib.com:2083
[radsec] mta-sts.doctolib.com:2083
[radsec] news.doctolib.com:2083
[radsec] pro-dev.doctolib.com:2083
[radsec] rs-media-origin.doctolib.com:2083
[radsec] sync-gateway-dev.doctolib.com:2083
[radsec] test-failures.doctolib.com:2083
[radsec] test-failures-staging.doctolib.com:2083
[radsec] www-dev.doctolib.com:2083
[redis] store.doctolib.com:6379
[rtmp] store.doctolib.com:1935
[smtp] bnc3.doctolib.com:25
[smtps] store.doctolib.com:465
[smtp] store.doctolib.com:25
[submission] bnc3.doctolib.com:587
[submission] store.doctolib.com:587
[sun-answerbook] signature.doctolib.com:8888
[unknown] store.doctolib.com:8085
[unknown] store.doctolib.com:8089
[unknown] store.doctolib.com:8099
[vnc-1] store.doctolib.com:5901
[vnc] store.doctolib.com:5900
[wap-wsp] store.doctolib.com:9200
[whois] store.doctolib.com:43
[xmpp-client] store.doctolib.com:5222
[zeus-admin] signature.doctolib.com:9090
