[amqp] vfxfellowship.epicgames.com:5672
[bgp] vpn-dc4.it.epicgames.com:179
[bgp] vpn-ld8.it.epicgames.com:179
[bgp] vpn-se2.it.epicgames.com:179
[bgp] vpn-sk2.it.epicgames.com:179
[bgp] vpn-sv10.it.epicgames.com:179
[blackice-icecap] vfxfellowship.epicgames.com:8081
[cddbp-alt] caldera-service-prod.ecosec.on.epicgames.com:8880
[cddbp-alt] engineering.epicgames.com:8880
[cddbp-alt] hcaptcha-api.ecosec.on.epicgames.com:8880
[cddbp-alt] hcaptcha-assets.ecosec.on.epicgames.com:8880
[cddbp-alt] hcaptcha-endpoint.ecosec.on.epicgames.com:8880
[cddbp-alt] hcaptcha-imgs.ecosec.on.epicgames.com:8880
[cddbp-alt] hcaptcha-js.ecosec.on.epicgames.com:8880
[cddbp-alt] hcaptcha-reportapi.ecosec.on.epicgames.com:8880
[cddbp-alt] nelly-service-prod-cloudflare.ecosec.on.epicgames.com:8880
[cddbp-alt] store.epicgames.com:8880
[cddbp-alt] talon-service-prod.ecosec.on.epicgames.com:8880
[cddbp-alt] talon-website-prod.ecosec.on.epicgames.com:8880
[clearvisn] engineering.epicgames.com:2052
[clearvisn] nelly-service-prod-cloudflare.ecosec.on.epicgames.com:2052
[ctf] vfxfellowship.epicgames.com:84
[dn6-nlm-aud] vfxfellowship.epicgames.com:195
[dnp] vfxfellowship.epicgames.com:20000
[d-s-n] vfxfellowship.epicgames.com:8086
[eli] caldera-service-prod.ecosec.on.epicgames.com:2087
[eli] engineering.epicgames.com:2087
[eli] hcaptcha-api.ecosec.on.epicgames.com:2087
[eli] hcaptcha-assets.ecosec.on.epicgames.com:2087
[eli] hcaptcha-endpoint.ecosec.on.epicgames.com:2087
[eli] hcaptcha-imgs.ecosec.on.epicgames.com:2087
[eli] hcaptcha-js.ecosec.on.epicgames.com:2087
[eli] hcaptcha-reportapi.ecosec.on.epicgames.com:2087
[eli] nelly-service-prod-cloudflare.ecosec.on.epicgames.com:2087
[eli] store.epicgames.com:2087
[eli] talon-service-prod.ecosec.on.epicgames.com:2087
[eli] talon-website-prod.ecosec.on.epicgames.com:2087
[ftp] ftp.epicgames.com:21
[ftp] qos2.ol.epicgames.com:21
[ftp] qos3.ol.epicgames.com:21
[ftps] ftp.epicgames.com:990
[gnunet] caldera-service-prod.ecosec.on.epicgames.com:2086
[gnunet] hcaptcha-api.ecosec.on.epicgames.com:2086
[gnunet] hcaptcha-assets.ecosec.on.epicgames.com:2086
[gnunet] hcaptcha-endpoint.ecosec.on.epicgames.com:2086
[gnunet] hcaptcha-imgs.ecosec.on.epicgames.com:2086
[gnunet] hcaptcha-js.ecosec.on.epicgames.com:2086
[gnunet] hcaptcha-reportapi.ecosec.on.epicgames.com:2086
[gnunet] nelly-service-prod-cloudflare.ecosec.on.epicgames.com:2086
[gnunet] store.epicgames.com:2086
[gnunet] talon-service-prod.ecosec.on.epicgames.com:2086
[gnunet] talon-website-prod.ecosec.on.epicgames.com:2086
[http] acc-launcher-public-service-prod06.ol.epicgames.com:80
[http] accounthelp.epicgames.com:80
[http] accts.epicgames.com:80
[http-alt] weighted-www-zh.epicgames.com:8000
[http-alt] weighted-zh-accounts.epicgames.com:8000
[http-alt] weighted-zh-graphql.epicgames.com:8000
[http-alt] weighted-zh-store.epicgames.com:8000
[http-alt] www-zh-waf.epicgames.com:8000
[http] aop-configs.beef.live.use1a.on.epicgames.com:80
[http] apacudn.epicgames.com:80
[http] api.lt.qstv.on.epicgames.com:80
[http] app.epicgames.com:80
[http] app.epicgames-prod.ol.epicgames.com:80
[http] auth-api.artpipeline-dev.it.epicgames.com:80
[http] auth-api-prod.artpipeline-dev.it.epicgames.com:80
[http] battlebreakershelp.epicgames.com:80
[http] battlebreakers-live-cdn.ol.epicgames.com:80
[http] bpt.dev.epicgames.com:80
[http] bpt-rc.dev.epicgames.com:80
[http] brand.epicgames.com:80
[http] caldera-service-prod.ecosec.on.epicgames.com:80
[http] calendar.epicgames.com:80
[http] careers.epicgames.com:80
[http] cdn-0001.qstv.on.epicgames.com:80
[http] cdn1-dest.epicgames.com:80
[http] cdn1.epicgames.com:80
[http] cdn2.epicgames.com:80
[http] cdn4.epicgames.com:80
[http] cdn-dev.prm.ol.epicgames.com:80
[http] cdn-live.prm.ol.epicgames.com:80
[http] cdn.prm.epicgames.com:80
[http] china-cdn1.epicgames.com:80
[http] china-media-cdn.epicgames.com:80
[http] china-static-assets-prod.epicgames.com:80
[http] click.news.epicgames.com:80
[http] cooked-content-gamedev-cdn.epicgames.com:80
[http] cooked-content-live-cdn.epicgames.com:80
[http] create-epic-kitt-react.fnsocial.on.epicgames.com:80
[http] datarouter.ol.epicgames.com:80
[http] datarouter-public-service-prod06.ol.epicgames.com:80
[http] datarouter-weighted.ol.epicgames.com:80
[http] detroitlabs.epicgames.com:80
[http] dev.epicgames.com:80
[http] dev.fcfd.live.use1a.on.epicgames.com:80
[http] devs.epicgames.com:80
[http] dl.substrate.on.epicgames.com:80
[http] docs.epicgames.com:80
[http] docs.pipeline.epicgames.com:80
[http] download2.epicgames.com:80
[http] download3.epicgames.com:80
[http] download4.epicgames.com:80
[http] download.epicgames.com:80
