[cddbp-alt] exmo.com:8880
[eli] api.exmo.com:2087
[eli] broker.exmo.com:2087
[eli] exmocoin.exmo.com:2087
[eli] exmo.com:2087
[eli] fiat.exmo.com:2087
[eli] info.exmo.com:2087
[eli] saveukraine.exmo.com:2087
[eli] support.exmo.com:2087
[eli] ws-api.exmo.com:2087
[eli] www.exmo.com:2087
[gnunet] exmo.com:2086
[http] api.exmo.com:80
[http] broker.exmo.com:80
[http] email.exmo.com:80
[http] exmocoin.exmo.com:80
[http] fiat.exmo.com:80
[http] info.exmo.com:80
[http-proxy] exmo.com:8080
[https-alt] api.exmo.com:8443
[https-alt] broker.exmo.com:8443
[https-alt] exmocoin.exmo.com:8443
[https-alt] exmo.com:8443
[https-alt] fiat.exmo.com:8443
[https-alt] info.exmo.com:8443
[https-alt] saveukraine.exmo.com:8443
[https-alt] support.exmo.com:8443
[https-alt] ws-api.exmo.com:8443
[https-alt] www.exmo.com:8443
[https] api.exmo.com:443
[http] saveukraine.exmo.com:80
[https] broker.exmo.com:443
[https] exmocoin.exmo.com:443
[https] exmo.com:443
[https] fiat.exmo.com:443
[https] info.exmo.com:443
[https] saveukraine.exmo.com:443
[https] support.exmo.com:443
[http] support.exmo.com:80
[https] ws-api.exmo.com:443
[https] www.exmo.com:443
[http] ws-api.exmo.com:80
[http] www.exmo.com:80
[nbx-dir] broker.exmo.com:2096
[nbx-dir] exmocoin.exmo.com:2096
[nbx-dir] saveukraine.exmo.com:2096
[radsec] exmo.com:2083
