[amqp] strategist.exponent.cx:5672
[] dashboard.exponent.cx:17000
[dnp] dashboard.exponent.cx:20000
[d-s-n] dashboard.exponent.cx:8086
[d-s-n] strategist.exponent.cx:8086
[globalcatLDAPssl] dashboard.exponent.cx:3269
[globalcatLDAPssl] strategist.exponent.cx:3269
[http] adm-tsmcexch01.exponent.cx:80
[http] c.exponent.cx:80
[http] dashboard.exponent.cx:80
[http] documentation.exponent.cx:80
[http] email.exponent.cx:80
[http] exponent.cx:80
[http] nginx.exponent.cx:80
[http-proxy] docs.exponent.cx:8080
[https] app.exponent.cx:443
[https] dashboard.exponent.cx:443
[https] docs.exponent.cx:443
[https] exponent.cx:443
[https] strategist.exponent.cx:443
[http] static.exponent.cx:80
[http] stg.exponent.cx:80
[http] strategist.exponent.cx:80
[http] suica.exponent.cx:80
[https] www.exponent.cx:443
[http] tsmc1014.exponent.cx:80
[http] tsmcexch01.exponent.cx:80
[http] v1.exponent.cx:80
[http] v2.exponent.cx:80
[http] www.exponent.cx:80
[imap] dashboard.exponent.cx:143
[imap] strategist.exponent.cx:143
[infowave] dashboard.exponent.cx:2082
[infowave] strategist.exponent.cx:2082
[ldapssl] dashboard.exponent.cx:636
[micromuse-ncpw] dashboard.exponent.cx:9600
[mit-ml-dev] strategist.exponent.cx:85
[mqtt] dashboard.exponent.cx:1883
[mqtt] strategist.exponent.cx:1883
[ms-wbt-server] dashboard.exponent.cx:3389
[mysql] dashboard.exponent.cx:3306
[mysql] strategist.exponent.cx:3306
[nntp] dashboard.exponent.cx:119
[ntp] adm-tsmcexch01.exponent.cx:123
[ntp] c.exponent.cx:123
[ntp] documentation.exponent.cx:123
[ntp] email.exponent.cx:123
[ntp] nginx.exponent.cx:123
[ntp] static.exponent.cx:123
[ntp] stg.exponent.cx:123
[ntp] suica.exponent.cx:123
[ntp] tsmc1014.exponent.cx:123
[ntp] tsmcexch01.exponent.cx:123
[ntp] v1.exponent.cx:123
[ntp] v2.exponent.cx:123
[opsmessaging] dashboard.exponent.cx:8090
[opsmessaging] strategist.exponent.cx:8090
[pop3] dashboard.exponent.cx:110
[pop3] strategist.exponent.cx:110
[radsec] dashboard.exponent.cx:2083
[radsec] strategist.exponent.cx:2083
[redis] strategist.exponent.cx:6379
[smtps] strategist.exponent.cx:465
[submission] dashboard.exponent.cx:587
[vnc] dashboard.exponent.cx:5900
[vnc] strategist.exponent.cx:5900
[wap-wsp] dashboard.exponent.cx:9200
[wap-wsp] strategist.exponent.cx:9200
