[cddbp-alt] support.fallguys.com:8880
[eli] support.fallguys.com:2087
[gnunet] support.fallguys.com:2086
[http] fallguys.com:80
[http] legal.fallguys.com:80
[http-proxy] support.fallguys.com:8080
[https-alt] support.fallguys.com:8443
[https] fallguys.com:443
[https] legal.fallguys.com:443
[https] support.fallguys.com:443
[https] survey.fallguys.com:443
[http] support.fallguys.com:80
[http] survey.fallguys.com:80
[https] www.fallguys.com:443
[http] www.fallguys.com:80
[infowave] support.fallguys.com:2082
[radsec] support.fallguys.com:2083
