[bgp] snapshot.fei.money:179
[blackice-alerts] snapshot.fei.money:8082
[http] app.fei.money:80
[http] assets.fei.money:80
[http] docs.fei.money:80
[http] fei.money:80
[http] snapshot.fei.money:80
[https] snapshot.fei.money:443
[http] staging.fei.money:80
[https] tribe.fei.money:443
[http] tribe.fei.money:80
[http] v1.app.fei.money:80
[http] www.app.fei.money:80
[http] www.fei.money:80
[http] www.staging.fei.money:80
[http] www.v1.app.fei.money:80
[rtmp] snapshot.fei.money:1935
[ssh] snapshot.fei.money:22
[unknown] snapshot.fei.money:8084
[unknown] snapshot.fei.money:8085
