[amqp] charm.goldfinch.finance:5672
[] charm.goldfinch.finance:17000
[dn6-nlm-aud] charm.goldfinch.finance:195
[d-s-n] charm.goldfinch.finance:8086
[eli] docs.goldfinch.finance:2087
[globalcatLDAP] charm.goldfinch.finance:3268
[globalcatLDAPssl] charm.goldfinch.finance:3269
[http] app.goldfinch.finance:80
[http] beta.app.goldfinch.finance:80
[http] careers.goldfinch.finance:80
[http] charm.goldfinch.finance:80
[http] dev.goldfinch.finance:80
[http] docs.goldfinch.finance:80
[http] goldfinch.finance:80
[http] gov.goldfinch.finance:80
[https-alt] docs.goldfinch.finance:8443
[https] charm.goldfinch.finance:443
[https] docs.goldfinch.finance:443
[https] goldfinch.finance:443
[https] gov.goldfinch.finance:443
[https] murmuration.goldfinch.finance:443
[https] www.goldfinch.finance:443
[http] www.goldfinch.finance:80
[infowave] docs.goldfinch.finance:2082
[jetdirect] charm.goldfinch.finance:9100
[kme-trap-port] charm.goldfinch.finance:2081
[ldap] charm.goldfinch.finance:389
[ldapssl] charm.goldfinch.finance:636
[micromuse-ncpw] charm.goldfinch.finance:9600
[ms-wbt-server] charm.goldfinch.finance:3389
[ntp] careers.goldfinch.finance:123
[postgresql] charm.goldfinch.finance:5432
[redis] charm.goldfinch.finance:6379
[rtmp] charm.goldfinch.finance:1935
[unknown] charm.goldfinch.finance:8089
[vnc-1] charm.goldfinch.finance:5901
[xmpp-client] charm.goldfinch.finance:5222
