[cddbp-alt] help.dsp.goldmansachs.com:8880
[eli] help.dsp.goldmansachs.com:2087
[gnunet] help.dsp.goldmansachs.com:2086
[http] beta.goldmansachs.com:80
[http] beta.uat.goldmansachs.com:80
[http] dsp.goldmansachs.com:80
[http] goldmansachs.com:80
[http] help.dsp.goldmansachs.com:80
[http] help.uat.dsp.goldmansachs.com:80
[http] pilot.dsp.goldmansachs.com:80
[http] pilot.uat.dsp.goldmansachs.com:80
[http] privatewealth.goldmansachs.com:80
[http-proxy] help.dsp.goldmansachs.com:8080
[http-proxy] help.uat.dsp.goldmansachs.com:8080
[http-proxy] v.dsp.goldmansachs.com:8080
[http] qa.privatewealth.goldmansachs.com:80
[https-alt] help.dsp.goldmansachs.com:8443
[https-alt] help.uat.dsp.goldmansachs.com:8443
[https] beta.goldmansachs.com:443
[https] beta.uat.goldmansachs.com:443
[https] dsp.goldmansachs.com:443
[https] help.dsp.goldmansachs.com:443
[https] help.uat.dsp.goldmansachs.com:443
[https] pilot.dsp.goldmansachs.com:443
[https] pilot.uat.dsp.goldmansachs.com:443
[https] privatewealth.goldmansachs.com:443
[https] qa.privatewealth.goldmansachs.com:443
[https] v.dsp.goldmansachs.com:443
[https] video.goldmansachs.com:443
[https] www2.goldmansachs.com:443
[https] www.beta.goldmansachs.com:443
[https] www.beta.uat.goldmansachs.com:443
[https] www.dsp.goldmansachs.com:443
[https] www.goldmansachs.com:443
[https] www.pilot.dsp.goldmansachs.com:443
[https] www.pilot.uat.dsp.goldmansachs.com:443
[https] wwwqa2.goldmansachs.com:443
[https] wwwqa.goldmansachs.com:443
[http] v.dsp.goldmansachs.com:80
[http] video.goldmansachs.com:80
[http] www2.goldmansachs.com:80
[http] www.beta.goldmansachs.com:80
[http] www.beta.uat.goldmansachs.com:80
[http] www.dsp.goldmansachs.com:80
[http] www.goldmansachs.com:80
[http] www.pilot.dsp.goldmansachs.com:80
[http] www.pilot.uat.dsp.goldmansachs.com:80
[http] wwwqa2.goldmansachs.com:80
[http] wwwqa.goldmansachs.com:80
[infowave] help.dsp.goldmansachs.com:2082
[radsec] help.dsp.goldmansachs.com:2083
