[ansoft-lm-2] email.gotinder.com:1084
[bgp] gp.gotinder.com:179
[blackice-icecap] email.gotinder.com:8081
[ctf] email.gotinder.com:84
[dnp] email.gotinder.com:20000
[d-s-n] email.gotinder.com:8086
[epp] email.gotinder.com:700
[ff-annunc] email.gotinder.com:1089
[http] 1712052.gotinder.com:80
[http] account.gotinder.com:80
[http] api2.staging-membership.gotinder.com:80
[http] api-africa.gotinder.com:80
[http] api-antartica.gotinder.com:80
[http] api.as1.gotinder.com:80
[http] api-asia.gotinder.com:80
[http] api-brazil.gotinder.com:80
[http] api-cloudfront-failover.gotinder.com:80
[http] api-europe.gotinder.com:80
[http] api.gotinder.com:80
[http] api-india.gotinder.com:80
[http] api-indonesia.gotinder.com:80
[http] api-north-america.gotinder.com:80
[http] api-oceania.gotinder.com:80
[http] api-south-america.gotinder.com:80
[http] api-spain.gotinder.com:80
[http] assets-ssl.gotinder.com:80
[http] blog.gotinder.com:80
[http] blogtest.gotinder.com:80
[http] confluence.gotinder.com:80
[http] console.gotinder.com:80
[http] datarequests.gotinder.com:80
[http] demo.gotinder.com:80
[http] email03.gotinder.com:80
[http] email.gotinder.com:80
[http] failover-test.staging-membership.gotinder.com:80
[http] geoapi.staging3.gotinder.com:80
[http] gotinder.com:80
[http] gp.gotinder.com:80
[http] images.gotinder.com:80
[http] images-ssl-arg.gotinder.com:80
[http] images-ssl-aus.gotinder.com:80
[http] images-ssl-aut.gotinder.com:80
[http] images-ssl-brazil.gotinder.com:80
[http] images-ssl-can.gotinder.com:80
[http] images-ssl-che.gotinder.com:80
[http] images-ssl-col.gotinder.com:80
[http] images-ssl-cze.gotinder.com:80
[http] images-ssl-deu.gotinder.com:80
[http] images-ssl-dnk.gotinder.com:80
[http] images-ssl-ecu.gotinder.com:80
[http] images-ssl-esp.gotinder.com:80
[http] images-ssl-europe.gotinder.com:80
[http] images-ssl-fin.gotinder.com:80
[http] images-ssl-fra.gotinder.com:80
[http] images-ssl-gbr.gotinder.com:80
[http] images-ssl.gotinder.com:80
[http] images-ssl-hkg.gotinder.com:80
[http] images-ssl-india.gotinder.com:80
[http] images-ssl-indonesia.gotinder.com:80
[http] images-ssl-ireland.gotinder.com:80
[http] images-ssl-ita.gotinder.com:80
[http] images-ssl-jpn.gotinder.com:80
[http] images-ssl-mexico.gotinder.com:80
[http] images-ssl-mys.gotinder.com:80
[http] images-ssl-nld.gotinder.com:80
[http] images-ssl-nor.gotinder.com:80
[http] images-ssl-north-carolina.gotinder.com:80
[http] images-ssl-nz.gotinder.com:80
[http] images-ssl-ore.gotinder.com:80
[http] images-ssl-per.gotinder.com:80
[http] images-ssl-phl.gotinder.com:80
[http] images-ssl-poland.gotinder.com:80
[http] images-ssl-prt.gotinder.com:80
[http] images-ssl-rus.gotinder.com:80
[http] images-ssl-sau.gotinder.com:80
[http] images-ssl-sgp.gotinder.com:80
[http] images-ssl-sk.gotinder.com:80
[http] images-ssl-south-america.gotinder.com:80
[http] images-ssl-swe.gotinder.com:80
[http] images-ssl-texas.gotinder.com:80
[http] images-ssl-twn.gotinder.com:80
[http] images-ssl-uae.gotinder.com:80
[http] images-ssl-usa.gotinder.com:80
[http] images-ssl-v2.gotinder.com:80
[http] images-ssl-world.gotinder.com:80
[http] images-ssl-zaf.gotinder.com:80
[http] imageupload-africa.gotinder.com:80
[http] imageupload-asia.gotinder.com:80
[http] imageupload-brazil.gotinder.com:80
[http] imageupload-europe.gotinder.com:80
[http] imageupload.gotinder.com:80
[http] imageupload-india.gotinder.com:80
[http] imageupload-indonesia.gotinder.com:80
[http] imageupload-north-america.gotinder.com:80
[http] imageupload-oceania.gotinder.com:80
[http] imageupload-south-america.gotinder.com:80
[http] imageupload-spain.gotinder.com:80
[http] inboxcrm-ssl.gotinder.com:80
[http] insendio-videos.gotinder.com:80
[http] jira.gotinder.com:80
[http] keepalive.gotinder.com:80
[http] marketing-images.gotinder.com:80
[http] origin.images.gotinder.com:80
[http] origin.static.gotinder.com:80
[http] pagp.gotinder.com:80
[http] preview-global.gotinder.com:80
[http] preview.gotinder.com:80
[http] preview-spain.gotinder.com:80
[http-proxy] email.gotinder.com:8080
[http] rapidfirepublish.svc.a.ue1az.gotinder.com:80
[http] rapidfirepublish.svc.b.ue1az.gotinder.com:80
[http] rapidfirepublish.svc.c.ue1az.gotinder.com:80
[http] rapidfirepublish.svc.d.ue1az.gotinder.com:80
[https] 1712052.gotinder.com:443
[https] accoint.gotinder.com:443
[https] account.gotinder.com:443
[https] api2.staging-membership.gotinder.com:443
[https] api.a.as1.gotinder.com:443
[https] api-africa.gotinder.com:443
[https] api-antartica.gotinder.com:443
[https] api.as1.gotinder.com:443
[https] api-asia.gotinder.com:443
[https] api.a.ue1az.gotinder.com:443
[https] api.b.as1.gotinder.com:443
[https] api-brazil.gotinder.com:443
[https] api.b.ue1az.gotinder.com:443
[https] api.c.as1.gotinder.com:443
[https] api-cf.as1.gotinder.com:443
[https] api-cloudfront-failover.gotinder.com:443
[https] api-cloudfront.gotinder.com:443
[https] api.c.ue1az.gotinder.com:443
[https] api.d.ue1az.gotinder.com:443
[https] api-europe.gotinder.com:443
[https] api-geo.as1.gotinder.com:443
[https] api-geo.gotinder.com:443
[https] api.gotinder.com:443
[https] api-india.gotinder.com:443
