[cddbp-alt] help.honestdollar.com:8880
[eli] help.honestdollar.com:2087
[gnunet] help.honestdollar.com:2086
[http] admin.honestdollar.com:80
[http] admin.uat.honestdollar.com:80
[http] api.honestdollar.com:80
[http] api-uat.honestdollar.com:80
[http] api.uat.honestdollar.com:80
[http] b2b.honestdollar.com:80
[http] b2b.uat.honestdollar.com:80
[http] beta.honestdollar.com:80
[http] beta.uat.honestdollar.com:80
[http] help.honestdollar.com:80
[http] honestdollar.com:80
[http] my.honestdollar.com:80
[http] my.uat.honestdollar.com:80
[http] origin.honestdollar.com:80
[http] pilot.honestdollar.com:80
[http] pilot.uat.honestdollar.com:80
[http-proxy] help.honestdollar.com:8080
[http-proxy] uat.help.honestdollar.com:8080
[http-proxy] v.honestdollar.com:8080
[https] admin.honestdollar.com:443
[https] admin.uat.honestdollar.com:443
[https-alt] help.honestdollar.com:8443
[https-alt] uat.help.honestdollar.com:8443
[https] api.honestdollar.com:443
[https] api-uat.honestdollar.com:443
[https] api.uat.honestdollar.com:443
[https] b2b.honestdollar.com:443
[https] b2b.uat.honestdollar.com:443
[https] beta.honestdollar.com:443
[https] beta.uat.honestdollar.com:443
[http] services.honestdollar.com:80
[http] services.uat.honestdollar.com:80
[https] help.honestdollar.com:443
[https] honestdollar.com:443
[http] site.honestdollar.com:80
[http] site.uat.honestdollar.com:80
[https] login.honestdollar.com:443
[https] login-qa.honestdollar.com:443
[https] my.honestdollar.com:443
[https] my.uat.honestdollar.com:443
[https] origin.honestdollar.com:443
[https] origin.uat.honestdollar.com:443
[https] pilot.honestdollar.com:443
[https] pilot.uat.honestdollar.com:443
[https] services.honestdollar.com:443
[https] services.uat.honestdollar.com:443
[https] site.honestdollar.com:443
[https] site.uat.honestdollar.com:443
[https] uat.help.honestdollar.com:443
[https] uat.honestdollar.com:443
[https] v.honestdollar.com:443
[https] welcome.honestdollar.com:443
[https] welcome.uat.honestdollar.com:443
[https] www.honestdollar.com:443
[https] www.uat.honestdollar.com:443
[http] uat.help.honestdollar.com:80
[http] uat.honestdollar.com:80
[http] v.honestdollar.com:80
[http] welcome.honestdollar.com:80
[http] welcome.uat.honestdollar.com:80
[http] www.honestdollar.com:80
[http] www.uat.honestdollar.com:80
[infowave] help.honestdollar.com:2082
[radsec] help.honestdollar.com:2083
