[domain] magazine.humo.be:53
[http] actie.humo.be:80
[http] brandedcontentbe.humo.be:80
[http] brandedcontent.humo.be:80
[http] click.klantacties.humo.be:80
[http] ebike.humo.be:80
[http] ebike-non-prod.humo.be:80
[http] e.email.humo.be:80
[http] humo.be:80
[http] interactief.humo.be:80
[http] klantacties.humo.be:80
[http] login2.humo.be:80
[http] login.humo.be:80
[http] magazine.humo.be:80
[http-proxy] click.klantacties.humo.be:8080
[http-proxy] t2.klantacties.humo.be:8080
[http-proxy] www.click.klantacties.humo.be:8080
[https] actie.humo.be:443
[https] brandedcontentbe.humo.be:443
[https] brandedcontent.humo.be:443
[https] click.klantacties.humo.be:443
[https] ebike.humo.be:443
[https] ebike-non-prod.humo.be:443
[https] e.email.humo.be:443
[http] shop.humo.be:80
[https] humo.be:443
[https] interactief.humo.be:443
[https] klantacties.humo.be:443
[https] login2.humo.be:443
[https] login.humo.be:443
[https] magazine.humo.be:443
[https] shop.humo.be:443
[https] t2.klantacties.humo.be:443
[https] www.click.klantacties.humo.be:443
[https] www.klantacties.humo.be:443
[http] t2.klantacties.humo.be:80
[http] www.click.klantacties.humo.be:80
[http] www.klantacties.humo.be:80
[ntp] magazine.humo.be:123
