[cddbp-alt] docs.ib.xyz:8880
[eli] docs.ib.xyz:2087
[gnunet] docs.ib.xyz:2086
[http] app.ib.xyz:80
[http] devapp.ib.xyz:80
[http] docs.ib.xyz:80
[http] ib.xyz:80
[http-proxy] docs.ib.xyz:8080
[https-alt] docs.ib.xyz:8443
[https] api.ib.xyz:443
[https] app.ib.xyz:443
[https] dev-api.ib.xyz:443
[https] devapp.ib.xyz:443
[https] docs.ib.xyz:443
[https] grafana.ib.xyz:443
[https] ib.xyz:443
[https] webmail.ib.xyz:443
[https] www.ib.xyz:443
[http] webmail.ib.xyz:80
[http] www.ib.xyz:80
[knetd] docs.ib.xyz:2053
[radsec] docs.ib.xyz:2083
