[bgp] g.iotube.org:179
[blackice-alerts] g.iotube.org:8082
[cddbp-alt] iotube.org:8880
[cddbp-alt] testnet.iotube.org:8880
[cddbp-alt] v4.iotube.org:8880
[clearvisn] www.iotube.org:2052
[eli] iotube.org:2087
[eli] testnet.iotube.org:2087
[eli] v4.iotube.org:2087
[eli] www.iotube.org:2087
[gnunet] docs.iotube.org:2086
[gnunet] testnet.iotube.org:2086
[gnunet] v4.iotube.org:2086
[gnunet] www.iotube.org:2086
[http] docs.iotube.org:80
[http] g.iotube.org:80
[http] iotube.org:80
[http-proxy] iotube.org:8080
[http-proxy] testnet.iotube.org:8080
[http-proxy] v4.iotube.org:8080
[http-proxy] www.iotube.org:8080
[https-alt] iotube.org:8443
[https-alt] testnet.iotube.org:8443
[https-alt] v4.iotube.org:8443
[https-alt] www.iotube.org:8443
[https] docs.iotube.org:443
[https] g.iotube.org:443
[https] iotube.org:443
[https] testnet.iotube.org:443
[https] v4.iotube.org:443
[https] www.iotube.org:443
[http] testnet.iotube.org:80
[http] v4.iotube.org:80
[http] www.iotube.org:80
[infowave] iotube.org:2082
[infowave] testnet.iotube.org:2082
[infowave] v4.iotube.org:2082
[infowave] www.iotube.org:2082
[knetd] testnet.iotube.org:2053
[knetd] v4.iotube.org:2053
[knetd] www.iotube.org:2053
[nbx-ser] testnet.iotube.org:2095
[nbx-ser] v4.iotube.org:2095
[radsec] testnet.iotube.org:2083
[radsec] v4.iotube.org:2083
[radsec] www.iotube.org:2083
[rtmp] g.iotube.org:1935
[ssh] g.iotube.org:22
[unknown] g.iotube.org:8084
[unknown] g.iotube.org:8085
