[amqp] bitpanda.api.joinverse.com:5672
[ansoft-lm-2] ambassadors.joinverse.com:1084
[ansoft-lm-2] app.joinverse.com:1084
[ansoft-lm-2] globalx.joinverse.com:1084
[ansoft-lm-2] joinverse.com:1084
[ansoft-lm-2] multiverse.joinverse.com:1084
[ansoft-lm-2] pics.joinverse.com:1084
[ansoft-lm-2] webhooks.api.joinverse.com:1084
[ansoft-lm-2] www.ambassadors.joinverse.com:1084
[ansoft-lm-2] www.joinverse.com:1084
[] bitpanda.api.joinverse.com:8863
[blackice-icecap] ambassadors.joinverse.com:8081
[blackice-icecap] app.joinverse.com:8081
[blackice-icecap] bitpanda.api.joinverse.com:8081
[blackice-icecap] globalx.joinverse.com:8081
[blackice-icecap] joinverse.com:8081
[blackice-icecap] multiverse.joinverse.com:8081
[blackice-icecap] pics.joinverse.com:8081
[blackice-icecap] webhooks.api.joinverse.com:8081
[blackice-icecap] www.ambassadors.joinverse.com:8081
[blackice-icecap] www.joinverse.com:8081
[ctf] ambassadors.joinverse.com:84
[ctf] app.joinverse.com:84
[ctf] bitpanda.api.joinverse.com:84
[ctf] globalx.joinverse.com:84
[ctf] joinverse.com:84
[ctf] multiverse.joinverse.com:84
[ctf] pics.joinverse.com:84
[ctf] webhooks.api.joinverse.com:84
[ctf] www.ambassadors.joinverse.com:84
[ctf] www.joinverse.com:84
[dn6-nlm-aud] bitpanda.api.joinverse.com:195
[dnp] ambassadors.joinverse.com:20000
[dnp] app.joinverse.com:20000
[dnp] bitpanda.api.joinverse.com:20000
[dnp] globalx.joinverse.com:20000
[dnp] joinverse.com:20000
[dnp] multiverse.joinverse.com:20000
[dnp] pics.joinverse.com:20000
[dnp] webhooks.api.joinverse.com:20000
[dnp] www.ambassadors.joinverse.com:20000
[dnp] www.joinverse.com:20000
[d-s-n] ambassadors.joinverse.com:8086
[d-s-n] app.joinverse.com:8086
[d-s-n] bitpanda.api.joinverse.com:8086
[d-s-n] globalx.joinverse.com:8086
[d-s-n] joinverse.com:8086
[d-s-n] multiverse.joinverse.com:8086
[d-s-n] pics.joinverse.com:8086
[d-s-n] webhooks.api.joinverse.com:8086
[d-s-n] www.ambassadors.joinverse.com:8086
[d-s-n] www.joinverse.com:8086
[epp] ambassadors.joinverse.com:700
[epp] app.joinverse.com:700
[epp] globalx.joinverse.com:700
[epp] joinverse.com:700
[epp] multiverse.joinverse.com:700
[epp] pics.joinverse.com:700
[epp] webhooks.api.joinverse.com:700
[epp] www.ambassadors.joinverse.com:700
[epp] www.joinverse.com:700
[ff-annunc] ambassadors.joinverse.com:1089
[ff-annunc] app.joinverse.com:1089
[ff-annunc] globalx.joinverse.com:1089
[ff-annunc] joinverse.com:1089
[ff-annunc] multiverse.joinverse.com:1089
[ff-annunc] pics.joinverse.com:1089
[ff-annunc] webhooks.api.joinverse.com:1089
[ff-annunc] www.ambassadors.joinverse.com:1089
[ff-annunc] www.joinverse.com:1089
[http] ambassadors.joinverse.com:80
[http] app.joinverse.com:80
[http] bitpanda.api.joinverse.com:80
[http] globalx.joinverse.com:80
[http] joinverse.com:80
[http] multiverse.joinverse.com:80
[http] pics.joinverse.com:80
[http-proxy] ambassadors.joinverse.com:8080
[http-proxy] app.joinverse.com:8080
[http-proxy] bitpanda.api.joinverse.com:8080
[http-proxy] globalx.joinverse.com:8080
[http-proxy] joinverse.com:8080
[http-proxy] multiverse.joinverse.com:8080
[http-proxy] pics.joinverse.com:8080
[http-proxy] webhooks.api.joinverse.com:8080
[http-proxy] www.ambassadors.joinverse.com:8080
[http-proxy] www.joinverse.com:8080
[https] ambassadors.joinverse.com:443
[https] app.joinverse.com:443
[https] bitpanda.api.joinverse.com:443
[https] globalx.joinverse.com:443
[https] joinverse.com:443
[https] multiverse.joinverse.com:443
[https] pics.joinverse.com:443
[https] webhooks.api.joinverse.com:443
[https] www.ambassadors.joinverse.com:443
[https] www.joinverse.com:443
[http] webhooks.api.joinverse.com:80
[http] www.ambassadors.joinverse.com:80
[http] www.joinverse.com:80
[ies-lm] ambassadors.joinverse.com:1443
[ies-lm] app.joinverse.com:1443
[ies-lm] globalx.joinverse.com:1443
[ies-lm] joinverse.com:1443
[ies-lm] multiverse.joinverse.com:1443
[ies-lm] pics.joinverse.com:1443
[ies-lm] webhooks.api.joinverse.com:1443
[ies-lm] www.ambassadors.joinverse.com:1443
[ies-lm] www.joinverse.com:1443
[imap] ambassadors.joinverse.com:143
[imap] app.joinverse.com:143
[imap] bitpanda.api.joinverse.com:143
[imap] globalx.joinverse.com:143
[imap] joinverse.com:143
[imap] multiverse.joinverse.com:143
[imap] pics.joinverse.com:143
[imaps] ambassadors.joinverse.com:993
[imaps] app.joinverse.com:993
[imaps] bitpanda.api.joinverse.com:993
[imaps] globalx.joinverse.com:993
[imaps] joinverse.com:993
[imaps] multiverse.joinverse.com:993
[imaps] pics.joinverse.com:993
[imaps] webhooks.api.joinverse.com:993
[imaps] www.ambassadors.joinverse.com:993
[imaps] www.joinverse.com:993
[imap] webhooks.api.joinverse.com:143
[imap] www.ambassadors.joinverse.com:143
[imap] www.joinverse.com:143
[jetdirect] ambassadors.joinverse.com:9100
[jetdirect] app.joinverse.com:9100
[jetdirect] bitpanda.api.joinverse.com:9100
[jetdirect] globalx.joinverse.com:9100
[jetdirect] joinverse.com:9100
[jetdirect] multiverse.joinverse.com:9100
[jetdirect] pics.joinverse.com:9100
[jetdirect] webhooks.api.joinverse.com:9100
[jetdirect] www.ambassadors.joinverse.com:9100
[jetdirect] www.joinverse.com:9100
[kme-trap-port] pics.joinverse.com:2081
[memcache] bitpanda.api.joinverse.com:11211
[memcache] pics.joinverse.com:11211
[mit-ml-dev] ambassadors.joinverse.com:83
[mit-ml-dev] ambassadors.joinverse.com:85
[mit-ml-dev] app.joinverse.com:83
[mit-ml-dev] app.joinverse.com:85
[mit-ml-dev] bitpanda.api.joinverse.com:83
[mit-ml-dev] globalx.joinverse.com:83
[mit-ml-dev] globalx.joinverse.com:85
[mit-ml-dev] joinverse.com:83
[mit-ml-dev] joinverse.com:85
[mit-ml-dev] multiverse.joinverse.com:83
[mit-ml-dev] multiverse.joinverse.com:85
[mit-ml-dev] pics.joinverse.com:83
[mit-ml-dev] pics.joinverse.com:85
[mit-ml-dev] webhooks.api.joinverse.com:83
[mit-ml-dev] webhooks.api.joinverse.com:85
[mit-ml-dev] www.ambassadors.joinverse.com:83
[mit-ml-dev] www.ambassadors.joinverse.com:85
[mit-ml-dev] www.joinverse.com:83
[mit-ml-dev] www.joinverse.com:85
[mqtt] bitpanda.api.joinverse.com:1883
[ms-wbt-server] ambassadors.joinverse.com:3389
[ms-wbt-server] app.joinverse.com:3389
[ms-wbt-server] bitpanda.api.joinverse.com:3389
[ms-wbt-server] globalx.joinverse.com:3389
[ms-wbt-server] joinverse.com:3389
[ms-wbt-server] multiverse.joinverse.com:3389
[ms-wbt-server] pics.joinverse.com:3389
[ms-wbt-server] webhooks.api.joinverse.com:3389
[ms-wbt-server] www.ambassadors.joinverse.com:3389
[ms-wbt-server] www.joinverse.com:3389
[ncd-conf] ambassadors.joinverse.com:5999
[ncd-conf] app.joinverse.com:5999
[ncd-conf] globalx.joinverse.com:5999
[ncd-conf] joinverse.com:5999
[ncd-conf] multiverse.joinverse.com:5999
[ncd-conf] pics.joinverse.com:5999
[ncd-conf] webhooks.api.joinverse.com:5999
[ncd-conf] www.ambassadors.joinverse.com:5999
[ncd-conf] www.joinverse.com:5999
[ndmps] ambassadors.joinverse.com:30000
[ndmps] app.joinverse.com:30000
[ndmps] globalx.joinverse.com:30000
[ndmps] joinverse.com:30000
[ndmps] multiverse.joinverse.com:30000
[ndmps] pics.joinverse.com:30000
[ndmps] webhooks.api.joinverse.com:30000
[ndmps] www.ambassadors.joinverse.com:30000
[ndmps] www.joinverse.com:30000
[nntp] pics.joinverse.com:119
[oa-system] pics.joinverse.com:8022
[opsmessaging] ambassadors.joinverse.com:8090
[opsmessaging] app.joinverse.com:8090
