[cddbp-alt] acc-shop.just-eat.dk:8880
[eli] acc-shop.just-eat.dk:2087
[gnunet] acc-shop.just-eat.dk:2086
[http] ablink.emails.just-eat.dk:80
[http] ablink.orders.just-eat.dk:80
[http] acc-shop.just-eat.dk:80
[http] beta.just-eat.dk:80
[http] cloud.update.just-eat.dk:80
[http] just-eat.dk:80
[http] live-orders.just-eat.dk:80
[http] old.just-eat.dk:80
[http-proxy] acc-shop.just-eat.dk:8080
[http] restaurant.just-eat.dk:80
[http] restaurantsignup.just-eat.dk:80
[http] restaurants.just-eat.dk:80
[https] ablink.emails.just-eat.dk:443
[https] ablink.orders.just-eat.dk:443
[https] acc-shop.just-eat.dk:443
[https] beta.just-eat.dk:443
[https] cloud.update.just-eat.dk:443
[http] shop.just-eat.dk:80
[https] just-eat.dk:443
[https] live-orders.just-eat.dk:443
[https] old.just-eat.dk:443
[https] restaurant.just-eat.dk:443
[https] restaurantsignup.just-eat.dk:443
[https] restaurants.just-eat.dk:443
[https] shop.just-eat.dk:443
[https] subfolder-proxy-deals.just-eat.dk:443
[https] subfolder-proxy-drivers.just-eat.dk:443
[https] subfolder-proxy-foodwiki.just-eat.dk:443
[https] subfolder-proxy-je-sitecore-dk.just-eat.dk:443
[https] tags.just-eat.dk:443
[https] test-shop.just-eat.dk:443
[http] subfolder-proxy-deals.just-eat.dk:80
[http] subfolder-proxy-drivers.just-eat.dk:80
[http] subfolder-proxy-foodwiki.just-eat.dk:80
[http] subfolder-proxy-je-sitecore-dk.just-eat.dk:80
[https] www.just-eat.dk:443
[http] tags.just-eat.dk:80
[http] test-shop.just-eat.dk:80
[http] www.just-eat.dk:80
[infowave] acc-shop.just-eat.dk:2082
[radsec] acc-shop.just-eat.dk:2083
[smtp] order.just-eat.dk:25
[smtp] update.just-eat.dk:25
