[cddbp-alt] acc-shop.just-eat.fr:8880
[eli] acc-shop.just-eat.fr:2087
[eli] test-shop.just-eat.fr:2087
[gnunet] acc-shop.just-eat.fr:2086
[gnunet] test-shop.just-eat.fr:2086
[http] ablink.emails.just-eat.fr:80
[http] acc-shop.just-eat.fr:80
[http] api.just-eat.fr:80
[http] awards.just-eat.fr:80
[http] beta.just-eat.fr:80
[http] click.email.just-eat.fr:80
[http] click.update.just-eat.fr:80
[http] cloud.email.just-eat.fr:80
[http] cloud.update.just-eat.fr:80
[http] commandes.just-eat.fr:80
[http] corporate.just-eat.fr:80
[http] image.email.just-eat.fr:80
[http] image.update.just-eat.fr:80
[http] just-eat.fr:80
[http] m.just-eat.fr:80
[http] orders.just-eat.fr:80
[http] partner.just-eat.fr:80
[http-proxy] acc-shop.just-eat.fr:8080
[http-proxy] test-shop.just-eat.fr:8080
[http] restaurant.just-eat.fr:80
[http] restaurants.just-eat.fr:80
[http] restaurateurs.just-eat.fr:80
[https] ablink.emails.just-eat.fr:443
[https] acc-shop.just-eat.fr:443
[https] api.just-eat.fr:443
[https] awards.just-eat.fr:443
[https] beta.just-eat.fr:443
[https] click.email.just-eat.fr:443
[https] click.update.just-eat.fr:443
[https] cloud.email.just-eat.fr:443
[https] cloud.update.just-eat.fr:443
[https] commandes.just-eat.fr:443
[https] corporate.just-eat.fr:443
[http] shop.just-eat.fr:80
[https] image.email.just-eat.fr:443
[https] image.update.just-eat.fr:443
[https] just-eat.fr:443
[https] m.just-eat.fr:443
[https] orders.just-eat.fr:443
[https] partner.just-eat.fr:443
[https] restaurant.just-eat.fr:443
[https] restaurants.just-eat.fr:443
[https] restaurateurs.just-eat.fr:443
[https] shop.just-eat.fr:443
[https] subfolder-proxy-awards.just-eat.fr:443
[https] subfolder-proxy-deals.just-eat.fr:443
[https] subfolder-proxy-drivers.just-eat.fr:443
[https] subfolder-proxy-foodwiki.just-eat.fr:443
[https] subfolder-proxy-lb.just-eat.fr:443
[https] subfolder-proxy-takeawaypay.just-eat.fr:443
[https] tags.just-eat.fr:443
[https] test-shop.just-eat.fr:443
[https] tv.just-eat.fr:443
[http] subfolder-proxy-awards.just-eat.fr:80
[http] subfolder-proxy-deals.just-eat.fr:80
[http] subfolder-proxy-drivers.just-eat.fr:80
[http] subfolder-proxy-foodwiki.just-eat.fr:80
[http] subfolder-proxy-lb.just-eat.fr:80
[http] subfolder-proxy-takeawaypay.just-eat.fr:80
[https] view.email.just-eat.fr:443
[https] view.update.just-eat.fr:443
[https] www.just-eat.fr:443
[http] tags.just-eat.fr:80
[http] test-shop.just-eat.fr:80
[http] tv.just-eat.fr:80
[http] view.email.just-eat.fr:80
[http] view.update.just-eat.fr:80
[http] www.just-eat.fr:80
[infowave] acc-shop.just-eat.fr:2082
[infowave] test-shop.just-eat.fr:2082
[radsec] acc-shop.just-eat.fr:2083
[radsec] test-shop.just-eat.fr:2083
[smtp] connect.just-eat.fr:25
[smtp] email.just-eat.fr:25
[smtp] order.just-eat.fr:25
[smtp] update.just-eat.fr:25
