[cddbp-alt] justeattakeaway.com:8880
[eli] justeattakeaway.com:2087
[gnunet] justeattakeaway.com:2086
[http] access.justeattakeaway.com:80
[http] beta.justeattakeaway.com:80
[http] brand.justeattakeaway.com:80
[http] careers.justeattakeaway.com:80
[http] click.connect.justeattakeaway.com:80
[http] click.ridewith.justeattakeaway.com:80
[http] cloud.connect.justeattakeaway.com:80
[http] cloud.ridewith.justeattakeaway.com:80
[http] easylogin.justeattakeaway.com:80
[http] email.pr.justeattakeaway.com:80
[http] emails.corporate.justeattakeaway.com:80
[http] enterpriseenrollment.justeattakeaway.com:80
[http] enterpriseregistration.justeattakeaway.com:80
[http] features.api.justeattakeaway.com:80
[http] image.connect.justeattakeaway.com:80
[http] image.ridewith.justeattakeaway.com:80
[http] justeattakeaway.com:80
[http] kitchen.justeattakeaway.com:80
[http-proxy] justeattakeaway.com:8080
[http] rest.api.justeattakeaway.com:80
[https] access.justeattakeaway.com:443
[https-alt] justeattakeaway.com:8443
[https] beta.justeattakeaway.com:443
[https] brand.justeattakeaway.com:443
[https] careers.justeattakeaway.com:443
[https] click.connect.justeattakeaway.com:443
[https] click.ridewith.justeattakeaway.com:443
[https] cloud.connect.justeattakeaway.com:443
[https] cloud.ridewith.justeattakeaway.com:443
[https] easylogin.justeattakeaway.com:443
[https] email.pr.justeattakeaway.com:443
[https] emails.corporate.justeattakeaway.com:443
[https] enterpriseenrollment.justeattakeaway.com:443
[https] enterpriseregistration.justeattakeaway.com:443
[https] features.api.justeattakeaway.com:443
[http] sg.api.justeattakeaway.com:80
[https] image.connect.justeattakeaway.com:443
[https] image.ridewith.justeattakeaway.com:443
[https] justeattakeaway.com:443
[https] kitchen.justeattakeaway.com:443
[https] rest.api.justeattakeaway.com:443
[https] sg.api.justeattakeaway.com:443
[https] support.justeattakeaway.com:443
[https] tech.justeattakeaway.com:443
[http] support.justeattakeaway.com:80
[https] view.connect.justeattakeaway.com:443
[https] view.ridewith.justeattakeaway.com:443
[https] www.justeattakeaway.com:443
[http] tech.justeattakeaway.com:80
[http] view.connect.justeattakeaway.com:80
[http] view.ridewith.justeattakeaway.com:80
[http] www.justeattakeaway.com:80
[infowave] justeattakeaway.com:2082
[nbx-dir] justeattakeaway.com:2096
[radsec] justeattakeaway.com:2083
[smtp] connect.justeattakeaway.com:25
[smtp] ridewith.justeattakeaway.com:25
