[afs3-bos] uat-ext-gw.lahitapiola.fi:7007
[afs3-callback] ext-gw.lahitapiola.fi:7001
[afs3-callback] uat-ext-gw.lahitapiola.fi:7001
[afs3-fileserver] ext-gw.lahitapiola.fi:7000
[afs3-fileserver] uat-ext-gw.lahitapiola.fi:7000
[afs3-kaserver] ext-gw.lahitapiola.fi:7004
[afs3-kaserver] uat-ext-gw.lahitapiola.fi:7004
[afs3-prserver] ext-gw.lahitapiola.fi:7002
[afs3-prserver] uat-ext-gw.lahitapiola.fi:7002
[doceri-ctl] uat-ext-gw.lahitapiola.fi:7019
[EtherNetIP-1] asunnot.lahitapiola.fi:2222
[ftps] tandem.lahitapiola.fi:990
[ftp] tandem.lahitapiola.fi:21
[http] api.lemmikkihelppi.lahitapiola.fi:80
[http] api.lhvetapp.lahitapiola.fi:80
[http] api.terveyshelppi.lahitapiola.fi:80
[http] asunnot.lahitapiola.fi:80
[http] atlassian.lahitapiola.fi:80
[http] autodiscover.lahitapiola.fi:80
[http] beta.lahitapiola.fi:80
[http] ccaasdev.service.lahitapiola.fi:80
[http] dcstunnistusdev.lahitapiola.fi:80
[http] dcstunnistus.lahitapiola.fi:80
[http] dcstunnistustest.lahitapiola.fi:80
[http] elamanturva.lahitapiola.fi:80
[http] extwebfarm.lahitapiola.fi:80
[http] huolenpitoa.lahitapiola.fi:80
[http] huolenpito.lahitapiola.fi:80
[http] hybridsmtp.lahitapiola.fi:80
[http] internal.toimitilat.lahitapiola.fi:80
[http] investmentsummit.lahitapiola.fi:80
[http] kumppanihallinta.lahitapiola.fi:80
[http] kumppani.lahitapiola.fi:80
[http] kumppanitunnistus.lahitapiola.fi:80
[http] lahiliikunta.lahitapiola.fi:80
[http] lahitapiola.fi:80
[http] lemmikkihelppi.lahitapiola.fi:80
[http] lhvetapp.lahitapiola.fi:80
[http] lyncdiscover.lahitapiola.fi:80
[http] meet.lahitapiola.fi:80
[http] m.info2.lahitapiola.fi:80
[http] m.info.lahitapiola.fi:80
[http] mobile.lahitapiola.fi:80
[http] note.lahitapiola.fi:80
[http] oa.lahitapiola.fi:80
[http] omatalous.lahitapiola.fi:80
[http] partner.lahitapiola.fi:80
[http] remote.lahitapiola.fi:80
[http] res.info2.lahitapiola.fi:80
[http] res.info.lahitapiola.fi:80
[https] ajanvaraus.lahitapiola.fi:443
[https] api.lahitapiola.fi:443
[https] api.lemmikkihelppi.lahitapiola.fi:443
[https] api.lhvetapp.lahitapiola.fi:443
[https] apim-mgmt.lahitapiola.fi:443
[https] api.terveyshelppi.lahitapiola.fi:443
[https] app.lahitapiola.fi:443
[https] asiointi.lahitapiola.fi:443
[https] asunnot.lahitapiola.fi:443
[https] atlassian.lahitapiola.fi:443
[https] authcrm16dev.lahitapiola.fi:443
[https] authcrm16.lahitapiola.fi:443
[https] authcrm16test.lahitapiola.fi:443
[https] authenticate.lahitapiola.fi:443
[https] authmigrate.lahitapiola.fi:443
[https] autodiscover.lahitapiola.fi:443
[https] beta.lahitapiola.fi:443
[https] ccaasdev.service.lahitapiola.fi:443
[https] ccaas.service.lahitapiola.fi:443
[https] ccaastest.service.lahitapiola.fi:443
[https] dcstunnistus.lahitapiola.fi:443
[https] dcstunnistustest.lahitapiola.fi:443
[https] depcrm16dev.lahitapiola.fi:443
[https] depcrm16.lahitapiola.fi:443
[https] depcrm16test.lahitapiola.fi:443
[https] developers.lahitapiola.fi:443
[https] devsecops.lahitapiola.fi:443
[https] elamanturva.lahitapiola.fi:443
[https] extwebfarm.lahitapiola.fi:443
[https] helppiservices.lahitapiola.fi:443
[https] huolenpitoa.lahitapiola.fi:443
[https] huolenpito.lahitapiola.fi:443
[https] hybridsmtp.lahitapiola.fi:443
[https] internal.toimitilat.lahitapiola.fi:443
[https] investmentsummit.lahitapiola.fi:443
[https] kivi.lahitapiola.fi:443
[https] kumppanihallinta.lahitapiola.fi:443
[https] kumppani.lahitapiola.fi:443
