[abyss] locker.lazada.sg:9999
[aero] locker.lazada.sg:8060
[afs3-callback] locker.lazada.sg:7001
[airport-admin] locker.lazada.sg:5009
[ajp13] locker.lazada.sg:8009
[amqp] locker.lazada.sg:5672
[appserv-http] locker.lazada.sg:4848
[avt-profile-2] locker.lazada.sg:5005
[blackice-icecap] locker.lazada.sg:8081
[cbt] locker.lazada.sg:7777
[cddbp-alt] locker.lazada.sg:8880
[cisco-sccp] locker.lazada.sg:2000
[commplex-link] locker.lazada.sg:5001
[cslistener] locker.lazada.sg:9000
[ctf] locker.lazada.sg:84
[davsrc] locker.lazada.sg:9800
[distinct32] locker.lazada.sg:9998
[dkmessenger] locker.lazada.sg:1177
[dnox] locker.lazada.sg:4022
[dnp] locker.lazada.sg:20000
[domain] locker.lazada.sg:53
[drm-production] locker.lazada.sg:7171
[d-s-n] locker.lazada.sg:8086
[dynamid] locker.lazada.sg:9002
[eli] locker.lazada.sg:2087
[esmagent] locker.lazada.sg:5601
[EtherNetIP-1] locker.lazada.sg:2222
[freeciv] locker.lazada.sg:5555
[glrpc] locker.lazada.sg:9080
[gnunet] locker.lazada.sg:2086
[hosts2-ns] locker.lazada.sg:81
[hotline] locker.lazada.sg:1234
[http] acs-m.lazada.sg:80
[http] acs-wapa.lazada.sg:80
[http] admin.education.lazada.sg:80
[http] admin.lazada.sg:80
[http] admin-m.lazada.sg:80
[http] admin-p.lazada.sg:80
[http] admin-staging.education.lazada.sg:80
[http] adsense.lazada.sg:80
[http] affiliate.lazada.sg:80
[http] ali.lazada.sg:80
[http-alt] locker.lazada.sg:8000
[http] api.lazada.sg:80
[http] api-redmart-pre.lazada.sg:80
[http] aplus-atm.lazada.sg:80
[http] asc-hub.lazada.sg:80
[http] ba-buyer.lazada.sg:80
[http] ba-buyer-staging.lazada.sg:80
[http] brand.adsense.lazada.sg:80
[http] cart-m.lazada.sg:80
[http] cart-p.lazada.sg:80
[http] cart-rm.lazada.sg:80
[http] chameleon.lazada.sg:80
[http] chameleon-pre.lazada.sg:80
[http] checkout.lazada.sg:80
[http] checkout-m.lazada.sg:80
[http] checkout-p.lazada.sg:80
[http] checkout-rm.lazada.sg:80
[http] checkout-rm-p.lazada.sg:80
[http] c.lazada.sg:80
[http] community-staging.lazada.sg:80
[http] cs.lazada.sg:80
[http] dmtrace.support.lazada.sg:80
[http] eco-acc.lazada.sg:80
[http] eco-device.lazada.sg:80
[http] eco.lazada.sg:80
[http] eco-ueba.lazada.sg:80
[http] education.lazada.sg:80
[http] education-staging.lazada.sg:80
[http] email.lazada.sg:80
[http] enterpriseenrollment.lazada.sg:80
[http] enterpriseregistration.lazada.sg:80
[http] er.lazada.sg:80
[http] er-p.lazada.sg:80
[http] er-search.lazada.sg:80
[http] fc.lazada.sg:80
[http] filebroker-cdn.lazada.sg:80
[http] filebroker.lazada.sg:80
[http] filebroker-staging.lazada.sg:80
[http] gcp-er.lazada.sg:80
[http] gmcp.lazada.sg:80
[http] h5-alimebot.lazada.sg:80
[http] helpcenter-pre.lazada.sg:80
[http] ho.lazada.sg:80
[http] ifs.lazada.sg:80
[http] i.lazada.sg:80
[http] jmacs-m.lazada.sg:80
[http] jmacs-wapa.lazada.sg:80
[http] ju.lazada.sg:80
[http] lazada.sg:80
[http] lighthouse.lazada.sg:80
[http] liveup.lazada.sg:80
[http] locker.lazada.sg:80
[http] media.lazada.sg:80
[http] member-m.lazada.sg:80
[http] member-p.lazada.sg:80
[http] member-rm.lazada.sg:80
[http] member-rm-p.lazada.sg:80
[http] m.lazada.sg:80
[http] ms.adsense.lazada.sg:80
[http] m.sellercenter-staging-redmart.lazada.sg:80
[http] msgacs-m.lazada.sg:80
[http] msgacs-wapa.lazada.sg:80
[http] msoid.lazada.sg:80
[http] my.lazada.sg:80
[http] my-m.lazada.sg:80
[http] my-pre.lazada.sg:80
[http] my-rm.lazada.sg:80
[http] my-rm-p.lazada.sg:80
[http] openapi.lazada.sg:80
[http] orders.lazada.sg:80
[http] pages.lazada.sg:80
[http] partners.lazada.sg:80
[http] pdp-beta.lazada.sg:80
[http] pdpdesc.lazada.sg:80
[http] pdpdesc-m.lazada.sg:80
[http] pdpdesc-p.lazada.sg:80
[http] pdp.lazada.sg:80
[http] pdp-p.lazada.sg:80
[http] pdp-pre.lazada.sg:80
[http] pform.lazada.sg:80
[http] pre-ab.lazada.sg:80
[http] pre-adsence.lazada.sg:80
[http] pre-c.lazada.sg:80
[http] pre-clickserver.lazada.sg:80
[http] pre-creative.lazada.sg:80
[http] pre-gcp-er.lazada.sg:80
[http] pre-gmcp.lazada.sg:80
[http] pre-h5-alimebot.lazada.sg:80
[http] pre.lazada.sg:80
[http] pre-lazgame-dashboard.lazada.sg:80
[http] pre-lighthouse.lazada.sg:80
[http] pre-psc-alimebot.lazada.sg:80
[http] pre-shop-alimebot.lazada.sg:80
[http] pre-s.lazada.sg:80
[http] pre-store.lazada.sg:80
[http] pre-stp.lazada.sg:80
[http] pre-u.lazada.sg:80
[http] pre-wallet.lazada.sg:80
[http] psc-alimebot.lazada.sg:80
[http] redmart-delivery-schedule.lazada.sg:80
[http] redmart.lazada.sg:80
[http] rest.lazada.sg:80
[https] acs-m.lazada.sg:443
[https] acs-wapa.lazada.sg:443
[https] admin.education.lazada.sg:443
[https] admin.lazada.sg:443
[https] admin-m.lazada.sg:443
[https] admin-p.lazada.sg:443
[https] admin-staging.education.lazada.sg:443
[https] adsense.lazada.sg:443
[https] affiliate.lazada.sg:443
[https] ali.lazada.sg:443
[https-alt] locker.lazada.sg:8443
[https] api.lazada.sg:443
[https] api-redmart-pre.lazada.sg:443
[https] aplus-atm.lazada.sg:443
[https] asc-hub.lazada.sg:443
[https] ba-buyer.lazada.sg:443
[https] ba-buyer-staging.lazada.sg:443
[https] brand.adsense.lazada.sg:443
[https] cart-m.lazada.sg:443
[https] cart-p.lazada.sg:443
[https] cart-rm.lazada.sg:443
[https] chameleon.lazada.sg:443
[https] chameleon-pre.lazada.sg:443
[https] checkout.lazada.sg:443
[https] checkout-m.lazada.sg:443
[https] checkout-p.lazada.sg:443
[https] checkout-rm.lazada.sg:443
[https] checkout-rm-p.lazada.sg:443
[https] c.lazada.sg:443
[https] community-staging.lazada.sg:443
[https] cs.lazada.sg:443
[http] search-beta.lazada.sg:80
[http] search-p.lazada.sg:80
[https] eco-acc.lazada.sg:443
[https] eco-device.lazada.sg:443
[https] eco.lazada.sg:443
[https] eco-ueba.lazada.sg:443
[https] education.lazada.sg:443
[https] education-staging.lazada.sg:443
[http] sellercenter-staging.lazada.sg:80
[http] sellercenter-staging-redmart.lazada.sg:80
[http] sellers.lazada.sg:80
[https] email.lazada.sg:443
[https] enterpriseenrollment.lazada.sg:443
[https] enterpriseregistration.lazada.sg:443
