[eli] acc-shop.lieferando.de:2087
[gnunet] acc-shop.lieferando.de:2086
[http] acc-shop.lieferando.de:80
[http] admin.lieferando.de:80
[http] api.lieferando.de:80
[http] beta-foodora.lieferando.de:80
[http] beta.lieferando.de:80
[http] beta.shop.lieferando.de:80
[http] blog.lieferando.de:80
[http] click.update.lieferando.de:80
[http] cloud.update.lieferando.de:80
[http] colin.lieferando.de:80
[http] companyadmin.lieferando.de:80
[http] company.lieferando.de:80
[http] creatives.lieferando.de:80
[http] dining.lieferando.de:80
[http] email.prco.lieferando.de:80
[http] emails.restaurants.lieferando.de:80
[http] fastly.lieferando.de:80
[http] join.lieferando.de:80
[http] kemp.lieferando.de:80
[http] lieferando.de:80
[http] loyaltyshop.lieferando.de:80
[http] m.lieferando.de:80
[http] my.lieferando.de:80
[http] oldservice2.lieferando.de:80
[http] oldservice.lieferando.de:80
[http] orders.lieferando.de:80
[http] partner.lieferando.de:80
[http] pics.lieferando.de:80
[http] portal.lieferando.de:80
[http] praemienshop.lieferando.de:80
[http-proxy] acc-shop.lieferando.de:8080
[http] restaurant.lieferando.de:80
[http] restaurants.lieferando.de:80
[https] acc-shop.lieferando.de:443
[https] admin.lieferando.de:443
[https-alt] beta.shop.lieferando.de:8443
[https-alt] test.shop.lieferando.de:8443
[https] api.lieferando.de:443
[https] beta-foodora.lieferando.de:443
[https] beta.lieferando.de:443
[https] beta.shop.lieferando.de:443
[https] blog.lieferando.de:443
[https] click.update.lieferando.de:443
[https] cloud.update.lieferando.de:443
[https] colin.lieferando.de:443
[https] companyadmin.lieferando.de:443
[https] company.lieferando.de:443
[https] creatives.lieferando.de:443
[https] dining.lieferando.de:443
[https] email.prco.lieferando.de:443
[https] emails.restaurants.lieferando.de:443
[https] fastly.lieferando.de:443
[http] shop.lieferando.de:80
[https] join.lieferando.de:443
[https] kemp.lieferando.de:443
[https] lieferando.de:443
[https] loyaltyshop.lieferando.de:443
[https] m.lieferando.de:443
[https] my.lieferando.de:443
[https] oldservice2.lieferando.de:443
[https] oldservice.lieferando.de:443
[https] orders.lieferando.de:443
[https] partner.lieferando.de:443
[https] pics.lieferando.de:443
[https] portal.lieferando.de:443
[https] praemienshop.lieferando.de:443
[https] restaurant.lieferando.de:443
[https] restaurants.lieferando.de:443
[https] shop.lieferando.de:443
[https] stage-colin.lieferando.de:443
[https] stage.lieferando.de:443
[https] static.lieferando.de:443
[http] stage-colin.lieferando.de:80
[http] stage.lieferando.de:80
[https] tags.lieferando.de:443
[http] static.lieferando.de:80
[https] tealium.lieferando.de:443
[https] test-shop.lieferando.de:443
[https] test.shop.lieferando.de:443
[https] tv.lieferando.de:443
[https] view.update.lieferando.de:443
[https] www.lieferando.de:443
[http] tags.lieferando.de:80
[http] tealium.lieferando.de:80
[http] test-shop.lieferando.de:80
[http] test.shop.lieferando.de:80
[http] tv.lieferando.de:80
[http] view.update.lieferando.de:80
[http] www.lieferando.de:80
[infowave] acc-shop.lieferando.de:2082
[smtp] connect.lieferando.de:25
[smtp] update.lieferando.de:25
[ssh] beta.shop.lieferando.de:22
[ssh] test.shop.lieferando.de:22
[sun-answerbook] beta.shop.lieferando.de:8888
[sun-answerbook] test.shop.lieferando.de:8888
