[cddbp-alt] api.marcus.co.uk:8880
[eli] api.marcus.co.uk:2087
[eli] www.marcus.co.uk:2087
[gnunet] www.marcus.co.uk:2086
[http] api.marcus.co.uk:80
[http] marcus.co.uk:80
[http-proxy] api.marcus.co.uk:8080
[http-proxy] marcus.co.uk:8080
[http-proxy] vendor.marcus.co.uk:8080
[http-proxy] v.marcus.co.uk:8080
[http-proxy] www.marcus.co.uk:8080
[https-alt] api.marcus.co.uk:8443
[https-alt] vendor.marcus.co.uk:8443
[https-alt] www.marcus.co.uk:8443
[https] api.marcus.co.uk:443
[https] login.marcus.co.uk:443
[https] vendor.marcus.co.uk:443
[https] v.marcus.co.uk:443
[https] www.marcus.co.uk:443
[http] vendor.marcus.co.uk:80
[http] v.marcus.co.uk:80
[http] www.marcus.co.uk:80
[infowave] api.marcus.co.uk:2082
[infowave] www.marcus.co.uk:2082
[kerberos-sec] marcus.co.uk:88
[mapper-ws_ethd] marcus.co.uk:3986
[nbx-dir] www.marcus.co.uk:2096
[radsec] www.marcus.co.uk:2083
