[3d-nfsd] salam.muslimpro.com:2323
[3exmp] salam.muslimpro.com:5221
[802-11-iapp] salam.muslimpro.com:3517
[914c-g] salam.muslimpro.com:211
[abarsd] salam.muslimpro.com:8402
[abyss] salam.muslimpro.com:9999
[accessbuilder] salam.muslimpro.com:888
[acc-raid] salam.muslimpro.com:2800
[acmsoda] salam.muslimpro.com:6969
[active-net] salam.muslimpro.com:3322
[active-net] salam.muslimpro.com:3323
[active-net] salam.muslimpro.com:3324
[active-net] salam.muslimpro.com:3325
[activesync] salam.muslimpro.com:5679
[admdog] salam.muslimpro.com:5101
[admd] salam.muslimpro.com:5100
[admeng] salam.muslimpro.com:5102
[adobeserver-1] salam.muslimpro.com:1102
[adobeserver-3] salam.muslimpro.com:3703
[aeroflight-ads] salam.muslimpro.com:1218
[afp] salam.muslimpro.com:548
[afrog] salam.muslimpro.com:1042
[afs3-bos] salam.muslimpro.com:7007
[afs3-callback] salam.muslimpro.com:7001
[afs3-fileserver] salam.muslimpro.com:7000
[afs3-kaserver] salam.muslimpro.com:7004
[afs3-prserver] salam.muslimpro.com:7002
[agentx] salam.muslimpro.com:705
[airport-admin] salam.muslimpro.com:5009
[ajp12] salam.muslimpro.com:8007
[ajp13] salam.muslimpro.com:8009
[alias] salam.muslimpro.com:1187
[amandaidx] salam.muslimpro.com:10082
[amiganetfs] salam.muslimpro.com:2100
[amqp] download2.muslimpro.com:5672
[amqp] download.muslimpro.com:5672
[ams] salam.muslimpro.com:1037
[amt-esd-prot] salam.muslimpro.com:1082
[amt-soap-http] salam.muslimpro.com:16992
[amt-soap-https] salam.muslimpro.com:16993
[anet] salam.muslimpro.com:212
[ansoft-lm-1] salam.muslimpro.com:1083
[ansoft-lm-2] download2.muslimpro.com:1084
[ansoft-lm-2] download.muslimpro.com:1084
[ansoft-lm-2] salam.muslimpro.com:1084
[ansyslmd] salam.muslimpro.com:1055
[aol] salam.muslimpro.com:5190
[apc-2160] salam.muslimpro.com:2160
[apc-2260] salam.muslimpro.com:2260
[apc-agent] salam.muslimpro.com:2161
[apcupsd] salam.muslimpro.com:3551
[apex-mesh] salam.muslimpro.com:912
[apocd] salam.muslimpro.com:3809
[appleqtc] salam.muslimpro.com:458
[apple-sasl] salam.muslimpro.com:3659
[apple-xsrvr-admin] salam.muslimpro.com:625
[appserv-http] salam.muslimpro.com:4848
[ardus-mtrns] salam.muslimpro.com:1117
[arepa-cas] salam.muslimpro.com:3030
[asipregistry] salam.muslimpro.com:687
[asip-webadmin] salam.muslimpro.com:311
[asprovatalk] salam.muslimpro.com:1079
[asr] salam.muslimpro.com:7800
[asterix] salam.muslimpro.com:8600
[availant-mgr] salam.muslimpro.com:1122
[avocent-adsap] salam.muslimpro.com:3871
[avocentkvm] salam.muslimpro.com:2068
[avocent-proxy] salam.muslimpro.com:1078
[avsecuremgmt] salam.muslimpro.com:3211
[avt-profile-1] salam.muslimpro.com:5004
[backupexec] salam.muslimpro.com:6101
[backup-express] salam.muslimpro.com:6123
[barracuda-bbs] salam.muslimpro.com:5120
[beorl] salam.muslimpro.com:5633
[beserver-msg-q] salam.muslimpro.com:3527
[bex-xr] salam.muslimpro.com:15660
[bfd-control] salam.muslimpro.com:3784
[bgmp] salam.muslimpro.com:264
[bgpd] salam.muslimpro.com:2605
[bgp] salam.muslimpro.com:179
[bigbrother] salam.muslimpro.com:1984
[biotic] salam.muslimpro.com:5087
[bitcoin] salam.muslimpro.com:8333
[bittorrent-tracker] salam.muslimpro.com:6881
[blackice-alerts] salam.muslimpro.com:8082
[blackice-icecap] download2.muslimpro.com:8081
[blackice-icecap] download.muslimpro.com:8081
[blackice-icecap] salam.muslimpro.com:8081
[blp3] salam.muslimpro.com:8292
[bnetgame] salam.muslimpro.com:1119
[boinc] salam.muslimpro.com:1043
[bridgecontrol] salam.muslimpro.com:1073
[brvread] salam.muslimpro.com:1054
[bsquare-voip] salam.muslimpro.com:1071
[btrieve] salam.muslimpro.com:3351
[btx] salam.muslimpro.com:20005
[bvcontrol] salam.muslimpro.com:1236
[bvtsonar] salam.muslimpro.com:1149
[cadlock] salam.muslimpro.com:1000
[caerpc] salam.muslimpro.com:42510
[caicci] salam.muslimpro.com:1721
[caids-sensor] salam.muslimpro.com:1192
[cajo-discovery] salam.muslimpro.com:1198
[capioverlan] salam.muslimpro.com:1147
[cardax] salam.muslimpro.com:1072
[casp] salam.muslimpro.com:1130
[caspssl] salam.muslimpro.com:1131
[catchpole] salam.muslimpro.com:1185
[cba8] salam.muslimpro.com:9593
[cbt] salam.muslimpro.com:7777
[cce4x] salam.muslimpro.com:12000
[ccproxy-ftp] salam.muslimpro.com:2121
[ccproxy-http] salam.muslimpro.com:808
[cdfunc] salam.muslimpro.com:2045
[ceph] salam.muslimpro.com:3300
[cgms] salam.muslimpro.com:3003
[chargen] salam.muslimpro.com:19
[ci3-software-1] salam.muslimpro.com:1301
[cisco-aqos] salam.muslimpro.com:9081
[cisco-sccp] salam.muslimpro.com:2000
[cisco-tdp] salam.muslimpro.com:711
[citrix-ica] salam.muslimpro.com:1494
[clariion-evr01] salam.muslimpro.com:6389
