[cddbp-alt] shared-host-01.napoleongames.be:8880
[eli] shared-host-01.napoleongames.be:2087
[http] 01.acties.napoleongames.be:80
[http] 01.newsletter.napoleongames.be:80
[http] 01.transactional.napoleongames.be:80
[http] 1620006.napoleongames.be:80
[http] 1622686.napoleongames.be:80
[http] 2343863.napoleongames.be:80
[http] adserving.napoleongames.be:80
[http] affiliateadmin.napoleongames.be:80
[http] affiliate.napoleongames.be:80
[http] affiliates.napoleongames.be:80
[http] airdice-callback.napoleongames.be:80
[http] airdice-test.napoleongames.be:80
[http] api.int.napoleongames.be:80
[http] api.napoleongames.be:80
[http] api-ngp.napoleongames.be:80
[http] api-test.int.napoleongames.be:80
[http] api-test-ngp.napoleongames.be:80
[http] autodiscover.napoleongames.be:80
[http] autodiscover.news.napoleongames.be:80
[http] casino.napoleongames.be:80
[http] cdn.int.napoleongames.be:80
[http] cdn-test.int.napoleongames.be:80
[http] cercle.napoleongames.be:80
[http] content.napoleongames.be:80
[http] content-ssl.napoleongames.be:80
[http] crmapi.napoleongames.be:80
[http] crmapi-test.napoleongames.be:80
[http] dns1.int.napoleongames.be:80
[http] dns2.int.napoleongames.be:80
[http] en-gb.casino.napoleongames.be:80
[http] en-gb.napoleongames.be:80
[http] en-gb.sports.napoleongames.be:80
[http] evolution-callback.napoleongames.be:80
[http] evolution-test.napoleongames.be:80
[http] extranet.napoleongames.be:80
[http] feelinglucky.napoleongames.be:80
[http] fr-be.casino.napoleongames.be:80
[http] fr-be.napoleongames.be:80
[http] fr-be.sports.napoleongames.be:80
[http] gokhulp.napoleongames.be:80
[http] hecate.napoleongames.be:80
[http] jobs.napoleongames.be:80
[http] kaagent.napoleongames.be:80
[http] koc.napoleongames.be:80
[http] lb-ocp.int.napoleongames.be:80
[http] lb-web.int.napoleongames.be:80
[http] livecasino.napoleongames.be:80
[http] mailing.napoleongames.be:80
[http] mail.napoleongames.be:80
[http] media.napoleongames.be:80
[http] media-ssl.casino.napoleongames.be:80
[http] media-ssl.napoleongames.be:80
[http] netent-callback.napoleongames.be:80
[http] netent-test.napoleongames.be:80
[http] news.napoleongames.be:80
[http] nl-be.casino.napoleongames.be:80
[http] nl-be.napoleongames.be:80
[http] nl-be.sports.napoleongames.be:80
[http] o1.newsletter.napoleongames.be:80
[http] o2.transactional.napoleongames.be:80
[http] payment-api.napoleongames.be:80
[http] payment-test.napoleongames.be:80
[http] playngo-callback.napoleongames.be:80
[http] playngo-test.napoleongames.be:80
[http] promo-api.napoleongames.be:80
[http] promo-api-test.napoleongames.be:80
[http] promo.napoleongames.be:80
[http-proxy] shared-host-01.napoleongames.be:8080
[http] ptr.selligent.napoleongames.be:80
[http] push.napoleongames.be:80
[http] quickfire-callback.napoleongames.be:80
[http] quickfire-test.napoleongames.be:80
[http] retentieek2016.napoleongames.be:80
[http] rvv.napoleongames.be:80
[https] 01.acties.napoleongames.be:443
[https] 01.newsletter.napoleongames.be:443
[https] 01.transactional.napoleongames.be:443
[https] 1620006.napoleongames.be:443
[https] 1622686.napoleongames.be:443
[https] 2343863.napoleongames.be:443
[https] adserving.napoleongames.be:443
[https] affiliateadmin.napoleongames.be:443
[https] affiliate.napoleongames.be:443
[https] affiliates.napoleongames.be:443
[https] airdice-callback.napoleongames.be:443
[https] airdice-test.napoleongames.be:443
[https-alt] shared-host-01.napoleongames.be:8443
[https] api.int.napoleongames.be:443
[https] api.napoleongames.be:443
[https] api-ngp.napoleongames.be:443
[https] api-test.int.napoleongames.be:443
[https] api-test-ngp.napoleongames.be:443
[https] casino.napoleongames.be:443
[https] cdn.int.napoleongames.be:443
[https] cdn-test.int.napoleongames.be:443
[https] cercle.napoleongames.be:443
[https] content.napoleongames.be:443
[https] content-ssl.napoleongames.be:443
[https] crmapi.napoleongames.be:443
[https] crmapi-test.napoleongames.be:443
[https] dns1.int.napoleongames.be:443
[https] dns2.int.napoleongames.be:443
[https] en-gb.casino.napoleongames.be:443
[https] en-gb.napoleongames.be:443
[https] en-gb.sports.napoleongames.be:443
[https] evolution-callback.napoleongames.be:443
[https] evolution-test.napoleongames.be:443
[https] extranet.napoleongames.be:443
[https] feelinglucky.napoleongames.be:443
[https] fr-be.casino.napoleongames.be:443
[https] fr-be.napoleongames.be:443
[https] fr-be.sports.napoleongames.be:443
[http] sfs-1.int.napoleongames.be:80
[http] sfs-2.int.napoleongames.be:80
