[cddbp-alt] napoleonsports.be:8880
[clearvisn] napoleonsports.be:2052
[eli] napoleonsports.be:2087
[gnunet] napoleonsports.be:2086
[http] api-ngp.napoleonsports.be:80
[http] api-test-ngp.napoleonsports.be:80
[http] en-gb.napoleonsports.be:80
[http] fr-be.napoleonsports.be:80
[http] media.napoleonsports.be:80
[http] media-ssl.napoleonsports.be:80
[http] napoleonsports.be:80
[http] nl-be.napoleonsports.be:80
[http-proxy] napoleonsports.be:8080
[https-alt] napoleonsports.be:8443
[https] api-ngp.napoleonsports.be:443
[https] api-test-ngp.napoleonsports.be:443
[https] en-gb.napoleonsports.be:443
[https] fr-be.napoleonsports.be:443
[https] media.napoleonsports.be:443
[https] media-ssl.napoleonsports.be:443
[https] napoleonsports.be:443
[https] nl-be.napoleonsports.be:443
[https] www.napoleonsports.be:443
[https] zh-cn.napoleonsports.be:443
[http] www.napoleonsports.be:80
[http] zh-cn.napoleonsports.be:80
[infowave] napoleonsports.be:2082
[knetd] napoleonsports.be:2053
[nbx-dir] napoleonsports.be:2096
[nbx-ser] napoleonsports.be:2095
[radsec] napoleonsports.be:2083
