[cddbp-alt] idx.nextel.be:8880
[eli] idx.nextel.be:2087
[EtherNetIP-1] nocmonitoring.nextel.be:2222
[ftp] cdr.nextel.be:21
[ftp] new.nextel.be:21
[ftp] nosftp.nextel.be:21
[ftp] varnish.nextel.be:21
[gnunet] idx.nextel.be:2086
[http] aanvraag.nextel.be:80
[http] apimy.nextel.be:80
[http] demande.nextel.be:80
[http] document.nextel.be:80
[http] documentsglobal.nextel.be:80
[http] documenttest.nextel.be:80
[http] ftp.nextel.be:80
[http] global.nextel.be:80
[http] hivemanager.nextel.be:80
[http] hvac.nextel.be:80
[http] idx.nextel.be:80
[http] itappnforced.nextel.be:80
[http] mbg.demo.nextel.be:80
[http] micollab.demo.nextel.be:80
[http] mobicrmapi.nextel.be:80
[http] mobicrmapitest.nextel.be:80
[http] mydashboard.nextel.be:80
[http] my.nextel.be:80
[http] mynextel.nextel.be:80
[http] mysack.nextel.be:80
[http] new.nextel.be:80
[http] nextel.be:80
[http] obmmc.nextel.be:80
[http-proxy] idx.nextel.be:8080
[http-proxy] obmmc.nextel.be:8080
[http] public-api.nextel.be:80
[http] qa-api-my.nextel.be:80
[https] aanvraag.nextel.be:443
[https-alt] idx.nextel.be:8443
[https] apimy.nextel.be:443
[https] demande.nextel.be:443
[https] document.nextel.be:443
[https] documentsglobal.nextel.be:443
[https] documenttest.nextel.be:443
[https] external.nextel.be:443
[https] fs.nextel.be:443
[https] ftp.nextel.be:443
[https] global.nextel.be:443
[https] hivemanager.nextel.be:443
[https] hvac.nextel.be:443
[https] idx.nextel.be:443
[https] ipo.demo.nextel.be:443
[https] itappnforced.nextel.be:443
[https] mbg.demo.nextel.be:443
[https] micollab.demo.nextel.be:443
[https] mobicrmapi.nextel.be:443
[https] mobicrmapitest.nextel.be:443
[https] mydashboard.nextel.be:443
[https] my.nextel.be:443
[https] mynextel.nextel.be:443
[https] mysack.nextel.be:443
[https] new.nextel.be:443
[https] obmmc.nextel.be:443
[https] public-api.nextel.be:443
[https] qa-api-my.nextel.be:443
[https] sc.nextel.be:443
[http] ssl.bealert.nextel.be:80
[https] ssl.bealert.nextel.be:443
[https] ssl.nextel.be:443
[https] staging-api-my.nextel.be:443
[https] staging-my.nextel.be:443
[https] staging-public-api.nextel.be:443
[http] staging-api-my.nextel.be:80
[http] staging-my.nextel.be:80
[http] staging-public-api.nextel.be:80
[https] test-api-my.nextel.be:443
[https] test-my.nextel.be:443
[https] test-public-api.nextel.be:443
[https] tmhe.nextel.be:443
[https] uat-api-my.nextel.be:443
[https] uat-my.nextel.be:443
[https] uat-public-api.nextel.be:443
[https] url7541.nextel.be:443
[https] varnish.nextel.be:443
[https] wachtdienst.nextel.be:443
[http] test-api-my.nextel.be:80
[http] test-my.nextel.be:80
[http] test-public-api.nextel.be:80
[http] tmhe.nextel.be:80
[http] uat-api-my.nextel.be:80
[http] uat-my.nextel.be:80
[http] uat-public-api.nextel.be:80
[http] url7541.nextel.be:80
[http] varnish.nextel.be:80
[http] www.nextel.be:80
[infowave] idx.nextel.be:2082
[isakmp] ssl.bealert.nextel.be:500
[onscreen] ipo.demo.nextel.be:5080
[openvpn] sc.nextel.be:1194
[pharos] mbg.demo.nextel.be:4443
[pharos] micollab.demo.nextel.be:4443
[radsec] idx.nextel.be:2083
[sip-tls] mbg.demo.nextel.be:5061
[sip-tls] micollab.demo.nextel.be:5061
[smtp] mail.labo.nextel.be:25
[smtp] otuc.demo.nextel.be:25
[ssh] cdr.nextel.be:22
[ssh] ftp.nextel.be:22
[ssh] hivemanager.nextel.be:22
[ssh] hvac.nextel.be:22
[ssh] nosftp.nextel.be:22
[ssh] ssl.bealert.nextel.be:22
[tungsten-https] ipo.nextel.be:9443
[tungsten-https] ipo-uc.demo.nextel.be:9443
[tungsten-https] ipo-uc.nextel.be:9443
[unknown] uat-api-my.nextel.be:7654
[unknown] uat-public-api.nextel.be:7654
[wap-wsp] obmmc.nextel.be:9200
[xmpp-client] ipo.nextel.be:5222
[xmpp-client] ipo-uc.demo.nextel.be:5222
[xmpp-client] ipo-uc.nextel.be:5222
[xmpp-server] ipo.nextel.be:5269
[xmpp-server] ipo-uc.demo.nextel.be:5269
[xmpp-server] ipo-uc.nextel.be:5269
[yo-main] mysack.nextel.be:4040
