[eli] cloudflare-test2.nr-ops.net:2087
[gnunet] cloudflare-test2.nr-ops.net:2086
[http] cf-registry-production.nr-ops.net:80
[http] cloudflare-test2.nr-ops.net:80
[http] ingest-route-test.nr-ops.net:80
[http-proxy] cloudflare-test2.nr-ops.net:8080
[http-proxy] tls.nr-ops.net:8080
[https-alt] cloudflare-test2.nr-ops.net:8443
[https-alt] tls.nr-ops.net:8443
[https] cf-registry-production.nr-ops.net:443
[https] cloudflare-test2.nr-ops.net:443
[http] service.awsdev.nr-ops.net:80
[https] ingest-route-test.nr-ops.net:443
[https] service.awsdev.nr-ops.net:443
[https] staging-service.awsdev.nr-ops.net:443
[http] staging-service.awsdev.nr-ops.net:80
[https] tls.nr-ops.net:443
[http] tls.nr-ops.net:80
[infowave] cloudflare-test2.nr-ops.net:2082
[nbx-ser] cloudflare-test2.nr-ops.net:2095
[radsec] cloudflare-test2.nr-ops.net:2083
