[amqp] screw.opera.software:5672
[ansoft-lm-2] screw.opera.software:1084
[ansoft-lm-2] trial-ci-cdn.osp.opera.software:1084
[blackice-icecap] screw.opera.software:8081
[blackice-icecap] trial-ci-cdn.osp.opera.software:8081
[ctf] screw.opera.software:84
[ctf] trial-ci-cdn.osp.opera.software:84
[dn6-nlm-aud] screw.opera.software:195
[dnp] screw.opera.software:20000
[dnp] trial-ci-cdn.osp.opera.software:20000
[d-s-n] screw.opera.software:8086
[d-s-n] trial-ci-cdn.osp.opera.software:8086
[epp] screw.opera.software:700
[epp] trial-ci-cdn.osp.opera.software:700
[EtherNetIP-1] av.opera.software:2222
[ff-annunc] screw.opera.software:1089
[ff-annunc] trial-ci-cdn.osp.opera.software:1089
[http] admin.speeddials.opera.software:80
[http] airflow-dev.osp.opera.software:80
[http] airflow-legacy.osp.opera.software:80
[http] airflow.osp.opera.software:80
[http] am4.vpn.opera.software:80
[http] amsterdam.vpn.opera.software:80
[http] apt-internal.opera.software:80
[http] aws.opera.software:80
[http] bbui.android.opera.software:80
[http] bream-dev.opera.software:80
[http] bream.opera.software:80
[http] buildbot-dev.opera.software:80
[http] buildbot.opera.software:80
[http] dns-ui.opera.software:80
[http] era.opera.software:80
[http] footer.opera.software:80
[http] gitlab.opera.software:80
[http] graylog.opera.software:80
[http] hoardr.opera.software:80
[http] install.opera.software:80
[http] lati-otp.opera.software:80
[http] mailing-list.opera.software:80
[http] mobsf.opera.software:80
[http] nessus.opera.software:80
[http] n-infra-affive.opera.software:80
[http] ofa.android.opera.software:80
[http] otp.opera.software:80
[http] password.opera.software:80
[http] pns.opera.software:80
[http-proxy] screw.opera.software:8080
[http-proxy] trial-ci-cdn.osp.opera.software:8080
[http] redash.opera.software:80
[http] request.opera.software:80
[http] sadb.opera.software:80
[https] admin.speeddials.opera.software:443
[https] airflow-dev.osp.opera.software:443
[https] airflow-legacy.osp.opera.software:443
[https] airflow.osp.opera.software:443
[https] am4.vpn.opera.software:443
[https] amsterdam.vpn.opera.software:443
[https] apt-internal.opera.software:443
[https] aws.opera.software:443
[https] bbui.android.opera.software:443
[https] bream-dev.opera.software:443
[https] bream.opera.software:443
[https] buildbot-dev.opera.software:443
[https] buildbot.opera.software:443
[http] screw.opera.software:80
[https] desktop-assistant-sub.osp.opera.software:443
[https] desktop-dna.osp.opera.software:443
[https] desktop-netinstaller-sub.osp.opera.software:443
[https] desktop-qualityclient-sub.osp.opera.software:443
[https] desktop-sessions-sub.osp.opera.software:443
[https] dns-ui.opera.software:443
[http] secret.opera.software:80
[http] security.opera.software:80
[https] era.opera.software:443
[https] footer.opera.software:443
[http] sg1.opera.software:80
[https] gitlab.opera.software:443
[https] graylog.opera.software:443
[https] h05-17-01.osp.opera.software:443
[https] h05-17-02.osp.opera.software:443
[https] h05-17-03.osp.opera.software:443
[https] h05-17-04.osp.opera.software:443
[https] h05-18-02.osp.opera.software:443
[https] h05-18-03.osp.opera.software:443
[https] h05-18-04.osp.opera.software:443
[https] h05-19-01.osp.opera.software:443
[https] h05-19-02.osp.opera.software:443
[https] h05-19-03.osp.opera.software:443
[https] h05-19-04.osp.opera.software:443
[https] h06-18-02.osp.opera.software:443
[https] h06-18-03.osp.opera.software:443
[https] h06-18-04.osp.opera.software:443
[https] h06-19-01.osp.opera.software:443
[https] h06-19-02.osp.opera.software:443
[https] h06-19-03.osp.opera.software:443
[https] h06-19-04.osp.opera.software:443
[https] h07-20-01.osp.opera.software:443
[https] h07-20-02.osp.opera.software:443
[https] h07-20-03.osp.opera.software:443
[https] h07-20-04.osp.opera.software:443
[https] h07-21-01.osp.opera.software:443
[https] h07-21-02.osp.opera.software:443
[https] h07-21-03.osp.opera.software:443
[https] h07-21-04.osp.opera.software:443
[https] hoardr.opera.software:443
[https] icinga-01.osp.opera.software:443
[https] lati-otp.opera.software:443
[https] lvs-ash-test.osp.opera.software:443
[https] mailing-list.opera.software:443
[https] mobsf.opera.software:443
[https] nessus.opera.software:443
[https] n-infra-affive.opera.software:443
[https] ofa.android.opera.software:443
[https] ofa-b-sub.osp.opera.software:443
[https] ofa-r-sub.osp.opera.software:443
[https] ofa-sub.osp.opera.software:443
[http] sonarqube.opera.software:80
[https] operamini-sub.osp.opera.software:443
[https] operanews-lite-app-sub.osp.opera.software:443
[https] operanews-sub.osp.opera.software:443
[https] ospstatus.osp.opera.software:443
[https] ospsubmit-ash-01.osp.opera.software:443
[https] ospsubmit-ash-02.osp.opera.software:443
[https] ospsubmit-ash-03.osp.opera.software:443
[https] ospsubmit-ash-05.osp.opera.software:443
[https] ospsubmit-ash-06.osp.opera.software:443
[https] ospsubmit-ash-07.osp.opera.software:443
[https] ospsubmit-ash-08.osp.opera.software:443
[https] ospsubmit-ash-09.osp.opera.software:443
[https] ospsubmit-ash-10.osp.opera.software:443
[https] ospsubmit-ash-11.osp.opera.software:443
[https] ospsubmit-ash-12.osp.opera.software:443
[https] ospsubmit-ash-13.osp.opera.software:443
[https] ospsubmit-ash-14.osp.opera.software:443
