[bgmp] arkle.ext.paddypower.com:264
[bgp] ukfirewalladmin.paddypower.com:179
[cddbp-alt] fantasy.paddypower.com:8880
[cddbp-alt] osg.paddypower.com:8880
[cddbp-alt] paddypower.com:8880
[clearvisn] blog.paddypower.com:2052
[clearvisn] news.paddypower.com:2052
[eli] blog.paddypower.com:2087
[eli] fantasy.paddypower.com:2087
[eli] news.paddypower.com:2087
[eli] osg.paddypower.com:2087
[eli] paddypower.com:2087
[EtherNetIP-1] blog.paddypower.com:2222
[EtherNetIP-1] news.paddypower.com:2222
[gnunet] blog.paddypower.com:2086
[gnunet] fantasy.paddypower.com:2086
[gnunet] news.paddypower.com:2086
[gnunet] osg.paddypower.com:2086
[gnunet] paddypower.com:2086
[http] account-messaging.paddypower.com:80
[http] amspp.paddypower.com:80
[http] android-download.paddypower.com:80
[http] apa.paddypower.com:80
[http] apapp.paddypower.com:80
[http] apismsios.paddypower.com:80
[http] arkle.ext.paddypower.com:80
[http] assets.lb.paddypower.com:80
[http] assets.paddypower.com:80
[http] beatthedrop.paddypower.com:80
[http] beatthekeeper.paddypower.com:80
[http] bet-calculator.paddypower.com:80
[http] betcalculator.paddypower.com:80
[http] bgf.paddypower.com:80
[http] bgi.lb.paddypower.com:80
[http] bgi.paddypower.com:80
[http] bingo.paddypower.com:80
[http] blog.paddypower.com:80
[http] bts.lb.paddypower.com:80
[http] bts.paddypower.com:80
[http] bvp.paddypower.com:80
[http] cache.download.banner.livecasino.paddypower.com:80
[http] cbs.paddypower.com:80
[http] clientmetrics.paddypower.com:80
[http] clientmetricstst.paddypower.com:80
[http] cro.paddypower.com:80
[http] design.paddypower.com:80
[http] dialin.paddypower.com:80
[http] fantasy.paddypower.com:80
[http] fcq.lb.paddypower.com:80
[http] fcq.paddypower.com:80
[http] frc.lb.paddypower.com:80
[http] frc.paddypower.com:80
[http] games.paddypower.com:80
[http] gap.lb.paddypower.com:80
[http] gap.paddypower.com:80
[http] gfe.lb.paddypower.com:80
[http] gfe.paddypower.com:80
[http] gfs.paddypower.com:80
[http] gmd.paddypower.com:80
[http] gmw.paddypower.com:80
[http] gwb.lb.paddypower.com:80
[http] gwb.paddypower.com:80
[http] helpcenter.paddypower.com:80
[http] hitthespot.paddypower.com:80
[http] hlppp.lb.paddypower.com:80
[http] identitysso.lb.paddypower.com:80
[http] identitysso.paddypower.com:80
[http] ie1-assets.paddypower.com:80
[http] ie1-bgi.paddypower.com:80
[http] ie1-bts.paddypower.com:80
[http] ie1-fcq.paddypower.com:80
[http] ie1-frc.paddypower.com:80
[http] ie1-gap.paddypower.com:80
[http] ie1-gfe.paddypower.com:80
[http] ie1-gwb.paddypower.com:80
[http] ie1-hlppp.paddypower.com:80
[http] ie1-identitysso.paddypower.com:80
[http] ie1-ips.paddypower.com:80
[http] ie1-maintenance.paddypower.com:80
[http] ie1-mgw.paddypower.com:80
[http] ie1-myaccount.paddypower.com:80
[http] ie1-myactivity.paddypower.com:80
[http] ie1-myfunds.paddypower.com:80
[http] ie1-pacpp.paddypower.com:80
[http] ie1-pcmspp.paddypower.com:80
[http] ie1-promos.paddypower.com:80
[http] ie1-rdr.paddypower.com:80
[http] ie1-register.paddypower.com:80
[http] ie1-sib.paddypower.com:80
[http] ie1-smp.paddypower.com:80
[http] ie1-spb.paddypower.com:80
[http] ie1-strands.paddypower.com:80
[http] ie1-usp.paddypower.com:80
[http] ie1-vqa.paddypower.com:80
[http] ie1-was.paddypower.com:80
[http] ie1-ws.paddypower.com:80
[http] ie1-www.paddypower.com:80
[http] ie2-bgi.paddypower.com:80
[http] ie2-bts.paddypower.com:80
[http] ie2-fcq.paddypower.com:80
[http] ie2-gap.paddypower.com:80
[http] ie2-gfe.paddypower.com:80
[http] ie2-gwb.paddypower.com:80
[http] ie2-hlppp.paddypower.com:80
[http] ie2-identitysso.paddypower.com:80
[http] ie2-ips.paddypower.com:80
[http] ie2-maintenance.paddypower.com:80
[http] ie2-mgasbpp.paddypower.com:80
[http] ie2-mgw.paddypower.com:80
[http] ie2-myaccount.paddypower.com:80
