[abyss] ftp.paydiant.com:9999
[admdog] ftp.paydiant.com:5101
[afp] ftp.paydiant.com:548
[bgp] ftp.paydiant.com:179
[blackice-icecap] ftp.paydiant.com:8081
[domain] wifiguest.paydiant.com:53
[h323q931] ftp.paydiant.com:1720
[http] cdn-demo.paydiant.com:80
[http] cdn.paydiant.com:80
[http] cdn-staging.paydiant.com:80
[http] email.paydiant.com:80
[http] engpki.paydiant.com:80
[http] e.paydiant.com:80
[http] ftp.paydiant.com:80
[http] paydiant.com:80
[http] prodpki.paydiant.com:80
[http-proxy] ftp.paydiant.com:8080
[https] apache1.eng.paydiant.com:443
[https] api-b2b.certification.paydiant.com:443
[https] api-b2b.paydiant.com:443
[https] api-b2b.qa.paydiant.com:443
[https] api-b2b.staging.paydiant.com:443
[https] api-b2b.testing.paydiant.com:443
[https] atmgateway.certification.paydiant.com:443
[https] atmgateway-iso.certification.paydiant.com:443
[https] atmgateway-iso.paydiant.com:443
[https] atmgateway.paydiant.com:443
[https] atmgateway.staging.paydiant.com:443
[https] atm.paydiant.com:443
[https] auto.eng.paydiant.com:443
[https] bmoharris-b2b.paydiant.com:443
[https] cdn-demo.paydiant.com:443
[https] cdn.paydiant.com:443
[https] cdn-staging.paydiant.com:443
[https] certification-sitestatus.external.skybridge.paydiant.com:443
[https] client-vpn.us-east-1.infnonprod.hub.paydiant.com:443
[https] client-vpn.us-east-1.infprod.hub.paydiant.com:443
[https] dc6-sslvpn.paydiant.com:443
[https] dc6.sslvpn.paydiant.com:443
[https] email.paydiant.com:443
[https] e.paydiant.com:443
[https] fis.eng.paydiant.com:443
[https] lb-blue.us-east-1.certification.core.paydiant.com:443
[https] lb-blue.us-east-1.engineering.core.paydiant.com:443
[https] lb-blue.us-east-1.production.core.paydiant.com:443
[https] lb-blue.us-east-1.staging.core.paydiant.com:443
[https] lb-blue.us-east-1.testing.core.paydiant.com:443
[https] lb-green.us-east-1.certification.core.paydiant.com:443
[https] lb-green.us-east-1.engineering.core.paydiant.com:443
[https] lb-green.us-east-1.production.core.paydiant.com:443
[https] lb-green.us-east-1.staging.core.paydiant.com:443
[https] lb-green.us-east-1.testing.core.paydiant.com:443
[https] lb-sasi.us-east-1.certification.core.paydiant.com:443
[https] lb-sasi.us-east-1.engineering.core.paydiant.com:443
[https] lb-sasi.us-east-1.production.core.paydiant.com:443
[https] lb-sasi.us-east-1.staging.core.paydiant.com:443
[https] lb-sasi.us-east-1.testing.core.paydiant.com:443
[https] lb.us-east-1.certification.core.paydiant.com:443
[https] lb.us-east-1.engineering.core.paydiant.com:443
[https] lb.us-east-1.production.core.paydiant.com:443
[https] lb.us-east-1.staging.core.paydiant.com:443
[https] lb.us-east-1.testing.core.paydiant.com:443
[https] macys.eng.paydiant.com:443
[https] mainapi-b2b.paydiant.com:443
[https] prod-sitestatus.external.skybridge.paydiant.com:443
[https] reports.paydiant.com:443
[https] sasiapi-b2b.paydiant.com:443
[https] sasiapi-b2b.staging.paydiant.com:443
[https] sasiatmgateway.paydiant.com:443
[https] sasi.staging.paydiant.com:443
[https] sslvpn.paydiant.com:443
[https] sslvpn-test.paydiant.com:443
[https] staging-sitestatus.external.skybridge.paydiant.com:443
[https] support.paydiant.com:443
[http] support.paydiant.com:80
[https] webmail.paydiant.com:443
[https] wifiguest.paydiant.com:443
[http] webmail.paydiant.com:80
[http] wifiguest.paydiant.com:80
[imap] imap.paydiant.com:143
[imap] mail.paydiant.com:143
[imaps] imap.paydiant.com:993
[imaps] mail.paydiant.com:993
[klogin] ftp.paydiant.com:543
[microsoft-ds] atmgateway.paydiant.com:445
[microsoft-ds] bmoharris-b2b.paydiant.com:445
[microsoft-ds] ftp.paydiant.com:445
[ms-lsa] ftp.paydiant.com:1029
[news] ftp.paydiant.com:144
[NFS-or-IIS] ftp.paydiant.com:1025
[pop3] imap.paydiant.com:110
[pop3] mail.paydiant.com:110
[pop3pw] ftp.paydiant.com:106
[pop3s] imap.paydiant.com:995
[pop3s] mail.paydiant.com:995
[printer] ftp.paydiant.com:515
[rtsp] ftp.paydiant.com:554
[smtp] smtp.paydiant.com:25
[snpp] ftp.paydiant.com:444
[unknown] ftp.paydiant.com:49152
[unknown] ftp.paydiant.com:49155
[upnp] ftp.paydiant.com:5000
[vnc] ftp.paydiant.com:5900
[vnc-http] ftp.paydiant.com:5800
[wms] ftp.paydiant.com:1755
