[amqp] partner-monitoring.paypal.com:5672
[ansoft-lm-2] partner-monitoring.paypal.com:1084
[blackice-icecap] partner-monitoring.paypal.com:8081
[cisco-sccp] click.emails.paypal.com:2000
[cisco-sccp] click.mktg1.paypal.com:2000
[cisco-sccp] cloud.emails.paypal.com:2000
[cisco-sccp] view.emails.paypal.com:2000
[ctf] partner-monitoring.paypal.com:84
[dn6-nlm-aud] partner-monitoring.paypal.com:195
[dnp] partner-monitoring.paypal.com:20000
[domain] itsmail.paypal.com:53
[domain] mftest5.test.paypal.com:53
[domain] pns1.phx.paypal.com:53
[domain] pnx2.phx.paypal.com:53
[domain] ppns1.phx.paypal.com:53
[domain] ppns2.phx.paypal.com:53
[domain] ppns3.phx.paypal.com:53
[domain] ppns4.phx.paypal.com:53
[domain] ppnx2.phx.paypal.com:53
[d-s-n] partner-monitoring.paypal.com:8086
[epp] partner-monitoring.paypal.com:700
[ff-annunc] partner-monitoring.paypal.com:1089
[http] 0cd20b6fe61233e4a24bf70f30c9ba46.paypal.com:80
[http] 16695532.paypal.com:80
[http] active-www.paypal.com:80
[http] adjvendor.paypal.com:80
[http] api-3t.glb.paypal.com:80
[http] api-3t.paypal.com:80
[http] api-3t.sandbox.paypal.com:80
[http] api-3t-v2.sandbox.paypal.com:80
[http] api-aa-3t.glb.paypal.com:80
[http] api-aa-3t.paypal.com:80
[http] api-aa-3t.sandbox.paypal.com:80
[http] api-aa-3t-v2.sandbox.paypal.com:80
[http] api-aa.glb.paypal.com:80
[http] api-aa.paypal.com:80
[http] api-aa.sandbox.paypal.com:80
[http] api-aa-v2.sandbox.paypal.com:80
[http] api.financing.paypal.com:80
[http] api.glb.paypal.com:80
[http] api-m-edge.glb.paypal.com:80
[http] api-m-fastly.glb.paypal.com:80
[http] api-m.glb.paypal.com:80
[http] api-m.paypal.com:80
[http] api-m.sandbox.paypal.com:80
[http] api-m-v2.sandbox.paypal.com:80
[http] api.paypal.com:80
[http] api.sandbox.paypal.com:80
[http] api-s.paypal.com:80
[http] api-s.sandbox.paypal.com:80
[http] api-s-v2.sandbox.paypal.com:80
[http] api-v2.sandbox.paypal.com:80
[http] arkose.paypal.com:80
[http] autodiscover.paypal.com:80
[http] autodiscover.tpa.paypal.com:80
[http] balancepayout.paypal.com:80
[http] business.paypal.com:80
[http] business.sandbox.paypal.com:80
[http] business-signup.paypal.com:80
[http] business-v2.sandbox.paypal.com:80
[http] c6.glb.paypal.com:80
[http] c6.paypal.com:80
[http] ccg12-origin-api-1.paypal.com:80
[http] c-fastly.glb.paypal.com:80
[http] c.glb.paypal.com:80
[http] checkout.paypal.com:80
[http] click.emails.paypal.com:80
[http] click.mktg1.paypal.com:80
[http] cloud.emails.paypal.com:80
[http] cors.api.paypal.com:80
[http] cors.api.sandbox.paypal.com:80
[http] cors.api-v2.sandbox.paypal.com:80
[http] c.paypal.com:80
[http] creditapply.paypal.com:80
[http] creditcard.paypal.com:80
[http] credit.paypal.com:80
[http] c.sandbox.paypal.com:80
[http] c-v2.sandbox.paypal.com:80
[http] demo-cdn.glb.paypal.com:80
[http] demo.glb.paypal.com:80
[http] demo.paypal.com:80
[http] developer.glb.paypal.com:80
[http] developer.paypal.com:80
[http] dme-origin-www-1.paypal.com:80
[http] dme-origin-www-2.paypal.com:80
[http] dropzone.paypal.com:80
[http] financing.paypal.com:80
[http] fpdbs.paypal.com:80
[http] github-global.paypal.com:80
[http] history.paypal.com:80
[http] image.emails.paypal.com:80
[http] images.payflowlink.paypal.com:80
[http] ipnpb.paypal.com:80
[http] ipnpb.sandbox.paypal.com:80
[http] ipnpb-v2.sandbox.paypal.com:80
[http] itsmail.paypal.com:80
[http] lyncdiscover.paypal.com:80
[http] mail.paypal.com:80
[http] manager.payflow.edge.paypal.com:80
[http] manager.paypal.com:80
[http] misc-redirect.paypal.com:80
[http] mobile.paypal.com:80
[http] m.paypal.com:80
[http] msoid.paypal.com:80
[http] o365a.paypal.com:80
[http] onboarding.paypal.com:80
[http] origin-ad.paypal.com:80
[http] origin-history.paypal.com:80
[http] origin-processing.paypal.com:80
[http] partnermanager.paypal.com:80
[http] partner-monitoring.paypal.com:80
[http] payflowlink.paypal.com:80
[http] payflowpro.paypal.com:80
[http] payments-reports.paypal.com:80
[http] payouts.paypal.com:80
[http] paypal.com:80
[http] paypalmanager.paypal.com:80
[http] paypalmanager.sandbox.paypal.com:80
[http] pep.paypal.com:80
[http] petition.paypal.com:80
[http] phx-origin-history-1.paypal.com:80
[http] phx-origin-history-2.paypal.com:80
[http] phx-origin-history.paypal.com:80
[http] phx-origin-pointofsale.paypal.com:80
[http] phx-origin-t.paypal.com:80
[http] pics.paypal.com:80
[http] pics.sandbox.paypal.com:80
[http] pics-v2.sandbox.paypal.com:80
[http] pilot-payflowlink.paypal.com:80
[http] pilot-payflowpro.paypal.com:80
[http] pns.paypal.com:80
[http] pointofsale.paypal.com:80
[http] pointofsale.sandbox.paypal.com:80
[http] pointofsale-s.paypal.com:80
[http] postcollector.paypal.com:80
[http] p.paypal.com:80
[http] ppo.glb.paypal.com:80
[http] ppo-ru.glb.paypal.com:80
[http-proxy] arkose.paypal.com:8080
[http-proxy] credit.paypal.com:8080
[http-proxy] mail.paypal.com:8080
[http-proxy] partner-monitoring.paypal.com:8080
[http] qwac.paypal.com:80
[http] registration.paypal.com:80
