[ansoft-lm-2] niwadev-distributor.ace.msys.playstation.net:1084
[blackice-icecap] amsprd.msys.playstation.net:8081
[blackice-icecap] niwadev-distributor.ace.msys.playstation.net:8081
[ctf] niwadev-distributor.ace.msys.playstation.net:84
[dnp] niwadev-distributor.ace.msys.playstation.net:20000
[domain] ns31.playstation.net:53
[domain] ns32.playstation.net:53
[domain] ns33.playstation.net:53
[domain] ns34.playstation.net:53
[domain] ns35.playstation.net:53
[domain] ns41.playstation.net:53
[domain] ns42.playstation.net:53
[domain] ns43.playstation.net:53
[domain] ns44.playstation.net:53
[d-s-n] niwadev-distributor.ace.msys.playstation.net:8086
[epp] niwadev-distributor.ace.msys.playstation.net:700
[ff-annunc] niwadev-distributor.ace.msys.playstation.net:1089
[http] a01.cdn.update.playstation.net:80
[http] a02.cdn.update.playstation.net:80
[http] a03.cdn.update.playstation.net:80
[http] a04.cdn.update.playstation.net:80
[http] a0.ww.np.dl.playstation.net:80
[http] a0.ww.sp-int.dl.playstation.net:80
[http] a1.ww.np.dl.playstation.net:80
[http] a.ad.playstation.net:80
[http] account.d1-np.ac.playstation.net:80
[http] account.d1-pmgt.ac.playstation.net:80
[http] account.d1-pqa.ac.playstation.net:80
[http] account.d1-spint.ac.playstation.net:80
[http] account.e1-np.ac.playstation.net:80
[http] account.e1-pmgt.ac.playstation.net:80
[http] account.e1-pqa.ac.playstation.net:80
[http] account.e1-spint.ac.playstation.net:80
[http] account.mgmt.ac.playstation.net:80
[http] account.np.ac.playstation.net:80
[http] account.prod-qa.ac.playstation.net:80
[http] account.q1-np.ac.playstation.net:80
[http] account.q1-pmgt.ac.playstation.net:80
[http] account.q1-pqa.ac.playstation.net:80
[http] account.q1-spint.ac.playstation.net:80
[http] account.sp-int.ac.playstation.net:80
[http] activate.playstation.net:80
[http] activity01.ww.np.community.playstation.net:80
[http] activity.api.np.km.playstation.net:80
[http] activity.api.sp-int.km.playstation.net:80
[http] adrvdsstore.dl.playstation.net:80
[http] adyen.d1-np.ac.playstation.net:80
[http] adyen.np.ac.playstation.net:80
[http] ae-gmsg.np.community.playstation.net:80
[http] ae-prof.np.community.playstation.net:80
[http] al01.dl.playstation.net:80
[http] al02.cdn.update.playstation.net:80
[http] al02.dl.playstation.net:80
[http] amsprd.msys.playstation.net:80
[http] analytics.playstation.net:80
[http] api.upro.playstation.net:80
[http] apollo2.dev.dl.playstation.net:80
[http] apollo2.dl.playstation.net:80
[http] apollo.dev.dl.playstation.net:80
[http] apollo.dl.playstation.net:80
[http] appinfo.dl.playstation.net:80
[http] apsnobj.non-prod.dl.playstation.net:80
[http] apsnobj.stage.dl.playstation.net:80
[http] ares.dl.playstation.net:80
[http] as01.dl.playstation.net:80
[http] as.dl.playstation.net:80
[http] asm.e1-np.community.playstation.net:80
[http] asm.np.community.playstation.net:80
[http] athena.dl.playstation.net:80
[http] au-gmsg.np.community.playstation.net:80
