[EtherNetIP-1] grownups.popjam.com:2222
[http] admin2.popjam.com:80
[http] admin2.staging.popjam.com:80
[http] api.popjam.com:80
[http] api.staging.popjam.com:80
[http] app-reviews.popjam.com:80
[http] blog.popjam.com:80
[http] cms.apac.cdn.popjam.com:80
[http] download.popjam.com:80
[http] eu-west-1.api.popjam.com:80
[http] events.popjam.com:80
[http] events.staging.popjam.com:80
[http] grownups.popjam.com:80
[http] images.apac.cdn.popjam.com:80
[http] kibana.eu-west-1.kubernetes.staging.popjam.com:80
[http] origin-auth.popjam.com:80
[http] origin-sdk.popjam.com:80
[http] origin-video.popjam.com:80
[http] parse.popjam.com:80
[http] partners.staging.popjam.com:80
[http] popjam.com:80
[http] publishing-api.popjam.com:80
[http] publishing-api.staging.popjam.com:80
[http] publishing.popjam.com:80
[http] publishing.staging.popjam.com:80
[http] redash.popjam.com:80
[http] richcontent.apac.cdn.popjam.com:80
[https] admin2.popjam.com:443
[https] admin2.staging.popjam.com:443
[https] api.popjam.com:443
[https] api.staging.popjam.com:443
[https] app.staging.popjam.com:443
[https] blog.popjam.com:443
[https] cms.apac.cdn.popjam.com:443
[http] sdk.popjam.com:80
[http] sdk.staging.popjam.com:80
[https] eu-west-1.api.popjam.com:443
[https] events.popjam.com:443
[https] events.staging.popjam.com:443
[https] grownups.popjam.com:443
[https] images.apac.cdn.popjam.com:443
[https] kibana.eu-west-1.kubernetes.staging.popjam.com:443
[https] origin-auth.popjam.com:443
[https] origin-sdk.popjam.com:443
[https] origin-video.popjam.com:443
[https] parse.popjam.com:443
[https] partners.staging.popjam.com:443
[https] publishing-api.popjam.com:443
[https] publishing-api.staging.popjam.com:443
[https] publishing.popjam.com:443
[https] publishing.staging.popjam.com:443
[https] redash.popjam.com:443
[https] richcontent.apac.cdn.popjam.com:443
[https] sdk.popjam.com:443
[https] sdk.staging.popjam.com:443
[https] us-east-1.api.popjam.com:443
[https] video.popjam.com:443
[https] videos.apac.cdn.popjam.com:443
[https] web-auth.popjam.com:443
[https] web.popjam.com:443
[https] web.staging.popjam.com:443
[https] work.popjam.com:443
[https] www.popjam.com:443
[https] www.staging.popjam.com:443
[http] us-east-1.api.popjam.com:80
[http] video.popjam.com:80
[http] videos.apac.cdn.popjam.com:80
[http] web-auth.popjam.com:80
[http] web.popjam.com:80
[http] web.staging.popjam.com:80
[http] work.popjam.com:80
[http] www.popjam.com:80
[http] www.staging.popjam.com:80
[opsmessaging] kibana.eu-west-1.kubernetes.staging.popjam.com:8090
[opsmessaging] partners.staging.popjam.com:8090
