[amqp] api.rocketleague.com:5672
[] api.rocketleague.com:8863
[blackice-icecap] api.rocketleague.com:8081
[cddbp-alt] competitive.rocketleague.com:8880
[cddbp-alt] pass.rocketleague.com:8880
[cddbp-alt] rewards.rocketleague.com:8880
[cddbp-alt] rewards-test.rocketleague.com:8880
[cddbp-alt] support.rocketleague.com:8880
[cddbp-alt] zendesk1.rocketleague.com:8880
[cddbp-alt] zendesk2.rocketleague.com:8880
[cddbp-alt] zendesk3.rocketleague.com:8880
[cddbp-alt] zendesk4.rocketleague.com:8880
[clearvisn] support.rocketleague.com:2052
[ctf] api.rocketleague.com:84
[dn6-nlm-aud] api.rocketleague.com:195
[dnp] api.rocketleague.com:20000
[d-s-n] api.rocketleague.com:8086
[eli] competitive.rocketleague.com:2087
[eli] pass.rocketleague.com:2087
[eli] rewards.rocketleague.com:2087
[eli] rewards-test.rocketleague.com:2087
[eli] support.rocketleague.com:2087
[eli] zendesk1.rocketleague.com:2087
[eli] zendesk2.rocketleague.com:2087
[eli] zendesk3.rocketleague.com:2087
[eli] zendesk4.rocketleague.com:2087
[gnunet] competitive.rocketleague.com:2086
[gnunet] pass.rocketleague.com:2086
[gnunet] rewards.rocketleague.com:2086
[gnunet] rewards-test.rocketleague.com:2086
[gnunet] support.rocketleague.com:2086
[gnunet] zendesk1.rocketleague.com:2086
[http] api.rocketleague.com:80
[http] competitive.rocketleague.com:80
[http] esports.rocketleague.com:80
[http] oauth2.rocketleague.com:80
[http] pass.rocketleague.com:80
[http-proxy] api.rocketleague.com:8080
[http-proxy] competitive.rocketleague.com:8080
[http-proxy] pass.rocketleague.com:8080
[http-proxy] rewards.rocketleague.com:8080
[http-proxy] rewards-test.rocketleague.com:8080
[http-proxy] support.rocketleague.com:8080
[http-proxy] zendesk1.rocketleague.com:8080
[http-proxy] zendesk2.rocketleague.com:8080
[http-proxy] zendesk3.rocketleague.com:8080
[http-proxy] zendesk4.rocketleague.com:8080
[http] rewards.rocketleague.com:80
[http] rewards-test.rocketleague.com:80
[http] rocketleague.com:80
[https-alt] competitive.rocketleague.com:8443
[https-alt] pass.rocketleague.com:8443
[https-alt] rewards.rocketleague.com:8443
[https-alt] rewards-test.rocketleague.com:8443
[https-alt] support.rocketleague.com:8443
[https-alt] zendesk1.rocketleague.com:8443
[https-alt] zendesk2.rocketleague.com:8443
[https-alt] zendesk3.rocketleague.com:8443
[https-alt] zendesk4.rocketleague.com:8443
[https] api.rocketleague.com:443
[https] competitive.rocketleague.com:443
[https] esports.rocketleague.com:443
[http] sideswipe.rocketleague.com:80
[https] oauth2.rocketleague.com:443
[https] pass.rocketleague.com:443
[https] rewards.rocketleague.com:443
[https] rewards-test.rocketleague.com:443
[https] rocketleague.com:443
[https] sideswipe.rocketleague.com:443
[https] support.rocketleague.com:443
[http] support.rocketleague.com:80
[https] www.rocketleague.com:443
[https] zendesk1.rocketleague.com:443
[https] zendesk2.rocketleague.com:443
[https] zendesk3.rocketleague.com:443
[https] zendesk4.rocketleague.com:443
[http] www.rocketleague.com:80
[http] zendesk1.rocketleague.com:80
[http] zendesk2.rocketleague.com:80
[http] zendesk3.rocketleague.com:80
[http] zendesk4.rocketleague.com:80
[imap] api.rocketleague.com:143
[imaps] api.rocketleague.com:993
[infowave] competitive.rocketleague.com:2082
[infowave] pass.rocketleague.com:2082
[infowave] rewards.rocketleague.com:2082
[infowave] rewards-test.rocketleague.com:2082
[infowave] support.rocketleague.com:2082
[infowave] zendesk1.rocketleague.com:2082
[infowave] zendesk2.rocketleague.com:2082
[infowave] zendesk3.rocketleague.com:2082
[infowave] zendesk4.rocketleague.com:2082
[jetdirect] api.rocketleague.com:9100
[knetd] zendesk1.rocketleague.com:2053
[memcache] api.rocketleague.com:11211
[mit-ml-dev] api.rocketleague.com:83
[mit-ml-dev] api.rocketleague.com:85
[mqtt] api.rocketleague.com:1883
[ms-wbt-server] api.rocketleague.com:3389
[nbx-dir] support.rocketleague.com:2096
[nbx-ser] competitive.rocketleague.com:2095
[nbx-ser] pass.rocketleague.com:2095
[nbx-ser] rewards.rocketleague.com:2095
[nbx-ser] rewards-test.rocketleague.com:2095
[opsmessaging] api.rocketleague.com:8090
[pop3] api.rocketleague.com:110
[pop3s] api.rocketleague.com:995
[postgresql] api.rocketleague.com:5432
[priv-term-l] api.rocketleague.com:87
[radan-http] api.rocketleague.com:8088
[radsec] competitive.rocketleague.com:2083
[radsec] pass.rocketleague.com:2083
[radsec] rewards.rocketleague.com:2083
[radsec] rewards-test.rocketleague.com:2083
[radsec] support.rocketleague.com:2083
[radsec] zendesk1.rocketleague.com:2083
[radsec] zendesk2.rocketleague.com:2083
[radsec] zendesk3.rocketleague.com:2083
[radsec] zendesk4.rocketleague.com:2083
[redis] api.rocketleague.com:6379
[rtmp] api.rocketleague.com:1935
[smtp] api.rocketleague.com:25
[smtps] api.rocketleague.com:465
[submission] api.rocketleague.com:587
[unknown] api.rocketleague.com:8089
[unknown] api.rocketleague.com:8099
[vnc-1] api.rocketleague.com:5901
[vnc] api.rocketleague.com:5900
[wap-wsp] api.rocketleague.com:9200
[whois] api.rocketleague.com:43
[xmpp-client] api.rocketleague.com:5222
