[bgp] vote.routerprotocol.com:179
[blackice-alerts] vote.routerprotocol.com:8082
[deslogin] api.liquidity-reserves.routerprotocol.com:3005
[deslogin] api.rebalancing.routerprotocol.com:3005
[deslogin] api.rfq.routerprotocol.com:3005
[deslogin] api.trading-competition.routerprotocol.com:3005
[http] api.liquidity-reserves.routerprotocol.com:80
[http] api.pathfinder.routerprotocol.com:80
[http] api.rebalancing.routerprotocol.com:80
[http] api.rfq.routerprotocol.com:80
[http] api.routerprotocol.com:80
[http] api.stats.routerprotocol.com:80
[http] api.trading-competition.routerprotocol.com:80
[http] app.routerprotocol.com:80
[http] dev.routerprotocol.com:80
[http] docs.routerprotocol.com:80
[http] explorer.routerprotocol.com:80
[http] faucet-api.routerprotocol.com:80
[http] faucet.routerprotocol.com:80
[http] forum.routerprotocol.com:80
[http] galaxyfarm.routerprotocol.com:80
[http] internal.mainnet.routerprotocol.com:80
[http] k8s-dashboard.routerprotocol.com:80
[http] routerprotocol.com:80
[https] api.liquidity-reserves.routerprotocol.com:443
[https] api.pathfinder.routerprotocol.com:443
[https] api.rebalancing.routerprotocol.com:443
[https] api.rfq.routerprotocol.com:443
[https] api.routerprotocol.com:443
[https] api.stats.routerprotocol.com:443
[https] api.trading-competition.routerprotocol.com:443
[https] faucet-api.routerprotocol.com:443
[https] faucet.routerprotocol.com:443
[https] forum.routerprotocol.com:443
[https] internal.mainnet.routerprotocol.com:443
[https] k8s-dashboard.routerprotocol.com:443
[http] spacefarm.routerprotocol.com:80
[https] routerprotocol.com:443
[https] staging.pathfinder.routerprotocol.com:443
[https] staging.routerprotocol.com:443
[https] staging.stats.routerprotocol.com:443
[http] staging.pathfinder.routerprotocol.com:80
[http] staging.routerprotocol.com:80
[http] staging.stats.routerprotocol.com:80
[https] vote.routerprotocol.com:443
[https] www.routerprotocol.com:443
[http] testnet.routerprotocol.com:80
[http] vote.routerprotocol.com:80
[http] www.routerprotocol.com:80
[rtmp] vote.routerprotocol.com:1935
[ssh] vote.routerprotocol.com:22
[unknown] vote.routerprotocol.com:8084
[unknown] vote.routerprotocol.com:8085
