[amqp] static.sellerly.com:5672
[ansoft-lm-2] static.sellerly.com:1084
[blackice-icecap] static.sellerly.com:8081
[ctf] static.sellerly.com:84
[dn6-nlm-aud] static.sellerly.com:195
[dnp] static.sellerly.com:20000
[d-s-n] static.sellerly.com:8086
[epp] static.sellerly.com:700
[ff-annunc] static.sellerly.com:1089
[http] lp.sellerly.com:80
[http-proxy] static.sellerly.com:8080
[https] lp.sellerly.com:443
[https] static.sellerly.com:443
[http] static.sellerly.com:80
[ies-lm] static.sellerly.com:1443
[imaps] static.sellerly.com:993
[imap] static.sellerly.com:143
[jetdirect] static.sellerly.com:9100
[memcache] static.sellerly.com:11211
[mit-ml-dev] static.sellerly.com:83
[mit-ml-dev] static.sellerly.com:85
[mqtt] static.sellerly.com:1883
[ms-wbt-server] static.sellerly.com:3389
[ncd-conf] static.sellerly.com:5999
[ndmps] static.sellerly.com:30000
[opsmessaging] static.sellerly.com:8090
[pop3s] static.sellerly.com:995
[pop3] static.sellerly.com:110
[postgresql] static.sellerly.com:5432
[radan-http] static.sellerly.com:8088
[redis] static.sellerly.com:6379
[rtmp] static.sellerly.com:1935
[smtps] static.sellerly.com:465
[smtp] static.sellerly.com:25
[] static.sellerly.com:8863
[submission] static.sellerly.com:587
[su-mit-tg] static.sellerly.com:89
[unknown] static.sellerly.com:8085
[unknown] static.sellerly.com:8089
[unknown] static.sellerly.com:8099
[vnc-1] static.sellerly.com:5901
[vnc] static.sellerly.com:5900
[vrace] static.sellerly.com:9300
[wap-wsp] static.sellerly.com:9200
[webobjects] static.sellerly.com:1085
[whois] static.sellerly.com:43
[xmpp-client] static.sellerly.com:5222
