[ansoft-lm-2] seoab.io:1084
[blackice-icecap] seoab.io:8081
[ctf] seoab.io:84
[dnp] seoab.io:20000
[d-s-n] seoab.io:8086
[epp] seoab.io:700
[ff-annunc] seoab.io:1089
[http-proxy] seoab.io:8080
[http] seoab.io:80
[https] seoab.io:443
[ies-lm] seoab.io:1443
[imap] seoab.io:143
[imaps] seoab.io:993
[jetdirect] seoab.io:9100
[mit-ml-dev] seoab.io:83
[mit-ml-dev] seoab.io:85
[ms-wbt-server] seoab.io:3389
[ncd-conf] seoab.io:5999
[ndmps] seoab.io:30000
[opsmessaging] seoab.io:8090
[pop3] seoab.io:110
[pop3s] seoab.io:995
[postgresql] seoab.io:5432
[radan-http] seoab.io:8088
[rtmp] seoab.io:1935
[smtp] seoab.io:25
[smtps] seoab.io:465
[submission] seoab.io:587
[su-mit-tg] seoab.io:89
[unknown] seoab.io:8085
[unknown] seoab.io:8089
[unknown] seoab.io:8099
[vnc-1] seoab.io:5901
[vnc] seoab.io:5900
[wap-wsp] seoab.io:9200
[webobjects] seoab.io:1085
[whois] seoab.io:43
[xmpp-client] seoab.io:5222
