[cddbp-alt] surveys.skybettingandgaming.com:8880
[domain] a.ns.sbagmail.skybettingandgaming.com:53
[domain] b.ns.sbagmail.skybettingandgaming.com:53
[domain] c.ns.sbagmail.skybettingandgaming.com:53
[domain] d.ns.sbagmail.skybettingandgaming.com:53
[domain] e.ns.sbagmail.skybettingandgaming.com:53
[domain] f.ns.sbagmail.skybettingandgaming.com:53
[eli] surveys.skybettingandgaming.com:2087
[gnunet] surveys.skybettingandgaming.com:2086
[http] autodiscover.skybettingandgaming.com:80
[http] ebm.sbagmail.skybettingandgaming.com:80
[http] engineering.skybettingandgaming.com:80
[http] f.sbagmail.skybettingandgaming.com:80
[http] l.sbgmail.skybettingandgaming.com:80
[http] lyncdiscover.skybettingandgaming.com:80
[http] msoid.skybettingandgaming.com:80
[http-proxy] surveys.skybettingandgaming.com:8080
[http] reg.sbagmail.skybettingandgaming.com:80
[http] safergambling.skybettingandgaming.com:80
[https-alt] surveys.skybettingandgaming.com:8443
[http] sbagmail.skybettingandgaming.com:80
[http] sbgmail.skybettingandgaming.com:80
[https] ebm.sbagmail.skybettingandgaming.com:443
[https] engineering.skybettingandgaming.com:443
[https] f.sbagmail.skybettingandgaming.com:443
[https] l.sbgmail.skybettingandgaming.com:443
[https] lyncdiscover.skybettingandgaming.com:443
[https] msoid.skybettingandgaming.com:443
[https] reg.sbagmail.skybettingandgaming.com:443
[https] safergambling.skybettingandgaming.com:443
[https] sbagmail.skybettingandgaming.com:443
[https] sbgmail.skybettingandgaming.com:443
[https] sip.skybettingandgaming.com:443
[https] surveys.skybettingandgaming.com:443
[https] technology.skybettingandgaming.com:443
[http] surveys.skybettingandgaming.com:80
[http] technology.skybettingandgaming.com:80
[infowave] surveys.skybettingandgaming.com:2082
[radsec] surveys.skybettingandgaming.com:2083
[smtp] b.sbagmail.skybettingandgaming.com:25
[smtp] c.mx.sbagmail.skybettingandgaming.com:25
[smtp] d.mx.sbagmail.skybettingandgaming.com:25
[smtp] m.sbagmail.skybettingandgaming.com:25
