[cddbp-alt] dt-receiver.staging.sol-data.com:8880
[gnunet] dt-receiver.staging.sol-data.com:2086
[http] api.sol-data.com:80
[http] api-staging.sol-data.com:80
[http] dt-receiver.staging.sol-data.com:80
[http] js.sol-data.com:80
[http] kinesis-poc.staging.sol-data.com:80
[http-proxy] dt-receiver.staging.sol-data.com:8080
[https-alt] dt-receiver.staging.sol-data.com:8443
[https] api.sol-data.com:443
[https] api-staging.sol-data.com:443
[https] dt-receiver.staging.sol-data.com:443
[https] js.sol-data.com:443
[https] kinesis-poc.staging.sol-data.com:443
[https] sol-http-1-production.sol-data.com:443
[https] sol-http-1-staging.sol-data.com:443
[https] sol-http-2-production.sol-data.com:443
[https] sol-http-2-staging.sol-data.com:443
[https] sol-http-3-production.sol-data.com:443
[https] sol-http-7-production.sol-data.com:443
[https] web.sol-data.com:443
[https] web-staging.sol-data.com:443
[http] web.sol-data.com:80
[http] web-staging.sol-data.com:80
[infowave] dt-receiver.staging.sol-data.com:2082
[radsec] dt-receiver.staging.sol-data.com:2083
[ssh] sol-http-1-production.sol-data.com:22
[ssh] sol-http-1-staging.sol-data.com:22
[ssh] sol-http-2-production.sol-data.com:22
[ssh] sol-http-2-staging.sol-data.com:22
[ssh] sol-http-3-production.sol-data.com:22
[ssh] sol-http-7-production.sol-data.com:22
