[bgp] mailserver2.solarcity.com:179
[citrix-ica] solarcity.com:1494
[citrix-ica] www.solarcity.com:1494
[http] api-dev.solarcity.com:80
[http] api.solarcity.com:80
[http] api.solarcity.solarcity.com:80
[http] api-test.solarcity.com:80
[http] autodiscover.solarcity.com:80
[http] benefits.solarcity.com:80
[http] click.e.solarcity.com:80
[http] customercare.solarcity.com:80
[http] employeedocportal.solarcity.com:80
[http] friends-int.solarcity.com:80
[http] friends-qa.solarcity.com:80
[http] funds.solarcity.com:80
[http] gapps.solarcity.com:80
[http] gsa.solarcity.com:80
[http] hamilton-edge.scfs.solarcity.com:80
[http] image.e.solarcity.com:80
[http] is.solarcity.com:80
[http] link.solarcity.com:80
[http] login.solarcity.com:80
[http] lyncdiscover.solarcity.com:80
[http] mysolarcity2.solarcity.com:80
[http] network-int.solarcity.com:80
[http] network-qa.solarcity.com:80
[http] origin-gsa.solarcity.com:80
[http] origin-login.solarcity.com:80
[http] origin-secure.solarcity.com:80
[http] origin-sg-1.solarcity.com:80
[http] origin-sg.solarcity.com:80
[http] parser.solarcity.com:80
[http] payments.billing.solarcity.com:80
[http] payments.solarcity.com:80
[http] prod-athena-cust-alb.scfs.solarcity.com:80
[http] prod-helios-cust-alb.scfs.solarcity.com:80
[http] pub.e.solarcity.com:80
[http] salestraining.solarcity.com:80
[https] api-dev.solarcity.com:443
[https] api.solarcity.com:443
[https] api.solarcity.solarcity.com:443
[https] api-test.solarcity.com:443
[https] benefits.solarcity.com:443
[http] scexchange.solarcity.com:80
[https] click.e.solarcity.com:443
[http] scu.solarcity.com:80
[https] customercare.solarcity.com:443
[http] secure.solarcity.com:80
[http] secure-test.solarcity.com:80
[https] employeedocportal.solarcity.com:443
[https] friends-int.solarcity.com:443
[https] friends-qa.solarcity.com:443
[https] funds.solarcity.com:443
[http] sg-1.solarcity.com:80
[https] gapps.solarcity.com:443
[https] gsa.solarcity.com:443
[http] sg.solarcity.com:80
[https] hamilton-edge.scfs.solarcity.com:443
[https] image.e.solarcity.com:443
[https] isapi.solarcity.com:443
[https] is.solarcity.com:443
[https] link.solarcity.com:443
[https] login.solarcity.com:443
[https] lyncdiscover.solarcity.com:443
[https] mysolarcity2.solarcity.com:443
[https] network-int.solarcity.com:443
[https] network-qa.solarcity.com:443
[http] solarbonds.solarcity.com:80
[http] solarcity.com:80
[http] solarguard.solarcity.com:80
[http] solarworksapi-staging.solarcity.com:80
[http] solarworksapi-test.solarcity.com:80
[http] solarworks-staging.solarcity.com:80
[http] solarworks-test.solarcity.com:80
[https] origin-gsa.solarcity.com:443
[https] origin-isapi.solarcity.com:443
[https] origin-login.solarcity.com:443
[https] origin-secure.solarcity.com:443
[https] origin-sg-1.solarcity.com:443
[https] origin-sg.solarcity.com:443
[https] parser.solarcity.com:443
[https] payments.billing.solarcity.com:443
[https] payments.solarcity.com:443
[https] prod-athena-cust-alb.scfs.solarcity.com:443
[https] prod-helios-cust-alb.scfs.solarcity.com:443
[https] prod-jco.scsg.solarcity.com:443
[https] prod-mygw.scsg.solarcity.com:443
[https] prod-service.scsg.solarcity.com:443
[https] pub.e.solarcity.com:443
[https] salestraining.solarcity.com:443
[https] scexchange.solarcity.com:443
[https] scu.solarcity.com:443
[https] secure.solarcity.com:443
[https] secure-test.solarcity.com:443
[https] sg-1.solarcity.com:443
[https] sg.solarcity.com:443
[https] solarbonds.solarcity.com:443
[https] solarcity.com:443
[https] solarguard.solarcity.com:443
[https] solarworksapi-staging.solarcity.com:443
[https] solarworksapi-test.solarcity.com:443
[https] solarworks-staging.solarcity.com:443
[https] solarworks-test.solarcity.com:443
[https] view.e.solarcity.com:443
[https] vip-webclstr-test.solarcity.com:443
[https] warp.solarcity.com:443
[https] webapi-test.solarcity.com:443
[https] webclstr-test.solarcity.com:443
[https] webmail.solarcity.com:443
[https] ws-gw.scsg.solarcity.com:443
[https] www2.solarcity.com:443
[https] www.solarbonds.solarcity.com:443
[https] www.solarcity.com:443
[http] view.e.solarcity.com:80
[http] vip-webclstr-test.solarcity.com:80
[http] warp.solarcity.com:80
[http] webapi-test.solarcity.com:80
[http] webclstr-test.solarcity.com:80
[http] webmail.solarcity.com:80
[http] www2.solarcity.com:80
[http] www.solarbonds.solarcity.com:80
[http] www.solarcity.com:80
[imaps] webmail.solarcity.com:993
[imap] webmail.solarcity.com:143
[pop3s] webmail.solarcity.com:995
[pop3] webmail.solarcity.com:110
[raid-am] gw.solarcity.com:2013
[raid-am] prod-gw.scsg.solarcity.com:2013
[raid-am] prod-jco.scsg.solarcity.com:2013
[raid-am] prod-mygw.scsg.solarcity.com:2013
[raid-am] prod-service.scsg.solarcity.com:2013
[raid-am] websocket-prod.scsg.solarcity.com:2013
[raid-am] ws-gw.scsg.solarcity.com:2013
[rpcbind] gridsystems-beta.solarcity.com:111
[smtp] e.solarcity.com:25
[smtp] mail.scfs.solarcity.com:25
[smtp] webmail.solarcity.com:25
[ssh] api.nc.solarcity.com:22
[ssh] gridsystems-beta.solarcity.com:22
[submission] webmail.solarcity.com:587
